,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X600801.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X002466.SZ,X000786.SZ,X000629.SZ,X600299.SH,X000883.SZ,X601158.SH,X600219.SH,X600808.SH,X000553.SZ,X000630.SZ,X000401.SZ,X600985.SH,X601699.SH,X000027.SZ,X600583.SH,X600426.SH,X600339.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746989827713916,0,0,0,0.0126004107572969,0,0,0,0.0433339115461166,0.0626841320561878,0,0,0,0,0,0,-0.0107660436617752,0.17010897533364,0.156654912972787,0,0,0,0,0,0,0.166766848956605,0,0,0,0,0,0,0,0.0144615411011704,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025235125888571,0,0,0,0,0.00609301209664595,0,0,0.309961322922875,0,0.0873851053874834,0,0.00159462805723855,0,0,0,0,0.0590840187162347,0,0,0,0,0,0,0.0437570482882665,0,0,0,0,0,0,0.0193679996617835,0,0,0,0,-0.0147892240768745,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307178117115345,0,0,0,0,-1.73472347597681e-18,0.00277403559414781,0.0973050692226964,0.166837677372164,0,0,0,0.0577232441135455,0.0505625743566627,0,0,0,0,0,0.0437648975874521,0,0,0,0,0,0,0.0140721994386033,0,0,0,0.0996439521150217,0,0.0154560968994043,0,0,0,0,0,0,0,0,0.00786432324184894,0,0
X600886.SH,0,0,0,0.0863065763040334,0,0.0850727503505539,0,0,0,0,0,0.0754028655302179,0,0,0,-0.162427078298366,0,0,0,0,0,0.0455435650238512,0,0.0318609103753595,0,0,0.0423251353603929,0,0,0,0,0,0,-0.0111074848645251,-0.0351375916982594,0,0,0,0,0.165455426825008,0,0,0.105911238609367,0,0,0,0,0,0,0,0,-0.0237973170361891,0.0459117238198097,0.00484530501418557,0,0,-0.0274401898736464,0,0
X600688.SH,0,0,0,0,0,0.0393781962656052,0,0,0,0,0,0.0458693808057735,0,0,0,0.0249789542377217,0,0,0,0.0167201595495378,0,-0.0313558740209881,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.113081373879595,0,0,0,0.0271618322838919,0,0,0,-0.0694457066521283,0.16707004148589,0,0,0,0,0.188317088166134,0,-0.036431901725778,0.00711994186542022,0,0,0,0,0.00111219217460561,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590255291672185,0.563891934704637,0,0,0,0.0118555414798222,-0.151218567082314,0,0,0,0,0,0,0,-0.109546991548508,0,0,0,0,0.34753764497295,0,0,0.0473725335492123,-0.832186134006179,0,0,0.0887089834089194,0,0,-0.315648108671725,0,0,0.00929581052585324,0,0,0,0.133837813077533,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180521145282672,0.238682922910445,0.0825460225075656,0,0,0,0,0,0.138244781136126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184939465847038,0,0,0,0,-0.0414962844187478,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0606364352604898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604568971766589,0.0734765211466726,0,0,0,0,0,0.0625487028185094,0.0249611041180305,0.0626815287531214,0,0,0,0,0.0573482872939311,0,0,0,0,0,0,0,0.0307379011793488,0,0,0,0.20769141141812,0,0,0,0,-0.0130245040537702,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.00959191697620593,0,0.0195275993557722,0,0,0.0212180821755217,0,0,0,0.0415555500657642,0,0,0,0,0,0,0,0.259787707738575,0,0,0,0,0,0,0,0,0,0,0.100332700089105,0,0,0,0,-0.0596975362382246,0,0,0.0699193819522353,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0142116908691154,0,0
X600111.SH,0,0,0,0,0,0,0,0,1.18353045704376,0,0,0,0,0,0,-0.0757072244060108,0,0,0,0,0,0,0,0,0,0,0,-0.431038787500346,0,0,0,0,0.38207590446379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672526906280001,0,0,0,0,-0.0356443451802765,-0.211075143277704,0,0.135500811634997,0,-0.141284193485332,0,0
X600801.SH,0,0,0,0.381424088806623,0,0,0,0,0.0286265747531105,0,0,0,0,0,0,0.136916703075209,0,0,0,0,0,0,0.112385335352807,0,0,0.158484953785274,0,0,0.222899466479652,0,0,0,0,0,0,0,0,0,0,0,0,0.058197076749271,0.19867622233125,0,0,0,0,0,0,0,0,-0.00273627042137434,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580853956396946,0,0.403694784307678,0,-0.249224841993911,0,0,0,0,0,0.0493976947317766,0,0.607031534320233,0.276548761839667,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.192905504934411,0,0,0,0.21961086755574,0,0,0.253670217120715,0,-0.0226125124731898,0.111663485683775,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132160858228802,0,0,0,0,0,0,0,0.0514386926924112,0,0,0,0,0,0.0625051328991558,0,0,0,0,0,0,0.221982677393144,0,0,0,0.110805653940319,0.0902356830647747,0,0,0,0,0,-0.065260378144673,0,0,0,0.0096529703722493,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.484402310254489,0,0,0,0,0,0,0.129352107327596,0,0.10214151853453,0,0,0,-0.12073689983858,0,0,0,0,0,0,0,0,0.0751765409709563,0,0,0,0,0,0,0,0,0.12094422755567,0,0,-6.93889390390723e-18,0,0,0,0,-0.00367502067193702,-1.73472347597681e-18,0,0,0,0.0398251244736077,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0.0346983069726591,0,0,0,0,0,0.0315699387749572,0,0,0,0,0,0.0194662254640803,0,0,0,0.0933527426423174,0,0.0296899556377653,0,0,0,0.112884678695218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279699140065432,0.161377359617422,0,-0.0185757240525866,0.0526105864152451,0,0,0,0.0313515612275915,0,0
X002271.SZ,0,0,0,0.348878292621978,0,0,0.00371060352784205,0,0,0,0,0,0,0,0,0.00290718327665559,0,0,0,-0.00604811362378297,0.0773281119241177,0,0,0,0.436432671018386,0,0,0,0,0,0,0.170554035975067,0,0,0.0429321215379866,-0.101858191662058,0,0,0,0.0692237987059276,0,0,0,0,0,0,-3.46944695195361e-18,-0.0497128826376198,0,0,0,0.0170023561291771,0,0,0,0,0.0641432670948146,0,0
X600489.SH,0,0,0,0,0,0,0.742016431999745,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244139758300566,0.044957711088221,0,0,0,0,0,0,0,0,0,-0.093358396056884,0,-0.0498740373074886,0,0,0,0,0.105137254012783,0,0,0,-0.0248194221075747,0,0,0.0861258262763404,0,0,0,0,0,-0.0118642920930095,0.0545122570307261,0,0,0,-0.00448234276299673,0,0
X600176.SH,0,0,0,0,0,0.207181335346212,0,0,0,0,0.0430808389224915,0,0,0,0,0,0,0.0279922293013303,0,0,0.112036452146175,0,0,0,0,0,0,0,0.0668798522119742,0,0,0,0,0,0,0,0,0,0,0.012387115621112,0,0.058117185292831,0,0,0,0,0.353830514884582,0,0,0,0,-0.0382392589733258,0,0,0,0,-0.0113989195376138,0,0
X600516.SH,0,0,0,0,0,0,0,-0.167592226150524,0,0,0,0,0,0,0,0,0,0,0,0.105712077257778,0.126799161744862,0.0454721592883592,0,0,0,-0.149668531078892,0,0,0,0,0,1.01416644968338,0,0,3.46944695195361e-18,0,0,0,0,-0.041927394687892,0,0,0,0,0,0,0,0.0602863642379406,0,0,0,-0.110040748746361,0,0.216558599360348,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764772353165833,0,0,0,0,0,0,0,0,0.0760884114731464,0,0,0.745408852645561,0,0.0399419452560348,0,0,0,0,0,0,0,0.0151089422505033,0,0,0,0,0,0.179775444685617,0,0,0,0.00190419968990615,0.0106376287237768,0,0,0,0.0163940854380506,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976835236298574,0.033266011457376,0,0,0,0,0.00541958003538693,0.0390876351360631,0,0,0,0,0.0700674877695347,0.0163309679810382,0,0,0,0,0.0513254256023472,0,0,0,0,0,0,0,0,0,0.108199836136894,0,0,0.0108065802511855,0,0.133058302545898,0,0,-0.0203546588968577,0,0,0,0,0.0181073997429346,0,0
X002466.SZ,0,0,0,0,0,0,0,-0.282049284042989,0,0,0,0,0,0,0,0.023001776011318,0,0,0,0,0,0,0,0,0,0,0.0252241625497808,0,0.143982385779851,0.722540473115865,0,0,0,0,0,0,0,0,0,-0.0640813992353783,0,0,-0.152445221519156,0,0,0,0,0.131200788403087,0.028063114020366,0,0,0.0123124828476574,0,0,0,0,0.00299571461445614,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0.116023222800351,0,0.12993282869382,0,0,0,0,0,0.200109160904626,0.105061284586287,0.126967738140049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1020891805,0,0,0.051618093481733,0,0,0,0,0.0946999904411128,0,0,0,0.0251587112372574,0.0651278816188052,0,0,0,0.0699136217798457,0,0
X000629.SZ,0,0,0,0,0,-0.0734450122531328,0,0,0,0,0,0,0,0,0,0.0242772959917923,0,0,0,0,0,0,0,0.24639438965142,0,0,0,0,0.179547201482331,0.119067174391164,0,0,0,0,0,0,0,0,0,0,0,0,0.687620188247696,0,0,0,0,0,0,0,0,0.0517268051012173,0,0,0,0,0.0043652643244073,0,0
