,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600011.SH,0,0,0,0,0,0.0924516644519968,0,0,0.0141270350704114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750331672406961,0,0,0,0,0,0,0.0852062834417616,0,0,0.153739835349426,0,0,0,0,0,0,0,0,0.0539815377037833,0,0,0,0.0349015179727973,0,0,0,-0.0223076885702679,0,0,0,0,-0.0064122554291864,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0177873105953155,0,0,0,0,0,0,0,0,0,0,0.567339625176998,0,0.106529056315687,-0.0561996237369804,0,-0.00709959940486816,0,0,0,0.0602926828102987,0,0,0,-0.0480643080671316,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0220942762128152,0,0.00455074860548732,0,0,0,8.67361737988404e-19,0,0
X600886.SH,0,0,0,0,0,0,0,0.146152631844968,0,0,0,0,0,0,-0.199665622984595,0,0.482245410508528,0,0,0,0,0,0,0,0,0,0,0,-0.0192754993833977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00632629270027148,0,-0.0410572054602939,0,0,0,0,0,-1.0842021724855e-19,-0.0226956315997057,0,0,0,-0.0150188231715226,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368106033438366,0,0,0,0.234059867839626,0,0,0,0,0,0,0,0,0,0,0,0.0756372888150588,0,-0.0223438307227772,0,0,0,0,0,0,0.190137022166745,0,0,0,0.0503340515543524,0,0,0,0.213261597907854,0,0,0,-0.00354491448070739,0.0131686004031471,0,0,0,-0.0175515573184801,0,0
X600010.SH,0.166900511986014,0,0,0,0,0,0,0,0,0.0665533442621863,0,0,0,0,0,0,0,0,0,0,0,0.0669874586199801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337760377998973,0,0,0,0.340363776879839,0,0.0729952724279573,0,0.148990250190612,0,0,0.0843169092850207,-0.0395257806297844,0.0507597997805377,0,0,0,0.0667936665134005,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.142921595614505,0,0,0,0,0,0.156497675459147,0,0,0,-0.0248023784516443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320844179170653,0,0,0,0.544190265091667,0,0,0,-0.0332034615689982,0.00747113273726902,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0.0192205765649859,0,0,0,0,0,0,0.379490761400752,0,0,0,0,0,0,0,0,0.0245950371626394,0.0452244099107925,0,0.313114645151711,0.0799805638072724,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0543030106042962,0,0,0,0,0,0,0.02845507067013,0,0,0,0,0,0,0,-0.00444128872259725,0.0158662784240154,0,0,0,0,0,0
X600362.SH,0,0,0,0.273567574888545,0.0294568360865766,0,3.46944695195361e-18,0,0.203580436005891,0,0,0,0,0,0,0,0,0,0.0552202076840605,0,0.0508738389536116,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223242946278357,0.0260492601764001,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0258470175417271,0,0,0,-0.0229750150147463,0.0146901756786583,0,0,0,-0.00265372170293864,0,0
X002460.SZ,0,0,0,0,0,-0.0477657430922318,0,0,-0.0685143485323787,0,0,0,0,0,0,0,0,0,0,0,0,0.936982812145707,0,0,0,0,0.0523419558971652,0,-0.0482023147524121,0,0,0,-0.00127247203314837,0,0,0,0,0,0,0,0,0,0,0,0,0.0573065014627859,0,0,0,0,-0.067353547466731,-0.0293021700061508,0.0297352940919019,0.0285231106386576,0.0208657705345844,0,-0.0337299492440823,0,0
X600489.SH,0,0,0,0,0,0,0.329755523581566,0,0,0,0,0.632726849117132,0,0,0.0345173895204159,0,0,0,0,0,0,0,0,0,0,-0.0284466349095139,0,0,0,0,0,0,0,0.0900474031394383,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.00920107042921071,0,0,0,0,-0.0126907848111885,-0.134139830136688,0,0,0.0133887388259068,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130116614540371,0,0,0,0.093634146727811,0,0,0,0,0,0,0,0,0,0,0,0.100821664431278,0,0,0.225102404453776,0,0.18581725142281,0,0,0,0.0409680154834953,0,0,0,0,0,0,0,-0.0456524356186893,0.0027751424981514,0,0,0,-0.0235653309643872,0,0
X002466.SZ,0,0,0,0.0396912985325447,0,0.0858141212329581,0,0,0,0,0,0,0,0,0,0,0,0,0.519289913561354,0,0,0,0,0,0,-0.0597238523933005,0,0,0,0,0,0,0,0.0266750135964234,0,0,0,0,0,0,0,0,0,0.134245167773056,0.209495596952243,0,0,0.0561381362338125,0,0,0,-0.00527386088188725,0.039992214718362,0.102337242332899,0,0,0,0,0
X600803.SH,0.28031721706695,0,0,0.337971744401452,0,0.0357046495429252,0,0,0.109418765796273,0,0,0,0,0,0,0,0,0,-0.0477890428180422,0.0730682261848855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524137472041614,0,0,0,0,0,0,0.130515828371751,0,0,0,-0.047223870068175,-0.00666040630121414,0,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0.238609695537491,0,0,0,0,0,0,0,0,0,0,0.140800782647392,0,0,0,0,0,0,0,0,0,0,0,0.092978766646625,0,0,0,0,0,0.0827741623097576,0,0,0.142492428723781,0.110464560818142,0,0,0,0.0911438576651624,0.0190712904210824,0,0,0,0,-0.00527391000573883,0,-0.0352536512335111,0,0,0,0.0120070335544929,0,0
