,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0,0,0.0966024970769837,0,0,0,0,0,0.219103835416152,0,-0.0681915644234374,0,0.0821648044128567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11912522144393,0,0,0.147363268735032,0,0,0,-0.160875038543909,0,-0.0147645191585031,0,0,0,-0.0450324002415338,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0.247924258144152,0,0,0,0,0,0.110114271081018,0,0,0,0,0,0,0,0,0.0382616029127854,0,0,0.105792892813324,0,0,0,0,0,0,0,0,0,-0.0425313004425118,0,0.170030747157544,0.422805373109482,-0.0615808287220495,0,0,-0.050787982760077,0,0,0,0,0,0,0,-0.0195413939061646,-0.00680351083396172,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0.283887769557669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018602211004813,-0.0343833523994765,0.493212896859599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344165650054492,0,0,0,0,0,0,-0.0489835092840667,0.00912267041962977,0,0,0,0,0.0451793601347317,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137437137890134,0,0.107719423523801,0,0,0.0351816324612253,0.0854864569543955,0,0,0,0,0,0,0.0943716797904107,0,0,0.0739136042732054,0,0,0,0,0,0,0.106902922659685,0,0,0.0439683958328896,0,0.0109525099578506,0,0,0,0,0,-0.00841699969533393,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0.161530758436206,0,0,0,0.0252178530657023,0,0,0,0,0,0,0.242706783075796,0,-0.0335714529184282,0,-0.0561581352196124,0,0,0,0.00261901536992257,0,0,0,0,0,0,0,0.160187009602437,0,0,0,0.161117701880691,0,0,0,0,0,0,0,-0.117568255453923,0,0,0,-0.000201700481277092,-0.00729715572883839,0.122452241834108,0,0,-0.0685643312644858,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.187788897623504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110745141881171,0,0,0,0,0.175403091108407,0,0,0,0,0,0,0.202419365634838,0,0,0.0324137462546452,0.0307911810996424,0,0,0,0,0,0,0,0,0,0,0,0.0160483174006891,0,0,0,0,-0.118659049089104,0,0
X600426.SH,0,0,0,0.126033616416348,0,0,0,0,0,0,0,0,0,0.191410525725637,0,0,0,0,0,0,0,0,0,0,0,0,0.0245006518803073,0,0,0,0,0,0,0,0,0,0.0310294608568131,0.175447328733411,0.0309422520404485,0.150623077647046,0,0,0.0612853453931943,0,0,0,0,0,0,0,0,0,-0.0364836299338601,0,0,0,0.0101046646219635,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0.0206791620606669,0,0.317626190134187,0,0,0,0.0467448908836491,0,0,0,0.0542291636296314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166501614841918,0,0,0,0,0,0,0.112323892434797,0,0.0290836154168554,0,0,0,0,0,0.0331078001358896,0,-0.0116636164556413,-0.0331101625164913,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0.0648400544524392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0277855025136691,0,0,0,0,0.0508204163423493,0,0,0,0,0,0.214434801508152,0,0,0,0,0.0767336856006645,0.177674873331389,0,0,0,0,0,0,0,0,0,0,0,0.00251114014940831,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981480824218948,0,0,0.063665992133513,0,0.137648953603861,0,0,0,0,0,0,0,0,0,0,0.122872262006286,0,0,0,0.129745721393505,0.0478497940642891,0,0,0,0,0,0,0,0,0,0,0,-0.00784998925164089,0.0315643059292512,0,0,0,0.041650184790527,0,0
