,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X600809.SH,X601877.SH,X000661.SZ,X600703.SH,X000100.SZ,X000157.SZ,X600271.SH,X002236.SZ,X300124.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X002008.SZ,X600498.SH,X002179.SZ,X002506.SZ,X600177.SH,X000625.SZ,X000977.SZ,X002371.SZ,X600487.SH,X600183.SH,X600522.SH,X600776.SH,X000050.SZ,X600066.SH,X000066.SZ,X002129.SZ,X600867.SH,X002049.SZ,X002241.SZ,X600089.SH,X300146.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665580974938628,0,0,0,0,0,0,0.239707920934738,0.221881123187883,0,0.159236841133729,0,0.273810255917954,0.103767607587148,0,-0.111646075234405,0,0,0,0,0,0,0,0,0.0965901153412706,0,0.0706765201310359,0.0475090289874359,0,0,0,0.0342846868508354,0,0
X002049.SZ,0,0,0,0,0,0,0,0.241991470106611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400457148480214,0.0700099823958134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838361757767192,0.129759249446065,0.158221034239515,0,0,0,0,0,0,0,0,0,0,0,0,-0.016985857524277,0,0
X002241.SZ,0,0,0,0,0,0,0,0.128631586024038,0,0,0.102489571655975,0,0,0,0,0,0,0,0,0,0,0,0,0.318927957309193,0,0,0,0.0438696758265424,0,0,0,0,0.0567672869262582,0,0.187711567829646,-0.0816480399481428,0.146159866955737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233520153290572,-0.0327392052358182,0,0,0,0,0,0
X600089.SH,0,0.134590518775829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047191884725068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722942399034894,0,0,0.0251045234941904,0.0689365169365927,0,0,0.157166293882442,0,-0.0444219600393553,0,0,0,0,0,0,0
X300146.SZ,0,1.73472347597681e-18,0.0244136065710247,0,0,0,0,0,0,0,0,0,0.0378598304138612,0,0,0.0600933326994612,0,0,0.0343720519758626,0,0.0783214806466233,0,0,0,-0.0805132769781162,0.0584462231412147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200435829641122,0.026149358654026,0,0,0,0,0,0,0,0.139664929981428,0,0,0,0.037304435493085,0,0
X600118.SH,0,0.0288370561034237,-0.185567362122025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0478341984591167,0,0.348710799792268,0,0,0,0,0,0,0,0.164509351453854,0,0,0,0.106673542281536,0,0,0.0181007175326376,0,0,0,0,0,0.433335934001728,0,0,0,0,0,0,0,-0.0024413674252902,0,0,0,0,-0.0153366847391443,0,0
Change_TY3M,0,-0.0537648373564636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606784422866587,0,0,0,0,0,-3.46944695195361e-18,0,0.0534147154412361,0,0,0,-0.0322441049566511,0,0.0558900898649053,-0.00595503899769377,0,0,0,0,-0.00124628175139569,0,-0.165126772036106,0.0857478874520023,0,0.0146350459251203,-0.0441303670784791,0,0,0,0,0,-0.0417100833504833,-0.0951119362169951,0,0,0,-0.0408484436740906,0,0
Slope,0,0,0,0,0,-0.0760166950852828,0,0,0,0,0,0,0,0,-0.351698995861193,0,0,0,0,0,-0.19931284931069,0,0,0,0,0,0,-0.280031345605726,0,0,0,-0.251942786314691,0,0,0,0,-0.434465471823087,0,0,0,0,0,0,0.720832343091131,0.352434872200136,0.180282040808956,-0.799996762846643,0,0,0,0,0,0.761723806756853,0,0,0,0,0,0
TED,0,0,-0.230981173031578,0,0,0,0,-0.12098287845949,0,0.530070207229636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549479430345616,0,-0.0317822520039546,0,0,-0.197379805289108,0,0,0,-0.319092424321865,0,0,0,0,0.0602271021720433,0,0,0.0557415126419701,0,-0.552932967459843,0.146777438488913,0,0,0,0,-0.228124405237818,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,-0.1110533361742,-0.072092552641923,0,0,0,0,0,0,0.0628829143515038,0,0,0,0,0,0,0,0,0,0,0,0.0209138625947944,0,0,0,0,0,-0.049892980485286,0,0.0597589777184154,-0.112610562329839,0,0,0,0,0.0146843396955812,-0.00139406668736531,0,-0.0529966771908647,0,0,-0.0388031211245667,0.047464806124406,0,0.332182888592853,0,0,0,0
MKreturn,0.0435433864882013,0,0,0,0,-0.0092120074797215,0,0,0,-0.0913929461995354,0,0,0,0,0,0,0,0.0320802701313924,0,0,0,-0.074117515808529,0,0,0,-0.227066515070173,0,0.156378913299519,0,0,0,0,0.150722856343972,0,-0.0260708024742646,0,0,0,0,0,0,-0.0449470359220029,0,0,0,0,0,0,-0.0675988071582098,0,0,1.73472347597681e-18,-0.0387270426487204,0.477474931435762,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00154032945086424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00072279208430874,0,0,0,0,0,0,0,0,0,0,0,0,0.00100104914639741,0,0,0,0,0.0071038003412627,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,-0.128346075435591,-0.110603220389569,0,-0.15571680115797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247773816447777,-0.291245295881762,0,0,0,0,0,-0.761982071057087,0,-0.509106897038397,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0.0021957590919891,0,0,0,0,0.00297993730464403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00530269553844319,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.00239735048742494,0.00608702627196246,0,-0.0277380095110686,0.0191950137498558,0,0,0,-0.0541963592085033,0,0
CarbonVol_Hubei,0,0,0,-0.00535462275684044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00353655319423878,0.000137064024206267,0.000572026952596215,0,0,0,0,0,0,0,0,0,-0.00115769287560639,0,0,0,0,0,0,0,0,0,0.00256282688981318,0.00376246540067929,0,0,0,0,0,0.00168538485684736,0,0,-0.00524304527869101,0.0059789614421148,0,0,0,0.0027984990894629,0,0
