,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X600031.SH,X002304.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600703.SH,X000661.SZ,X600809.SH,X600741.SH,X000100.SZ,X002371.SZ,X600183.SH,X300003.SZ,X002007.SZ,X000596.SZ,X300014.SZ,X000977.SZ,X002241.SZ,X002236.SZ,X002129.SZ,X601877.SH,X000625.SZ,X300142.SZ,X300124.SZ,X000157.SZ,X002463.SZ,X600498.SH,X002179.SZ,X002456.SZ,X600487.SH,X600271.SH,X000066.SZ,X600584.SH,X600118.SH,X300136.SZ,X002180.SZ,X002414.SZ,X600522.SH,X002185.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0.0236662719589735,0,0,0,0,0.0283142777081614,0.029125790948143,0,0.0480963959631956,0.0508692422332865,0,0,0,0.0830332775036773,0,0,0,0,0,0,0,0,0,0.284758590520603,0,0,0,0,0.131030033434184,0,0.161599098835016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,-0.0562802635744006,-0.117210349422399,0.0957344157826973,0,0,0,0.169877474256879,0,0,0,0,0,0,0.0628125010035536,0,0,0,0,0,0,0.0688182362717818,0,0,0,0,0,0,0,0,0,0,0,0.151460103375902,0.316255716058207,0.0423339260450326,0,0,0,0,0.0423061273301613,-0.0532640451170596,0,0,0,0.0728164055193928,0,0.0571793960225783,0,0,0,0.0110572366312849,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,-0.0254198281009858,0,0,0,0,-0.15954995148524,0.514366275246533,0,0,0,0,0.0956651341391951,3.46944695195361e-18,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.0874720792027897,0,0,0,0,0.21656972835773,0,0,0.0337073553581396,0,0,0.140393193105002,0,0,0,0.0699498506902611,0,0,0.025278191506847,0,0,-0.0553283951584121,0.0535378914439174,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0.276225247097648,0,0,0,0,0,0,0.230469006052081,0,0,0.106905501092357,0,0,3.46944695195361e-18,0.285369823366694,0,0,0,0,0,0,0.0340186787154705,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0797126066064488,0,0,0,0,0,-0.15547267887503,0.086476811811739,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0.0708491924949457,0,0,0,0,0,0,0,0,0,0,0,0,0.0560503028956029,0,0.215383407090017,0,0,0,0.0784447286925035,0,0,0,0,0,0.0970363137606005,0,0,0,0,0,0,0.0386067891293536,0,0,0,0,0,0,0.0458189744582629,0,0,0.127783884600947,0,0,0,0.0137275804677905,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484920712635193,0,0,0,0,0,0,0,0,0.0636458137107742,0,0.0491642571641868,0,0,0,0,0,0,0,0,0,0,0.168888320294497,0.2134629465527,0,0,0.0405686197378233,0,0.0980105100431417,0,0,0,0.039516176304722,0,0,0,0.0140774179451281,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208263373417262,0,0,0,0,0,0.231838289477315,0.224607170753847,-0.0214403327241549,0,0,0,-0.0231737457790454,0.106766146910822,0,0,0,0,0.0493892868971525,0,0,0,0,0,0,0,0,0,0,0,-0.00770275897750954,0,0,0,0,0,0,0,-0.0148473898142625,0,0,0,0,0.143037945763502,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0.0358723838341212,0.0411448342043453,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0692755686340907,0,0,0.0336678418815431,0.00410829986065961,0,0.0530501521191832,0.00400228477827858,0.0681259904289762,0,0,0,0,0,0,0.157060463975163,0,0,0.394317163508456,0,0,0,0,0,0,0,0,0.036601353291972,0,0,0,0,0,0,0,0.0238453041430229,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,-0.0558199420082336,0,0,0,0,0,0.498805336153721,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0720053023652461,0,0.0677144576553217,0.0558852147120426,0,0,0,0,0,0,0,0,0,0,0,0,0.0876656002306962,-0.0320876983433891,0.130305755494041,0,-0.00831929327316625,0,0,0,0,-0.0145850678042039,0,0,0,0,0.0386097709344282,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0.14083167461216,0,0,0,0,0,0.173776294232969,0,0,0.0668671908332837,0,0,0,0,0.0843158104459791,0,0,0,0,0.0231282848758037,0,0.0898266477164184,0,0,0,0,0.0120197620132118,0,0,0.0256271170587081,0,0,0,0,0,0,0,0.107654797594059,0.00884527250280305,0,0,0,0,0,0,0,0,0,0
