,X600519.SH,X600104.SH,X000858.SZ,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X000596.SZ,X600487.SH,X002008.SZ,X002236.SZ,X002456.SZ,X002007.SZ,X600809.SH,X000100.SZ,X600566.SH,X002179.SZ,X600867.SH,X600498.SH,X000661.SZ,X300146.SZ,X000625.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X300136.SZ,X000977.SZ,X600089.SH,X002506.SZ,X002180.SZ,X002241.SZ,X600372.SH,X300142.SZ,X600522.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0.0945714361702286,0,0,0,0.220809271923853,0.0171176914252339,0,0,0,0,0.185793216897997,0,0,0,0,0,0,0,0,0,0.0231285909393538,0.0531710053365017,0,0,0,0,0,0.000912357348699356,0,0,0,0.14056302919632,0,0,0,0,0,0,0,0,0,0,0.0408158363459991,0.0213923293104532,0,0.132106949845872,0,0,0,-0.0150983426630575,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0.0231940351715518,0,0,0,0.0265843984003364,0.0675094443296012,0,0,0,0,0,0.309734395337441,0,0,0,0.0784212180255277,0,0,0,0,0.0542663308239756,0,0,0,0,0.25720209377909,0,0.0523724111267837,0,0,0,0.117417081082336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226764686811838,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,-0.0735408724153191,0,0,0,0,0,0,0,0,0,0.390915560888032,0,0.171357907525161,0,0,-0.297482758558549,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629865353369055,0,0,0,0,0,0,0,0.162196199605419,0,0.175538096614978,0.00185043262680611,0,0,0,0,0.0291101264383807,-0.0090369351825217,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0.783248743578266,0,0,0.277946063176988,0,0,0,0,0,0,0,0,-0.125344207512451,0,0,0,0,0.0431639080159505,0,-0.0356653599394273,0,0,0,0,0,0,0,0,-0.248261755058596,0,0.586824603311604,0,0,0,0,-0.0259952596394209,0,0,0.327195642031912,0,-0.0980153404674594,-0.44057068316485,0,0,0,0,0.0281750798221722,-0.0529883097995944,0,0.201107542116151,0,0,0,0
X600498.SH,0,0.0126046807573918,0,0,-4.33680868994202e-19,0,0,0,0,0.00906190913978504,0,-0.102979956312935,0,0,0,0,0,0,0,0,0,0.799524597237883,0,0.14611733708958,0,0.0419269888517252,0,0,0,-0.0927878122653401,0.0151511917521271,0,0,0.218645662366336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146287165303709,0.246273630161702,0.0304679928900238,0.109250865647752,0,0,0,0.156110358715317,0,0
X000661.SZ,0,0.183355760743694,0,0,0,0,0,0,0,0,0,-0.758278523450151,0,0,0,0,0.22394394818945,0,0,0,0,-0.0331575058122132,0,0,0,0.437522325407894,0,0,0.168642343046652,0,0,-0.0474401160678868,0,0.0888542320321987,0,0,0,0,0,0,0,0,0,0,0,0,0.247142762905154,0,0.254196554659154,-0.295180247313493,-0.171043680165579,-0.0375490681186426,-0.117190978902187,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0.619313700324529,0.12174924962592,0,0,0,0,0,0,0,0,0,0,0,0.428279669420965,0,0,0.205216330125924,0,0.159968677686164,0.088916185471056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184825991257889,0,0,0,0,0,0,0,0,0,0,-0.0103994411199928,0.0158364957028298,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,-0.034587973257592,0,0.207090240916797,0,0,0,0.135154871874862,-0.0266559141211905,0,0,0,0.00429048641203899,0,0.11227935146155,0,0,0,0,0,-0.0341225425512358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407864965506341,0.0252806302204722,0,0,0,0.134502681889984,0,0.179132111632469,0,0,0,0,-0.0446441253881985,-0.0396095601201419,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0.00290008400387928,0,0,0,0,0,0,0,0,0,0,0.149839138744829,0,0,0,0,0,0.0286074655146044,0,0,0,0,0,0.0276933577583742,0.241998066154336,0,0,0,0,0,0,0,0,0.0309926254399708,0,0,0,0,0,0.156285632326898,0.243132678041321,0,0.0177754205296448,0,0,0.0253770204168405,0.0110618198728156,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.136518597689145,0,0.0209869730136192,0,0.0617994692081449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267982045433227,0,0.0614724660496383,0,0.0375391135112918,0,0.0643557456349232,0,0.130539516344212,0,0,0,0,0,0,0.131763006807133,0.00524026977108762,0,0,0.0685599384292522,0,0,0,0,0.0394778984627036,0,0,0,-0.00500096284037986,0,0,0,0,0,0
