,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600118.SH,X002129.SZ,X600372.SH,X000338.SZ,X000157.SZ,X600703.SH,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X600060.SH,X300124.SZ,X000977.SZ,X000559.SZ,X002475.SZ,X002456.SZ,X000800.SZ,X601877.SH,X600435.SH,X002491.SZ,X002465.SZ,X600839.SH,X300003.SZ,X002294.SZ,X000581.SZ,X000623.SZ,X002007.SZ,X600867.SH,X000568.SZ,X000869.SZ,X300146.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374704125079597,0,0,0,0,0,0,0,0.0738271166613019,0,0,0,0,0,0.00157433650217902,0.0134664929308429,0,0,0,0,0,0,0,0.226262490161566,0.000752519701520125,0,0.172966547243562,0.0121013528208955,0,0,0,0,0,0.0975841350044378,0,0,-0.00468287531655035,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0502036975999101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128039042100244,0,0,0,0.0820242015668343,0,0,0.00512661832889788,0.00334131347401783,0,0.0119897293018258,0,0,0,0,-0.0354235163877023,0,0,0.0150238954740563,0,0,0,0,0,0,0,0,0,0,0,-0.00446390277064868,0.000621403170721137,0,0,0,0,0,0
X000100.SZ,0,0.0129169350285392,0,0.110471234534513,0.0139755473440226,0,0.0983878450976181,0,0,0.0207755688151965,0,0,0,0,0,0,0,0,0.0316788400045866,0,0,0,0,0,0,0,0,0,0.329336952729927,0,0,0,0,0,0,0,0,0,0,0,0,0.0608637409640977,0,0.0976378062584016,0,0,0,0,0,-0.0347413855528135,0,-0.00118147978637517,0.0149698121036014,0,0,0,0,0,0
X600271.SH,0,0,0.356730722158932,0,0,0,0,0,0,0,-0.0848461639672088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1838226423037,0,0,0,0,0,0.00331615839309678,0,0,0,-0.0771000407451947,0,0.102595334080418,0,0.0378356813807457,0,0,0,0,0.0526294360965467,0,0.256542473908516,0,0,0,0,0,-0.0104630556757716,-0.00970022386495712,0,0,0,0,0,0
X600118.SH,0,0,0,0,0.181580859504138,0,0,0,0,0.180083868143783,0,0,-0.0460352697481501,0,0,0,0,0,0,0.0221033542853516,0,0,0,0,-0.0204750963620082,0.101714369010482,0,-0.0765880422385353,2.16840434497101e-19,0.17038921204234,0,0,0,-0.108057114585143,0,0,0.135512712381467,0,0,0,0.209934726715028,-0.200361195962929,0,0,0,0,0,-0.134875435525887,0,0,0,-0.0104736361303654,0.0112147590960191,0,0,0,0,0,0
X002129.SZ,0,0,0.130614643704865,0.095719954540769,0,0,0,0,0,0,0,0,0.112335896935018,-0.120928285210188,0,0,0,0,0,0,0,0,0,0,0,-0.0177629154729734,0,0,0,0.18832333918995,0,0.0464615611596923,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673670409345258,-0.0212886472648674,0,0,0,0,0,0
X600372.SH,0,0.134490287591554,0,0,0.139839490346286,0,0,0,0,0.154878911009592,0,0,0.0774418884131041,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412969698720213,0.0253940589213928,0.00164997306012489,0,0,0,0.00544082325867028,0,0,0,0.0662561621374592,0,0,0,0.114304562658189,0,0,-0.0262169784671478,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0.0517571929184026,0,0,0,0,0,0,0,0,0,0,-0.0663503977081194,0,0,0,0.335496623736283,0,0.0272589911251604,0,0,0,0,0.075889985412386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460683051595828,0,0.121180130310093,0,0,0,0,0,0.000720405047045188,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.0331593757751439,0,0,0,0,0.602074771195949,0,0,0,0,0,0.0187641606038597,0,0.0299824172696242,0,0,0.0797532485694964,0,0,0,0,0,0,0,0,0,0,0.0482777533670573,0,0.00822036257473573,0,0,0,0,0,0.124763336817531,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0190228196646787,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.0471509390976181,0,0,0,0,0.0720006508194903,0,0,0,0,0.103513616387583,0,0,0,0,0,0,0,0,0,0,0.16415332568449,0,0,0,0,0.174309521183683,0,0,0,0,0,0.0181335332532127,0,0.131372415542153,0,0,0,0,0,0,0,0,0,0.0274497902597279,0,0,-0.00897131402179631,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0271270156348691,0,0,0,0,0.20099584898146,0,0,0,0,0,0,0,0,0.329893105981612,0,0,0,0,0,0,0.022711471715274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198244442668629,0,0,0,0,0,0,0,0,0,0,0,-0.0329726136701695,0.00167004538372336,0,0,0,0,0,0
X002241.SZ,0,0,0,-0.00347880976076342,0,0,0,0,0,0.0827977687400947,0,0,0,0,-0.0755748131062662,0.0974938247516869,0,0,0,0,0.0483405416064618,0,0,0,0.198885419483773,0,0,0,0.119390500781609,0,0,0.0587903723308882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696782744948656,0,0,-0.0190649390239196,-0.0354041579911359,0,0,0,0,0,0
