,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X002007.SZ,X002236.SZ,X300142.SZ,X002371.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X601799.SH,X300003.SZ,X000799.SZ,X000800.SZ,X002074.SZ,X002008.SZ,X000066.SZ,X300146.SZ,X600089.SH,X002294.SZ,X000977.SZ,X600707.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0,0,0,0,0.255216129620354,-0.104492874393612,0.0156957695558546,0,0.041137097284958,-0.00873628812879168,0,0,0,-0.00904013633335847,0,0,0.0527703893642806,0,0,0,0,0,0,0.0710291013609054,0,0,0,0.0540811531593808,0,0,0,0,0,0.221259158459103,0,0,0,0,0,0,0.0406842308317503,0,0,-0.0272766691064928,0,0.203194292856654,-0.0506819853051058,0,0,0,0,-0.0120504027770669,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.265504547024004,0,0,0,0,0,0,0.179936973380848,0.0757396973184218,0,0,0,0,0,0,0,0.0561363530465284,0,0,0,0,0,0,0,0,0,0,0.143476458701342,0,0,0,0,0,0.123851189831808,0,0.181622229266062,0,0,-0.0186436083277968,0,0,0,0.152593149103655,0,0,0,-0.0230874177439808,0,0,0,0,0,0
X600703.SH,0,-0.107288653868572,0,0,0,0,0.204389100699979,-0.11340072350973,0,-0.220289457178564,0,0,0.0362038567385768,0,0,0,0,0,0,0.290428244580967,0,0.156839999339666,0,0,0,0,0,-0.0386121379317571,0,0,0.159784547714906,0,0.214634486649074,0,0,0,0.155184519091132,0,0,0,0,0.290891142988891,0,0,0,-0.245610219880035,0,0,0,0,0,-0.0815834131715087,0,0,0,0,-0.133897762664471,0,0
X002241.SZ,0,0,0,0,0,0.0643732356158902,0.0745479369430734,0,0,0,0.307886967103805,0,0.29756584473691,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259298788052734,0,0,0,0.0423355235131106,0,0.140134952518115,0,0,0,0,-0.0267919056208099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370049515110699,0,0,0,-0.0330064560866229,0,0
X002129.SZ,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0262385618179756,0,0,0,0,0,0.0490126914243993,0,0.103863200288129,0,0,0,0,0,0,0.160338341678296,0,0,0,0,-0.111811585658414,0,0.301539046050483,0,0,0,-0.116659788929489,0,1.73472347597681e-18,0,0.147046871588528,0,0,0.0331011778571522,0.394736729134196,0,0,0,0,0,0,0.0237787721256441,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.162718371085227,0,0,0.174788524106961,0,0,0,0,0,0.170560682458283,-0.0984696505691631,0,0,0,0,0,0,0,0.0179194475170011,0,0,0,0,-0.0544111206558208,0,0,0,0,0,0,0,0.216064419103528,0,0,0,0,0,0,0,0,0,0,0,0.138974618836961,-0.160763653208332,0,0,0,-0.0382641972444379,0,0
X000625.SZ,0,0,0,0,0,0,0,0.0814330154367385,-0.328479923643388,0,0,0,0,0,0,0,0,0,0,0.264183985992665,0,0.212855795391709,0,0,0,0.253750637866204,0,0,0,0,0,0,0,0.0338992461170785,0,0,-0.0841840027082042,0.215784372570635,0,0,0.215474046507411,0,0,0,0.0556761268441965,0,0,0,0,0,0,-0.0307091808155676,-0.00962314703997131,0,0,0,-0.135078721394944,0,0
X601877.SH,0,0,0.0653453599119546,0,0,0,0,0,0,0,0,0,0.0616951801079282,0.0255597932641953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0143678699647243,-0.0155955225195799,-3.46944695195361e-18,0.209351645988986,0,0,0,0,0,0,0,0.035222170874477,0,0,0,0.208890051865583,0,0,0,0,0,0,0.00926459527471907,0,0,0,-0.0567202682980999,0,0
X002179.SZ,0,1.73472347597681e-18,0.0473968577675643,0,0,0,0.0302116379388288,0.0877453400674183,0.0636263725557329,0,0,0,0,0.00742106772051341,0,0,0,0.0978169926356394,0,0,0,0.0864712982164515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410079444018993,0,0,0.0203166928064026,0,-0.118638858090349,0,0,0,-0.0187154430946436,0,0,0,-0.120340952838678,0,0
X002007.SZ,0,0,0.115600555367403,0,0,0,0,0,0,0,0.179008869182781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329989068525003,0.140386719601059,0,0,0,-0.216091003754072,0,0,0,-0.0334667416240106,-0.0583308341565379,0,0,-0.00603071357854833,0,0,0,0,-0.0540151435961424,0,0
