,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000063.SZ,X002371.SZ,X000596.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X002463.SZ,X002007.SZ,X000800.SZ,X600522.SH,X601799.SH,X002028.SZ,X600460.SH,X600418.SH,X002074.SZ,X002294.SZ,X300142.SZ,X000066.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002304.SZ,-1.73472347597681e-18,0,0.00616821572465024,0,0,0.317231607101061,0,0,0,0.0183938765466077,0,0,0,0,0,0.0869247996808105,0,0,0,0,0.159260654553874,0.0858089996347036,0,0,0,0,0,0,0,0,0,0,0,0,0.0709981470580785,0,0,0,0,0,0,0,0,0,0.0153357431774304,0,0,0,0,0,0,0,-0.0317864777844993,0,0,0,-0.0443257714425354,0,0
X300124.SZ,0,0,0,0,0,0.150097838673179,0.0683025023631726,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213624536179358,0,0,0,0,0,0.104360221800648,0,0,-0.131698125614164,0,0,0.0357458140213752,0,0,0,0,0,0,-1.0842021724855e-19,0,0.10388363544543,0,0,0,-0.114568092005633,0,0.397065374244418,-0.067065747224067,0.0264871175247174,0,0,0.0187085367285427,0,0,0,0,0,0
X600104.SH,0.201943794841817,0,0,0,0,0,0,0,0,0.00366524333582156,0,0.0909404195540133,0,0,0,0,0,0,0,0,-0.0364550568322948,0,0,0,0,0,0,0,0,0,0,0,-0.0288770017153919,0,0,0,0,0,0,0,0,0,0,0,0.067573630103205,0,-0.0294492466321681,0,0,-0.113787584733258,0,0,0.0386240424665959,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.180202865176622,0.07214396087645,0,0,0,0,0,0.0628952710914208,0,0,0.0475156675808622,0,0,-0.0684669837351207,0,0,0.0570079619147528,-0.134266143926853,0,0,-0.0665441572443472,0,0,0,0,0,0,0,0,0.0396045397577587,0,0,0,0,0,0,0,0,-0.090174725127547,0,0,0,0,-0.0038449809707881,-0.00374771720579516,0,0,0,-1.73472347597681e-18,0,0
X000725.SZ,-0.289897282863151,0,0,0,0.0542969578802344,0,0,0,0,0.0684033222148774,0,0,0,0,0,0,0,0,0,0,0.127943531934778,0,0.716396263687125,0,0,0,0.0358117117383804,0,0,0,0,0,0,0,0,0,0,0.115758769109369,0,0.0330250719139489,-0.0292127632899705,0,0,-0.0344619690790375,0,0,0,0,0,0,0,-0.0313430157259606,0.0599553530429945,0.0107949504362705,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660692030447029,0,0,0,0,0.153296147410856,0.313307107037972,0,0,-0.305439266592412,0.0216199612494924,0,0,0,0.210304352559463,0,0,0,0,0.226764694379396,0,0,0,0,-0.0582974395010899,0.163225586073805,0,0,0,0.0507228811442007,-0.110830908517666,0,-0.0140304270894735,0,0,0,0.0607564411295417,0,0
X002371.SZ,0,0,0,0,0,0,0.0153369863712664,0,0,0.0999053534755052,0,0,0,0,0,0,0,0,0,0,0.0105759196002633,0,0,0,0,0.262178432298752,0,0,0,0,0.338952668922111,-0.0885841561042002,0.16008469893272,0,0,0,0,-0.0988283898433632,0,0,0,0,0,0,0,0,0,0,-0.0317947131713242,0,0,-0.0278011508167698,0.0546741343272538,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0.49182337891781,0.0753691338643637,0,0,0,0.0933057845919359,0,0,0,0,0,0.0133683122977896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228061828470772,0,0,0,0,0.0241453118412619,0,0,0,0,0,-0.0585545517591565,-0.0810822050551612,0,0.0244184476724439,-0.0466652102530741,0,0,0,0,0,0,0.00601561794335223,0,0,0,0,0,0,0
X000338.SZ,0,0,-0.107099508132687,0.352869893093592,0,0,0,0.26591993825402,0,0.29554113769586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249692419042719,0,0,0,0,0,0,0,-0.116509230644946,0,0,0,-0.057060470862664,0,0,0,0,0,0,0,0,0,0,0,0.00257060018363161,0.00680049722341199,0.00353911370784244,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.157207491645543,0,0,-0.0651218442374302,0,0,0,0,0,0,0,0,0,0,0,0,0.0341607416676728,0,0,0.00779771693055248,0,0,0.19166163783457,0.164041970951457,0,0.0397098843997288,0,0,0,0,0,0,0,0,0,0,0,0,0.174676325453816,0,0,0,-0.0573860918945934,-0.000514417349605517,0,-0.0295591977178143,0,0,0,0,0,0,0
