,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600031.SH,X600271.SH,X002475.SZ,X002456.SZ,X600118.SH,X002085.SZ,X600177.SH,X002292.SZ,X000338.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X000559.SZ,X600372.SH,X300003.SZ,X600867.SH,X300124.SZ,X002426.SZ,X002506.SZ,X601877.SH,X600498.SH,X002508.SZ,X002074.SZ,X002294.SZ,X600089.SH,X600522.SH,X000050.SZ,X600418.SH,X000977.SZ,X000550.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600418.SH,0,0,-0.139900472065143,0,0,0,0,0,0,-0.0739988983235387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123633497030469,0,0,0,0,0.0373816324012422,0,0.079507156258262,0,0.4747015763372,0,0,0,0,0,0.0818460058545065,0,0,0,-3.46944695195361e-18,0,0,0.0230494332608433,0,0,0,-0.0561144504633395,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0344669824881622,0,0.201773171132606,-0.154633989878898,0,0,0,0,0,0,0.183001529857424,-0.11638889360601,0,0,0,0,0.160968192001725,0.0429537322271208,0,0.0747657524187746,0,0,0.250708328833608,0,0,0,0.144470972385246,0,-0.0447754302283971,0,0,0.0256598459049251,0,0,0,0,0.10346271301786,0,0,0.0569588181852901,0,0,0,0,0,0
X000550.SZ,0,0.18327207408724,0,0,0.0486461971384854,0,0.195099808252944,0,0.30899672780213,0,0,0,0,0,0,0,0,0,0,0,0,0.136362449596861,0,0,0,0,0.569734068274633,0,0.134578244928831,0,0,0,0,0,0,0,-0.154800538702715,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0933262229199103,0.159973376185954,0,0,0,0,0,0
X000869.SZ,0,0,0.145709338345556,0,0,0,0.148458736672014,0,0,0,0,0,0,0,0.222752149915631,0,0,0,0,0,-0.291215169530329,0,0,0,0,0,0,0,0.195584650893291,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.101705922952899,6.93889390390723e-18,0,0,0,0,0,0.3440350285197,0,0,0,0,-0.0116192951952872,0,0,0,0,0,0
Change_TY3M,0.0635514469139252,0,0,0.0657948725674419,0,-0.226475634470257,0,0,0.117204163385215,0,0,0,0.0569014067576476,0,0,-0.0519738036288133,0,0,0,0,0,-0.0514176306473354,0,-6.93889390390723e-18,0,0,-0.0643388216355974,0,0,0,0.0462722315401337,0.0249715971704106,-0.0479985964723761,0,0,0,0,0.0764919299067293,0,0,0,0,0,0,0,0,0,0,0,0,-0.00696772076130489,-0.029361680274746,-0.0962260532076377,0,0,0,0,0
Slope,0.293069589239408,0,0,0,-0.26542420173144,0,0,0,0,0,0,0.245243414615637,0,0,0.235611241540782,0,0,0,0,0,0.0525143922015837,0,-0.232477959617829,0,0,0,0,0,0,0.352591581526306,0,-0.395574134910714,-0.581345709411939,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.18253043864404,-0.0753928326037577,0,0,-0.0650795605438367,0,0,0,0.514492244277517,0,-0.669244512318331,0,0,0,0.920892986669874
TED,0.185524930305544,0,0,0.12767717544615,0,0,0,0,0,0,0,0,0,0,0.125046904473438,0,0,0,0,0,0,-0.037493940059837,0,0,0,0,-0.08943158266486,0,-0.0606390771904476,-0.122543555120191,0,0,0,-0.256780103958897,0,-0.0876874946880954,0,0,0,0,0,0,0,-0.015457569513122,0,0,-0.036159798512538,0.108678126183612,0,-0.353956378475067,0.45354934117068,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,-0.116025232335485,0,0,0,0,0,0.0145712137181888,0,0.0635990365543913,0,0,0.109748432995933,0,-0.011255517705621,0,0,0,0,0.0317171576603211,0,0,0.0939869306800914,0,0,0,0,0,0.065182294118352,0,0,0.0422260429149917,0,0,-0.117982780149665,-0.1657366052282,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.301207327286855,0,0,0,0
MKreturn,0,0,0,-0.0200978245802168,0,0,0,0,0,0.0371522945583845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456870151748396,0.0655696740990743,0,0,0,-0.209926003397364,0,0,0,-0.0801118877569734,0,-0.202100269586796,0,-1.73472347597681e-18,0,-0.0389204615606265,0,0,0,0,0,0,-0.0252600034946383,0,0.0443280977499246,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0.00068428856975384,0,0,0,0,0.00176851737371617,0,0,0,0,0,0,0.00130041267697549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.00222507219704395,0,0,0,0,0,0,0,0,0,-0.00173764457410017,0.00492021677888023,0,0,0,-0.0333127838332797,0,0
CarbonVol_Shenzhen,0,-0.0130244997578747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136424710049396,0,0.0305639167897649,0,0,-0.0244367876702773,0,-0.00956284801356728,0,0,0,0,0,0,-0.0404012334056873,0,0,0,0,0,0,-0.0427866698254116,-1.0842021724855e-19,0,0.0462241405701098,0,0,0,0,0.159455336460153,0.0506866934109786,0,0,0,0,0,0
CarbonVol_Guangdong,0,-0.00409814040733754,0,0,0,0,0,0,0,0,0,0,0.00404986613647562,0,-0.00565673458595659,0,0,0,0,0,0,0.00602142152181891,0,0,0,0,0,0,0.00450927812190503,-0.00692706018972739,0,0,0,0,0,0.00790453479855508,0,-0.0096472387865538,0,0,0,0,0,0.00308782145398813,0,0,0,0,0,0,0.00587515266843558,0.00636241878568633,0,0,0,0,0,0
