,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X601877.SH,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X000799.SZ,X600741.SH,X600702.SH,X002007.SZ,X002074.SZ,X002414.SZ,X002236.SZ,X600584.SH,X600779.SH,X600089.SH,X600183.SH,X000800.SZ,X601799.SH,X300146.SZ,X300003.SZ,X600884.SH,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0.0529918446547945,0,0,0,0,0,0.59347193440355,0,8.67361737988404e-19,0,0,-0.0524426518988486,0,0,-0.0148378595284165,0,0,0.0402387976882018,0,0.0751216454339782,-0.0372071784935662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444099435227115,0.109081357246561,0,0,-0.0441114259279304,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0.107385619488178,0,0,0,0.155378621856436,0,0,0,0,0,-0.0319314789598007,0,0,0,0,0,0,0.0581027858204392,0,0,0.10547312894244,0,0,0,0,0,0,0,0,0,0,0.1210113988607,0,0,-0.0237147898764419,0,0,0,0,-0.0393118941747148,0,0.18846882887583,0.137405665289297,0.221725107138065,0,-0.024675418838715,-0.0590032250564752,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,-0.456318095918033,0,0,0,0,-0.0253089612048807,0,0,0,-0.038332983497981,0.265255152720714,0.202362322835325,0.224572579374977,0,0,0,-0.109179584924993,0,0,-0.341958044580089,0.0598498434220563,0.299194317085565,0,-0.0580171681444298,0,0,0,0,0,0.210135433966524,0,0,0,0,0.35694305574338,0,0,-0.208331584452434,0,0,0,0,0,0,0,0,0.0325014328688432,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0379374331388918,0.0376717496657939,0,0.486597162428546,0,0,0,0,0,0,0,0,0,0,-0.0324816597287353,0,0,0,0,-0.1207874071753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556912770285485,0,0,0,0,0,0.0654864045488737,0.0642972939709427,-0.0255095304157594,0,0,0,0,0,0,0,0,0
X000799.SZ,0,0,0,0.42995634040435,0,0,0,0,0,0,0,0,0,0.153009107726982,0.00781984920593721,0,0,0,0.0726264998201072,0,0,0,0,0.0358156747481911,-0.00800889730478867,0,0,0.101226199426678,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.2512421497455,-0.0895289289703578,0,0,0,0.0767694140147615,0,0,0,0,0,-0.0462154353538298,0,0,0,0,0,0,0
X600741.SH,0,0,0,-0.0582545078105869,0.0361036613145188,0,0,0,0.118028246011117,0.0388245781871706,0,0.218302553107724,0,0,0,0,-0.0993715301962676,0,0,0,-0.036127912872183,0,0,0.0632116751059326,0,0,0.0502765862438934,0,0,0,-0.0595147242344421,0,0,0,0,0,0,0.0440089181553425,0,0,0,0,0,0.340841746826524,0,0,0,0,0.295965507359416,0,0,-0.0517020697965569,-0.0516111089851681,0,0,0,0,0,0
X600702.SH,0,0,0,0,-0.0495964848925621,0,0,0,-0.408354573947875,0,0,0,0,-0.101788436811896,0,0,0,0,0,-0.11098468150884,0,0,0,0,0,0.0073373037124899,0,0.80810886454749,0,0,0.169546132058332,0,0,0,0,0,0,0,0,0,0.429057329988845,0,0,0,0,0,0,0.0935098507496452,-0.437646596429183,0,0,0,0.169229305532673,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0.0265271774739439,0,0.0988543295928672,0,0.0169082612996918,0,0,0,0.116231080060033,0,0,0,0,0,0,0,0,0.0864053528115607,0.0141631880739215,0,0,0.0971735423059372,0,0,0,0.00439268936205228,0,0,0,0,0.0360001447946978,0,0,0,0,0,0,0,0,0,0,-0.107249413108167,0,0,0,0,-0.0273207754612213,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0.164909279546056,0,0,0.311024020134871,0,0,0.169392698481856,0,0,0,0,0,0,0,0.062800971989225,0,0,0,0,0,0,0.0192682590299271,0.0219002235226861,0,0,0,0,0,0,0,0,0.0758487789222296,0,0,0,0,0,0,0,0,0,0.0527416475035213,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258894889444645,0,0.0477663995009384,0,0,0,0,0,0,0.282834137520256,0,0,0.161050960450887,0.0195203136414725,0,0,0,0.0435619051041093,0,0,0,0,0,0,0,0.153952705763141,0,0,0.14393918186675,0,0,0,0.136604851293508,0,0.0205844461379263,0,0,0,0,0,0,0
