,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X000100.SZ,X600703.SH,X600271.SH,X000157.SZ,X300003.SZ,X002007.SZ,X002236.SZ,X300124.SZ,X300142.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X600177.SH,X000977.SZ,X002371.SZ,X600498.SH,X002506.SZ,X600776.SH,X600867.SH,X600183.SH,X600487.SH,X300146.SZ,X000066.SZ,X000050.SZ,X600066.SH,X600566.SH,X002129.SZ,X600118.SH,X002049.SZ,X600522.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0.267902073638899,0.0461877680977055,0.0866058305099612,0,0,0,0,0,0,0,0.0827903069185588,0,0,0,0.0201953075528772,0,0.0216012609553412,-0.054645546167521,0,0,0.140474154785626,0,0,0,0,0,0,0,0,0,0,0,0,-0.117100335658656,0,-0.0197619420168618,0,0,0,0.0965639893773244,0,0,0.363670578383642,0,0,0,0,0,0,-0.0476832835573902,0.134653929836922,0,0,0,0.0469078033438761,0,0
X600690.SH,0,0,0,0,0,0.240479676131661,0,0,0,0,0,0,0.0720757117190556,0,0,0,0,0,0,0,0,0.0486001967907331,0,0,0,0,0.187326834861218,0,0,0,0.135687913131129,0,0.0341029971022638,-0.032739591665861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265621050882708,0,0,0,0,0.0120721793276248,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0.655320127524857,0,0,0,0,0,0,0,0,0,0,0,0.0375630305580004,0,0,0,0,0.00738413376484698,0,0,0,0,0,0,0,-0.0527835689429262,0,0,0,0,0,0,0,0.231527136338793,0,0.0428105892515265,6.93889390390723e-18,0,0,0,0,-0.0919939567058454,0.0187501283239139,0,0,0,0,0,0
X002475.SZ,0,0,0.210258644791545,0,0,0,0,0,0,0,0,0,0.0894812855353734,0,0,0,0,0,0,0,0.205389918862133,0,0,0,0,0,0,0,0,0,0.0261222291353801,0,0,0,0,0,0,0,0,0.147768591765638,0,0.0522488039235051,0.00710338863328901,0,0,0.0645440992121716,0,0,0,0,0,0.00444536655497048,0,0,0,0,-0.0680358965378018,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0.227320090517803,0,0,0,0,-0.00855689192390424,0,0,0,0.0438967648160129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160198460971442,0,0,0,0.214717943173846,0,0,0,0.129567472895348,0.24831639005143,0,0,0,0,0,0,-0.0210033601117801,0.047354090302359,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0,0.00871845569913093,0.274660048380323,-0.258868726320599,0,0,0,0,0,0.291662916795461,0,0.58307160582651,0,0,0,0,0,0,0,0.125028539837392,0.0637220822192613,0,0,0,0,0.0840279992665761,-0.146365572814793,0,0,0,0,0,0,0,0.055425495992865,0,0.122415858133947,0,0,0,0,0,0,0,-0.0171560741304792,-0.013504286782471,0,0.0852661715278466,0,-0.0263906189661453,0,0
X000661.SZ,0,0,0,0,0,0,0.0404555230000789,0,0,0.0347347961201237,0.128495041271716,0,0,0,0,0.269555009089435,0,0,0,0.0828762878625882,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107775857290939,0,0,0,0,0,0,0,0.00598097772127916,-0.0415611172720259,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.289601246053935,0,0,0,0,0,0,0,0,0.111951021207188,0,-0.13869331773937,0,0,0.07829492506184,0,0,0.140996014056321,0,0,0.0429303148850181,0,0,0.0330380254858469,0.0611116927291941,0,0.0113491746181853,0,0,0,0,0,0,0,0,0,-0.293691970690992,0,0,0.0438624624290371,0,0,0,-0.0228067789109713,0,0,0,-0.0283732664257268,0,0,0,0,-0.00442941269078391,0,0
X600809.SH,0,0.341322092047113,0,0,0,0.00424798637407238,0,0,0,0,0,0,0.180250561163205,0,0,0.155961799067423,0,0,0,0,0,-0.0729418322282053,0,0,0,0,0,0,0,0,0.0250269115132992,0,0.110760103910792,0,0,0,0.00860524914308485,0,0,0,0,0,0,0.0365960931258479,0,0,0,0,0,0,0,-0.0420642846735923,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.435892475837115,0,0,0,0,0,0,0,0,-0.00403541469227294,0,0,0,-0.0666344632425175,0.0808506286485553,0.0567049626033317,0,0,0,0,0,0,0.0974625187509501,0.0653569464068406,0.357530931901555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128731974647099,0,0,0,0,0,-0.0178956715120422,0,0,0,0,0,0
