,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X000338.SZ,X002236.SZ,X000625.SZ,X601877.SH,X600487.SH,X002456.SZ,X002241.SZ,X002008.SZ,X600066.SH,X000100.SZ,X600809.SH,X300136.SZ,X002508.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000157.SZ,X002085.SZ,X000981.SZ,X000596.SZ,X600177.SH,X600699.SH,X600566.SH,X600498.SH,X002179.SZ,X300142.SZ,X600118.SH,X000661.SZ,X002129.SZ,X002049.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600271.SH,-0.0408444655089336,0,-0.0600096653662591,0,0.0967384974275391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172260241924774,0,0,0,0.0554729917264924,0,0,0,0,0,0,0,0,0.0789548176043787,0,0,0,0,0,0,0,0,0.131607353710804,0,0.0259910181491837,0,0,0,0,0.248873759173017,0,0,0,0.0229584601053847,1.0842021724855e-19,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0248312776091824,0,0,0,0,0,0,0,0,0.0578042365389721,0,0.159675973208256,0,0,0.0898128737604506,0,0.0582401025193291,0.0447614328218602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756706891080979,0,0,0,0,0,0,0,0,0,0.0165046224558952,0,0,-0.00330038625884064,0,0,0,0,0,0,0
X000157.SZ,0,-0.12449450699023,0,0,0,0.0234646502583459,0,0,0,0,0,0,-0.011376899842919,0,0,0,0,0,0.0451320342409386,0,0,0,0,0,0,0,0,0,0,0,0,0.146596362416431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153686468013872,0,0.063511488513217,0,0,-0.00192806322889749,0.0306792498448498,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0650319858957721,-0.0428281789388969,0,0,0,0,-0.0619284333430934,0,-0.0293390413547531,0,0,0,0,0,0,0,0,0,0.137364773754641,0.109853490291106,0,0,0,0,0,-0.044150350170954,-0.0477323846521529,0,0,0,0,0,-0.0408189302846836,0,0,0,0,0,0,0.0167686475543891,-0.0392019154474284,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0.0564616821505385,0,0,0,-0.00475760045888439,0,0,0.000872176477657413,0,0,0,0,0.0121563920204347,0,0,0,0,0,0,0,0,-0.0698976365730011,0.140445963905549,0.0429980485481099,0,0,0,0,0,0,0,0,0,0,-0.0411626102194838,0,0,0,0,0,-0.0205382351206586,0,0,0.0126909656687917,0,-0.0189448024464237,0.0182833482194006,0,0,0,0,0,0
X000596.SZ,0.295826760337273,0,0,0,0,0.178694857552862,0,0,0,0.0591716871182896,0,0.0193373416607788,0,0,0,0,0,0,0,0,0.0151564819326763,0,0,0,0,0.0328062898977615,0.0829972943192649,0,0,0,0,0,0.0958125053236771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320057647828437,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0560349412233355,0,0,0.083271890154331,0,0,0,0,0,0,0,0,0,0,0,0,0.0189897763945353,-0.0597179416572482,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0536345336786093,0,0,0,0.0225923375164702,0.039565109994183,0,0.00290054152129021,0.00185945616883502,0,0,0,0,0,0
X600699.SH,-0.0571877514317314,0,0,0,0,0,0,0,0,0,0,0,0,-0.155117429024199,-0.0277790813830195,0,0,0,0.0804932065428154,0,0,0,0.0630639246766295,0,0,0,0,0,0,0,0,-0.0609119975700323,0,0.0504586815244286,0,0,0,0,0,0,0,0,0.143905588065877,-0.039161792306489,0.0887593789177874,0,-0.103958266145766,0,-0.0519140814723891,0.0559632697191638,0,0,-0.0012756084313619,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0.0803671577439518,0,0,0.208345565892486,0,0,0,-0.0917661304792828,0,0,0,0.0174912605305571,-0.08010909205102,0,0,0,-0.0218638516632806,0,0,0,-0.161826298849156,0,0,0,0,0,-0.0487398456029989,0,0,0,0.0547204038090637,0,0,0,0,0.123183424627067,0,0.0768455440341466,0,0,0,0,0,0,-0.0342784017341145,0.0603325658246224,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0.147079729757075,0,0,0,0,0,0,0.463215936115374,8.67361737988404e-19,0,0.412947599787452,0,0,0,0.0385843480510051,0,0,0,0,0,0,0,0,0,0,0.122119607078347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125647895463093,0,0,0,-0.00619855117659396,-0.0232547859630685,0,0,0,0,0,0
