,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X000100.SZ,X002049.SZ,X002236.SZ,X600372.SH,X000977.SZ,X600584.SH,X002241.SZ,X000157.SZ,X601877.SH,X000661.SZ,X600741.SH,X600522.SH,X002180.SZ,X000733.SZ,X002463.SZ,X002074.SZ,X000988.SZ,X600702.SH,X600460.SH,X000066.SZ,X300142.SZ,X000800.SZ,X002028.SZ,X002007.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0,0,-0.0273466971449265,0,0,0,0,-0.135292884572889,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0345460539048698,0,0,-0.0394512748786939,0,0.0206497271946167,0,0,-0.0402066826668375,0,0,0,0,0.058840701893064,-0.00432926609497606,0.00136049157946699,0.168675509224019,0,0,0,-0.0016467559501828,0.0868906021337491,0.103685308955069,0,0,0,0,0.00467221703558208,0,0,0,0,0,0,0
X600522.SH,0,-0.115081562747828,0,0,0.0262974087279592,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0138383887823425,0,0,0.10752516001222,0.316488553065786,0,0,0,0,0,0.101634023149671,0,0,0,0,0,0,0,0,0,0,-0.136495026624468,0,0,0.0666640045307208,0,0.141517909911828,0.0493038050462166,0,0,0.0865401856560988,0,0,0,0,-0.152669635450596,0.246684960613921,0,0,0,0,0
X002180.SZ,0,0,0,0,0.353399836897056,0.0149530454077322,0,0,0,0,0,0,0,0,0,0.00102226445332569,0,0,0,0,0,0,0,0,0,0,0.0379715093589891,0,0,0,0,0,0,0,0,0,0.0487796602418225,0,0.212074461165203,0.0431596671860511,0,0.0594353620269465,0.0222694539365439,0.0879379448262649,0,0,0,0,0,0,0,-0.0546999727743158,-0.0220325333042124,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0.0303882155702646,0,0,0,0,0,0,0,0,-0.044063752648353,0,0,0,0.0521058191278097,0.122850501523397,0,0.100622333550423,0,0,0,0.0388788667707951,0,0,-0.0424320226064274,0,0,0,0,0,0,0,0.120926864919362,0,-0.0319866882793545,0,0.0304602115301885,0.0349018393279588,0.143980030469198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0.249207639844341,0,0,0,0,0,0,0,-0.0376794047900906,0,0,-0.0323817532914218,0,0,0,0,0,0.135596287231613,0.417445003719323,-0.118025294078333,0.179642312230288,0,0,0,0,0,0,-0.147965050036737,0,-0.296930507466349,0,0,0.205966235592538,0.157914252808233,0,0.0366385884196353,0,0,0,0,0,0,-0.0611818263955128,0.162654834640701,0,0,0,0,0,0
X002074.SZ,0,0.0138618557945832,0,0.0675687739197607,0,0,0,0,-0.0244608984592692,0,0,0,0,0,0,0,0.022019383194167,0,0.0153819548575408,0,0.468002452950633,0,0,0,0,0,0.0282825573666403,0.0109659800818162,0,0,0,0,0,0.141196161018896,0,0,0,0,0,0,0,0,0,0.0652568147364577,0,0,0,0,0,0,0,0.0170132708645287,0,0,0,0,0,0,0
X000988.SZ,0,0,0,-0.138771284880011,0,0,0.140397888521084,0,0,0,0,0,0,0,0,0.262478218351965,0,0,-0.100498706197846,0.0857746697907026,0,0,0,0,0.21789650067235,0,-0.0870367847675005,8.67361737988404e-19,0,0.3425974220098,0,0,0,0,-0.127742926580531,0,0.171242783289689,0.35434608323085,0,0.24582458439971,0,0,0,0,0,0,0,0.12031766615126,0,0,0,-0.0627223783481251,0.264662944108136,0,0,0,0,0,0
X600702.SH,0,0,0.799342908541361,0,0,0,0,0,0,0.135702519525358,0,0,0,0,0,-0.264711972414142,0,0,0.18632123621552,0,6.93889390390723e-18,0,0,0,0,0,0.408630127313323,-0.0894251335008945,0,0,0,0,0,0,0,0,0,0,0,-0.0848695823110431,0,0.17442679281665,0,0,-0.13398879900719,0,0,0,0,0,0,0,-0.161843784431661,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0.0732702645227364,0,0,0,0,0,0,0,0,0.143380506753011,0,0,0,0.0200964452935319,0,0,0,0,0,0,0.0733372879201737,0.160807755455463,0,0,0.0163494741184656,0.00649824412303684,0,0,0,0,0.209069427006986,0.252362830072604,0.126044346420442,0,0,-0.180382085657708,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0535384253428556,-0.00408981031151153,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0.395383497634731,0,0,0,0,0,0,0.0858622249984802,0,0.0977617568668856,0,-0.505653454023834,0,0,0,0,0,0,0.0721224756276813,0,0,0.11115219072814,0,0,0.161543344048339,0,0,0,0,0.434305324151553,0,0.0965797037613228,0,0,0,0.319462730211934,0,0,0,0,0,0,0,-0.0689795945365086,0.0764336619292746,0,0,0,0,0,0
X300142.SZ,0,0,0,0.0106478342111909,0,0,-2.71050543121376e-20,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0411720894588727,0,0.112894062843332,0,0,0.204602179472561,0,0,0.0248995779591905,0.11121222413749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071019202044276,-0.00598289796003816,0.164997605051778,0,0,0,0,0,0,0,0.0524958729571528,0,0,0.0315289635455704,0,0,0,0,0,0,0
X000800.SZ,0,0,0,-2.16840434497101e-19,0,0,0.0339744372488372,0,0,0,0,0,0,0,0,0,0,0.223360766925286,0,0,0,0.0115582933273856,0,0.135297210757331,0,0,0,0,0,0.0474869803010472,0,0,0,0,0,0.0522302129939561,0,0.00036751713589671,0.0486518096706113,0,0,0,0,0,0,0,0,0,0,0,0,0.0196476421511042,0.0550530534683707,0,0,0,0,0,0
X002028.SZ,0,0,0,0,0.00941637599708532,0,0,0.14610128792673,0,0,0,0,0,0,0,-0.0545498756817995,0,0,-0.155323651197603,0,0.174729541020519,0,0,0,-0.062901349851077,0,0,0,0,0,-0.0155946717469698,0,0,0,0.000214973214215362,0,0,0,0.0547138199323201,0,0,0.00729429866108553,0,0,0,0.0250829618293246,0,0,0,0,0,-0.00967848448287214,0.0133548642616199,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0.0845792684050895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576890950551737,0,0.0363711593362936,0.0476071935042422,0,0,0,0,0,0,0,0,0,0,0.0203130110445728,0,0,-0.085757327848787,0.307186685006999,0,0,0,0.164359009266251,0,-0.00283766610165358,0,0,0,0,0,0,0
X300003.SZ,0,-0.0447769605372672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683240405489818,0,0,0,0,0,0,0,0,0.112887230567221,0,0,-0.0355307234228526,0,-0.0681170061553569,0.0794829533084788,-0.14937624171531,0,0,0,0,0,0.268245732227134,0.126868903673945,-0.0416847048716887,0,0,0.0651519600653347,0,-0.0541875991860364,0,0,0,0.175518574151559,0,0,1.35525271560688e-20,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.105371196566449,0.0633969904074661,0,0,0.00816663707074339,0.0959226611889738,4.33680868994202e-19,0,0,0.419930314156626,0.153829996809249,0,0,0,0,-0.281099621316322,0,0,0,0.0973455858105831,0,0,0,0.017619005309403,0,0.0376168982911545,0,0,0,0,0.0478873565745211,0,0,-0.135180705305343,0,-0.0160923016718883,0,0,0,0,0,0,0,0.126568736404965,0,0,0,0,-0.0752919737211455,0,0,0,0,0,0
Slope,0,0,0,0.213096724079141,0,0.139593535835365,0,0,0,0.356782843907048,0,0,0,0,0,0.33715818389133,0,0,0,0,0,0,-0.00567230496731118,-0.117590469214799,0,0,0.203923584962103,-0.0689539086578432,0,0.279927576455131,-0.41819010785479,0,0,0,0,-0.0391407199254291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84296016634527,0,0,0,0,0,0
TED,0,0,0,-0.376027176232972,0,0.47281690108366,0,0,0,0,0,0,0,0,0,0.150483765600275,0,0,0,0,0.164415359900726,0,0,0.696428632008749,0,0,0,-0.0102428642432338,0,-0.0394919266905333,0,0,0,0,0,0,0,0,-0.307700239153016,0,0,0,-0.0567016040716671,0,0.17071230168858,0,0.125650497297645,0,0,0,0,0.356691925844477,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,-0.0299781289970844,-0.0692464476337055,0,0.00890212265153099,0,0,0,0,0,0.226107302388467,0,0,0,0,0,-0.0245997682086731,0,0,0,0,0,0,0.021000171221778,0,0,0.051490332521955,0,0,0,0,0,0.0898567863812293,0.0718634998969598,0,-0.0714605102131097,0,0,0,0,0.0619725173681809,0,0,0,0,0,0,0.0570175120521089,0,0,0,0,0,0,0
