,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X000661.SZ,X600809.SH,X600741.SH,X002241.SZ,X600703.SH,X000596.SZ,X300003.SZ,X600183.SH,X601877.SH,X002007.SZ,X002236.SZ,X000100.SZ,X000157.SZ,X300142.SZ,X000066.SZ,X002179.SZ,X300124.SZ,X300136.SZ,X002008.SZ,X600271.SH,X300014.SZ,X002463.SZ,X000977.SZ,X000625.SZ,X002371.SZ,X600177.SH,X002506.SZ,X002129.SZ,X002456.SZ,X600066.SH,X600867.SH,X002049.SZ,X600498.SH,X002508.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002241.SZ,0,0,0,0,0,0,-0.125304794662631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197683562332281,0,0,0.224614641335705,0,0,0,0,0,0,0.138234492529579,0,0,0,0,0.157033769222243,0,0,0,0,-0.0337721917342464,0.0178491789363627,0,0.0573331114940219,0,0,0.454038691904594,0,0,1.73472347597681e-18,0,0,0,0,0.0658781286276116,0,0
X600703.SH,0,0,0,0,0,0,0.138918641520496,0,-0.0616218870350236,0.208766887422084,0,0,-0.172752717970727,0,0,0,0,0,0.0910508342846216,0,0,0,0,0,0,0,0,0,0,0.229586142469943,0,0,0,0,0.27520494733354,0,0,0,0,0,0,0,0,0.053014138388572,0,-0.0202070849622121,1.38777878078145e-17,0,0,0.367193089654424,0,0,0,0,0,0,-0.0540686526538356,0,0
X000596.SZ,0.0421343827895075,0,0,0,0,0,0,0,0.0562841216331898,0,0.230820475011893,0,0,0,0,0,0.296679697343429,0,0,0,0,0,0.0932396822210986,0,0,0,0,0.068593302337573,0,0,0,0,-0.076105458814702,0,0,0,0,0,-0.0402429586296207,0.0259713851508044,0,0,0,0,0,0,0,0,0,0,0,-0.0348275543159903,-0.00763195843439363,0,0,0,-0.0580647953319639,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0.0797312982571541,0,0,0,0,0,0,0.0784515740266983,0,8.67361737988404e-19,0,0.120056474312026,0,-0.0102687212075998,0,0,0,0,0,0,0,0,0,0,0,0,0.0133891576414787,0,0.200313857890415,0,0.0940514420041814,0,0,0.0197573443331922,0,0,0,0,0.127647828772517,0,0,0,0.00683390405522291,0,0,0,0,0.0212567477163834,0,0
X600183.SH,0,0,0,0,0,0,-0.100807518877384,0,0,0,0,0,-0.106374835939953,0,-0.18088692312085,0,0,-0.0146758519384609,0,0.327591975183904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740145206865302,0.0838377583594837,0,0,0,0,0.13156861115935,0.231419215668682,0,0.146326884042372,-0.130604491836401,0,-0.106688473714472,0,0,0,0.0213528317057066,0,0,0,0.119230656346036,0,0
X601877.SH,0,0,0.0871726620720019,0,0,0.0539605650308236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267626729496527,0,0,-0.0383411635341895,0,0,0,0,0.0753678204636648,0,-0.0200008296068827,-0.0929803092715051,0,0,0.0220407159342709,0,0,0,0.0603739496285488,0,-0.216318302778248,0,0,0.163845452348215,0,0,0,0,0,0.0967685905653076,0.098934740252167,0,0.0202188416633958,0,0,0,0,-0.0348042387024174,0,0
X002007.SZ,0.271433322007168,0,0,0,0,0,-0.253983245472855,0,0,0,0,0,0,0,0,0.0345402881648209,0,0,-0.128793793624223,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.0818937226694348,0,0.0644109699154494,0,0.0235614469039512,0.027050476357878,0,0,0,0,0,-0.00935816139367954,0,0.077135632347916,0,0,0,0,0,-0.0143484844370418,0,0,0,0,0.0342622712151719,0,0
X002236.SZ,0,0,-0.267245793659154,0,0.691690817900532,0,-0.0806845264121987,0,0,0,0,0,0,0,0,0,0,0,0.0688241545650524,0,0,0,0,0,-0.0990427336067245,0,0,0,0,0.0374563274707801,0,0,0,0,0,0.0108884792607062,0,0,0.0614598217800977,0,0,0,-0.028417434288077,0,0,0,0,0,0,0.0813916086970057,0,0,8.67361737988404e-19,0,0,0,-0.0242679026128793,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0820989300439793,0,0,0,0,0,0,0.0383330906201554,0.0681813696966065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898926584059597,0.155150478345339,0.0374954710773923,0.0147862732928167,0,0.0187356327968035,0,0,0,0,0.000764184495592101,0,0,0.125328342394414,0,0,0.106801885201248,0,-0.00369483896295134,0,0,0,0,-0.00134539525147214,0,0
X000157.SZ,0,0,0.0723353710489999,0,0.00439753543809328,0,0,0,0.0172889760971022,0,0.0427754295202574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755721088844546,0,0,0,0,0.0350042382881759,0,0,0.0730520731884049,0.0642433673927273,0,-0.0820535687313949,0,0,0,0,0,0,0,0,0.0832686515043365,0,0,0,0,0,0,0,-0.031644214608486,0,0
