,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X000568.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X002007.SZ,X300142.SZ,X300124.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X600741.SH,X002049.SZ,X601877.SH,X300003.SZ,X002236.SZ,X000157.SZ,X600584.SH,X002129.SZ,X000800.SZ,X002414.SZ,X300136.SZ,X600183.SH,X000625.SZ,X002179.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X600118.SH,X601799.SH,X002185.SZ,X000050.SZ,X002008.SZ,X002294.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000661.SZ,0,0,0,0.273575474143689,0,0,0,0,-0.0121062596526501,-0.175511504572835,0,0,0,0,0,0,0.00432864316973875,0,0,-0.0403884013278368,0.128006478914045,0,0,0,0.163304134323543,0,0,0,0,0,0,0,0,0,0,-0.0413384961400464,0,0,0,0,0,0,0,0,-0.0605213459283993,0,0,0.0324983428699651,0.113036003945513,-0.0144257209360013,0,0,-0.0362780450753557,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0977652783130573,0,0,0,-0.0752315089624168,0,0.00738842737794136,0,0,0,0,0,0,0.396855489619537,0,0,0,0,0,0,0,0.116047905963668,0,0,0,0.324764301254555,-0.0062127625131048,0,0,-0.0185275279810704,0.0649850020367291,0,0.0134287414112672,0,0,-0.0569884791586687,0,0,0,0,0,0,0,-0.00597100588806448,0,-0.0413354918228495,-0.0111504272500149,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,-0.102667535518096,0,0,0,0,0.150116596829283,0,0,0.134363700400175,0,0,-0.0231989279485242,0,0,0,0,0,0,0,0,0.0806101631763605,0,0,0,0,-0.0735963857945928,0,0,0,0,0,0,0,0,0,0,0,0.122154978778206,0,0.364417410661473,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.518614118076755,0,0,0,0,0.00933753889627438,0,0,0,0,0,0,0,0,0,0,0.265205732014778,0,0,0,0.049547835372083,0,0,0,0.0932855911644059,0,-4.33680868994202e-19,0,0,0,0,-0.13190372942245,0.112090252072419,-0.0742308479230164,0,0,0,0,0,0,0,0.0288073048798252,0,0,0,0,0,0,0.0257007143395043,0,-0.0208862994124696,-0.00485073411648574,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0255654839397893,0,0,0.006240555806447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031468954219074,0,0,0,0,0,0,0.128571459972753,0,0.0656948986872846,0,0,0,0.00797902986975554,0,0,0,-0.00492274522951122,-0.00235073251707125,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.00242034668267616,0,0,0,0,0,0,0.036379489032799,0.191656257477487,0,0,0,0,0,0,0,0.0970784874155679,-4.33680868994202e-19,0,0,0,0.140279096619669,0,0,0.0720207912616691,0,0,0,0,0,0,0,0,0,0.0105919396818794,0,0,0,0,0,0,0,-0.000498462972155553,0.0128034389679532,0,0,0,0,0,0
X002241.SZ,0,0,0,0.40082547959014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468570724518882,0,0,0.152150859701144,0,0,0.012419198448091,0,0,0,0,0,0,0,0.0160073185939948,0,0,0,0,0,0,0,0,0,0,0,0.0232230923385209,0,0,0,0.0395248636466589,-0.0178152267007265,0,0,0,0,0,0
X000596.SZ,0,0.493928157443939,0,0,0,0,0,0,0,0,0,0,0,0.122256850338676,0,0.219820096949794,0.0308141516866426,0,0,0,0.0163602445618511,0,0.215765507452937,0,0,0,0,-0.0664775984059982,0,0,0,0,0,-0.0121598847821173,-0.0390403770913078,0,0,0,0,0,0,0,0,0,0.158369968236791,0,0,0,0,0,0,0,-0.0270384003087181,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.0773189138523864,0,0,0,0,0,0,0,0.071088726727246,0,0,0,0,0,0,0.0869276623214024,0,0,0,0,0,0,0.154987886880945,0,0.263998657459663,0,0,0,0,0.0501990189644834,0,0,0,0,0.0407524898038637,-0.0112667314107392,0,0.0119334146660546,0,0,0,0.006293102319574,0,0.0315765311672206,0.010710184605813,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0.360047560406163,-0.0893711719585381,0,0,0.260136907599089,0,0,0,0,0.0384894923912654,0,0,0,0,0,0.07750016854304,0,-0.0215387575773365,0,0,0,0,0,0.01262067753783,0,0,0,0,0,0,0,0,0,0,0,0,-0.00156114675806833,0,0,0,0.0325964039698089,0,-0.024373212588137,0,0.0516323990589334,0.0119354947889065,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0.115732379072314,0,0,0,0,0,0,0,-0.0599056842201097,0,0,0.286988969803684,0,0,0,0,-0.036223132139924,0,0.145522620488243,0.31940858404785,0,0,0,0,0,0.069101972189573,0,0,0,0,0,0,0,0.113032263890931,0.143643856349651,0,0,0,0.113355189736152,0,0,-0.00990755347155096,-0.0218694617661859,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200095188915395,0,0,0,0,0,0,0.560695762209217,0,0,-0.0166822182408833,0,0,-0.229741240661462,0,0,0,0,0,0,0.11757800954438,0.174004963975199,0,0,0,0,0,0,0,0,-0.098373841969237,0,0,0,0,0,0.480394214678816,0,0.0263187471193486,-0.0191236076030517,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0192300855750818,0,0.242803503702525,0,0,0,0,0,0.0843423968815722,0.0301253706067022,0,0,0,0.038477294328643,0,0,0.218569939111956,0,0,0.015956693848173,0,0,0.169292135931029,0,0,0,0,0.327609649505675,0,0,0,0,0,0,0.00472727654339507,0.0266452677482337,0,0,0,0,0,0
