,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X600104.SH,X002304.SZ,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X000661.SZ,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000157.SZ,X600584.SH,X000977.SZ,X000800.SZ,X601877.SH,X600522.SH,X002007.SZ,X601799.SH,X600183.SH,X002074.SZ,X002180.SZ,X600418.SH,X002463.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000733.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002049.SZ,0,0,0,0,0,0,-0.0520179098028783,0,0,0,0,0,0,0,0,0,0,0.143960701442946,0,0,0,0,0,0.152425523280675,0,0.244648916258832,-0.0462739991583145,0,0,0,-0.0883566819144501,0,0,0,0,0,0,0,0,0,0,0,0.0685358559209011,0.141143268108215,0,0,0,0,0.209600308153319,-0.22267828442885,-0.137428322315601,0.0549102818726719,-0.144907145639775,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.09521017876408,0,0.0985460815794009,0,0,0,0,0,0,0,0,0,0.061277936561739,0,0,0,0,0,0,0.0754280638645846,0,0.00676070893088788,0,0,0,0,0,0.178569976679191,0,0,0,0,0,0,0.144047954843365,0,0,-0.0402431153641384,0.0743806711865369,0,-0.071490030020879,0,0,0.0992300697793141,0,0.053129206274142,-0.0931706790219193,0,0,0,0,0,0
X600741.SH,0.119946560453138,0,0,0,0,0,0,0,0.0295153482639655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106063462148525,0,0,0,0,0,0,0,0,0,0.0466266698561269,0,0,0,0,0,0.296745446869097,0.106837854718353,0,0,-0.02541593329357,0,0,0.0424609294334014,-0.0110024848018542,0,0,0.144517957282393,0,0
X000157.SZ,-0.018431586930678,0,0,0,0,0,0,0,0,0.0839368326343228,0.0901913826236296,0,0.150494795509625,0,0,0,0,0,0,0.418204098784372,0,0,-0.0390398419634596,0,-0.148076715359332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266685216170395,0,0,0,0,0,0.130701052865655,0,0,0,-0.0321759926923497,0,0,-0.00978846184492589,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0732973727558352,0,0,0,0.159292642650945,0,0,0,0,0.1936323661619,0.178375942148268,0.0228124723491909,0.040201088417946,0.128366680800729,0,0,0,0,0,0,0,0.0417364242426527,0,0,0.0481432595937485,0,0.0139931987213487,0,0,0,0.0391550140845068,0.0954638398844551,0,-0.0169197396927359,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227112164242366,0,0,0,0,0,0,0.290167333634192,0.257164486055012,0,0,0,0.037923100014717,0,0,0,0,0,0,0,0,-0.0777900416239764,0,0,0.238088397306887,-0.155021285471918,0.572500043866878,0.058205050979135,0,0,0,0.109454695550563,0,0.0440315553137032,-0.105047107335819,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.409749328984236,0,0,0,-0.121471828387669,0,0.273858244373959,0,0,0,0,0,-0.0230429570443579,0,0,0,0,0,0,0,0,0,0.021901752641285,0,-0.0046113869505729,0,0,0,-0.130549652086318,0,0,0,0.107539065866603,0.152815093424459,0,0,0,0,0,0,0.106536474568277,0.0267052839995032,0.0239052926374656,-0.179450435186628,0,0,0.121919359375228,0,0
X601877.SH,0,0.266660277470697,0,0,0,0,0,0,0.101771068098961,0,-0.0291427150181012,0,0,0,0,-0.45286953016531,0,0,0,0,0.0860916527337373,0,0,0.0209560957193224,0,0.169974170639805,0.0653700409881279,-0.0304503573678167,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0668728750634482,0.0298635126749202,-2.71050543121376e-20,0,8.67361737988404e-19,0,0,0,0,0,-0.0136127473734252,0.027938337875004,0,0,0,0,0,0
X600522.SH,0,0,-0.0508116042743924,0,-0.0554152112373542,0,0,0,0,0,0,0,0.0185879950361967,0,0,0,0,0,0.0430512397479209,0.293140475677014,0,-0.0754756717328263,0.133042823585013,0,0,0,0,0,0,0,0,0,0,0,0.119729986751088,0,0,0,0,0.143033098568136,0,0,0,0.118001669809652,0.00980969197918787,0,0,0,0,0,0,0.0114581440736355,0,0.0128987902520894,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0.0123318108489112,0,0,-0.168476915220352,0,0,0.0580688280144089,0,0,0,0,0.0447100136353785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145689563499199,0,0,0,-0.0343848969957042,0,0.116632929818582,0,0.16914170117682,0,-0.0139108407585234,-0.0178695261707903,0.0269519560211607,-0.0478595281624507,-0.0908961156074046,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198718115918285,-0.004325516510781,0,0,-0.0827443471241848,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150384920468054,0,0,0,0.458555507554829,0,0,0,0,-0.00798271724125968,-0.0188620657768957,0,0.299424972385706,0,-0.0918939209120046,0,0,0,0.000771408614335564,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0.0960225513056033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180337749106436,0,0,0,0,0.159459081640152,-0.070854264731187,0,0,0.106587905702809,0.0180830788734634,0,0.156632864135659,-0.0126171877989332,0,0,0,0,0,0,0,0,-0.0371034753994073,0.0743393887266195,0,-0.00738559036985492,0,0,0,0,0.0466806062490539,-0.0669773488633964,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0.134667526207512,0,0,0,0,0,0,0,0,0,0,0,0.274760662845669,0,0.0568983781102747,0,0,0.21077453813673,0,0,0,0,-0.0403672358017173,0,0,0,0,0.00440767322757392,0,0,0,0.081895213201632,0,0,0.0896719505311779,0,0,0,0,0,0,0.0433868409195725,0,0.0138558439387029,0,0,0,0,0.00687694172056453,0,0
