,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X600703.SH,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002008.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600487.SH,X600566.SH,X600498.SH,X000625.SZ,X000661.SZ,X002179.SZ,X600867.SH,X300146.SZ,X600809.SH,X000596.SZ,X600177.SH,X002180.SZ,X002294.SZ,X000157.SZ,X002506.SZ,X300142.SZ,X600089.SH,X300136.SZ,X600066.SH,X600372.SH,X002241.SZ,X000977.SZ,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0,-0.0888055797197622,0,0,0.100304377988481,0,0,0,0,0,0,0.240456009922047,0,0,0,0,0.105980279989431,0,0,0,-0.00443222592262547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184500422206762,0.188514436960718,0,0,0,0,0,0.13391484521287,0,0,0,0,0.0162592779248947,-0.0126875863366745,0,0,0,-0.0843652992944715,0,0
X600867.SH,0,0,0,0,0,0,0.437410005067751,0,-6.93889390390723e-18,0,0,-0.0728114096401008,0,0,0,0,0.443201150698923,0,0,0,0,0.586357098986492,0,0,0,0,0.0887528646607075,0,0,0,0,0,0,0,0,0,0.305405689490606,0,0,0,-0.346943274299479,0,0,0,0,0,-0.000656582831739437,-0.245149907219155,0,0,-0.279421811984075,0.121548071225942,-0.101158162064654,0,0.451344550679576,0,-0.060415766452664,0,0
X300146.SZ,0,0,0,0.489446142707524,0,0,0.343625360127696,0,-0.242225468437046,0,0,0,0,0.0537632402317509,0,0,0,0.481552495564469,0,0,0,-0.049312908637939,0,0,0,0,0,0.377458529806886,0,0.0179587727098688,0.213362155405248,0,0,0,-0.0844935271379594,0,-0.0450885108825845,0,0,0,0,0,0,0,0,0.0647672218170063,0,0,0,0,0,0.020762386981294,-0.0575289217600347,0,0,0,0,0,0
X600809.SH,0.0384192036458404,0.0471459938469255,0,0,0,0,0.167020909891689,0,0,0,0,0,0,0,0.225443537172082,0.0858344261340849,0,0,0,0,0.0877064675047501,0,0,0,0,0,0,0,0,0,0.0521047726693438,0,0,0,0.283055429417145,0,-0.0394461665989081,0,0,0,0,0,0,0,0.0323300087635033,0,0,0,0,0.206859413268625,0,0.0115497828568091,-0.0583748309256604,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0.086818411119496,0.398368829031846,0,0,0,0,-0.0172632533269798,0,0,0,0,0,0,0.0382853241982238,0,0,0.0559713269167653,0,0.0647012343260963,0,0,0.0479613796215834,0,0,0,0,0,0,0.171829425914372,0,0,0,0,0,0,0,0,0,0.0417675111219522,0,0,0,0,0,0,0,0.0280292128433018,0.0309266540449285,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0123897127112527,0.0893318831890763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792330686430817,0,0,0,0.0216608155921912,0.0676782427251796,0,0,0.000774402169190717,0.0301870358749927,0,0,0,0,0.0759972888042196,0,0,0.006449062595649,0,0.212624032703513,0,0,0,-5.42101086242752e-20,-0.00788321863222801,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137331983702137,0,0.00837011935247979,0,0,0,0,0,0,0.0755513099710787,0,0,0,0.174602044130415,0,0,0,0.193862846048206,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0325437893815314,0,0.0296046603928262,0,0,0,0,0.218176418902464,0,0,0,-0.0119287113827598,-0.0576161813231179,0,-0.149660006543652,0,0,0,0
X002294.SZ,0,0,0,0.0214475049776364,0,0,0,0,0,0.0431025231314857,0,0,0,0,0,0,0,0,0.00459920813614049,0,0,0,0,0,0,0.0939005598412894,0,0,0,0.104742823703647,0,0.151042515472241,0.0661856858815895,0.288032074435741,0,0,0,0,0,0,0,0,0,0,0,0,0.0269327381877624,0,0,0.0287390900861532,0,0,-0.010365275394714,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0466799391519999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909445430697244,0,0,0,0,0.0176474990176684,0.123553611737874,0,0,0,0,0,0,0,0.00462249792594113,0,0,0,0,0,0,0,0,0,0.0506047892226569,0.298368281587291,0,0.0625090135920149,0,-0.00855914476965377,-0.0496972116473319,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0.421378309445481,0,-0.0383346832887767,0,-0.0522676296512808,0,0,0,0,0,0,0,0,-0.0332291447010357,0,0,0.141542978205231,0,-0.11859894291342,0,0,0,0,0,-0.050711438962908,0,0,0,0,0.0165784178350089,0,0,0,0,0,0,0,-0.0498351755949313,0,0,0,0,0,0,0.0127276061871204,0.0160617981445442,0,0,0,0,0.0869549619578718,0
