,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X002241.SZ,X002028.SZ,X600066.SH,X000921.SZ,X002236.SZ,X000977.SZ,X600584.SH,X600741.SH,X002049.SZ,X600522.SH,X600183.SH,X601877.SH,X000661.SZ,X002223.SZ,X002129.SZ,X000800.SZ,X002180.SZ,X600060.SH,X002156.SZ,X600177.SH,X600487.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953709100507322,0,-0.0106688205974174,-0.0456992098285389,0,0.385863985609812,0,0,0,0.152712600058749,0,0,0,0,0.201429868609554,0.0511454922954084,0,0.272107457181412,0,0,0,0,0,0,0,0,0,-0.0657445090733379,-0.185520789203885,0.00412361719200019,0,0,0.0343914684410017,0,0,0.13886072059497,0,0,0,-0.0636737781561663,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0399943421098101,0,0,0,0,0,0.00623941161413472,0,0,0.105896241636443,0,-0.060096383229203,0.00510959513832486,0.0710233145410877,0,0.0560308615530358,0,0,0,0,0.0240563910703009,0,0,0,0,-0.00726363656353353,0,0,0,-0.0304992896270122,-0.0393810560448425,0,0,0,0.0233045004986114,0,0.0164409581242509,0,0,0,0,0,-0.00679437519760642,-0.0755478609101147,0.0159770534902807,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0791783543215937,0.117416898948254,-0.0155537715850261,0,0,0,0,0,0,0,0,0,0,0,0.0858289772464046,0,0,0,0.528517460397007,0,0,-0.0447968008515953,0,0,0,0.0746336111701583,0,1.73472347597681e-18,0,0,0.120280480093839,0,0,0,0,0,0,0,0,0,0,0.0634264877929798,0,-0.104437257872708,0,0,0,0,0,0.0283774630698103,0.0598884378801012,0,0,0.0121934283136755,0,0
X300124.SZ,0,0,0,-0.0398787235239457,0,0,0.0823942017487048,0,-0.0705997141365645,0,-0.244075529815907,0,0,0,0,0,0,0,0,0,0,0,0,0.137273978599931,0,0,0,0.0830806991990471,0,0,0,0,0,0,0,0,0.130424915124798,0,0,0,0,0,0.0228388253548532,0,0,0,0,0,0,0,0,0,0.0193330726689983,0,0,0,6.93889390390723e-18,0,0
X000338.SZ,0,0,0,0,0,-0.140541486361716,0,0,0,0,0,0,0,0,0,0,0.0281269338169793,0.0740867488810719,0,0,0,0,0,0.0439469146350335,0,0,0,0,0,0.10848759523598,0.0477518031042055,0,0,0,0,0,0,0,0,0,-0.0450025755467123,0,0,0.0651118396322408,-0.0703345337977847,0,0,0,0.208614356105227,0,0,1.73472347597681e-18,0.0334394638038541,-0.259193399668524,0,0,0,0,0
X002304.SZ,0,0.091662955242293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0598523437733738,0,0.33165069535193,0.0120180042144121,0,0,0,0,0,-0.00472590008932678,0,0,-0.0266320619835126,0,0,-0.0323070633882957,0,0,0.358292151053069,0,0,0,0,0,0,0,0,0,0,0.0135538082101091,0,0,-0.0824439789827437,0,0.0328467072349868,0,-0.240956465779168,0,0,-0.0129005285735087,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120129984062142,0,0,0,0.0419856584915791,0.163668970811841,0,0.356099354256403,0,0,-0.0581645271556528,0,0,0,0,0,-0.0138270230119279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411661752873799,0.0253764337445472,0.0770065612515914,0,0,0,0,0
X000625.SZ,0,0,0,-0.444420703158262,0,0,0,-0.0297942350055424,0.109086783017416,0,0,0.40231285629631,0,0,0.0546243740633112,0,0,0,0,0,0.268606588718354,0.110619229166654,0,0,0,0,0,0.818423523868307,0,0,0,0,0,-0.0409945698148587,0,0,0,0,0,0,0,-0.261998089022363,0.0853860928940759,0,0,0,0,0,0,0,0,0,0.0361103960290728,-0.0611453521944508,0,0,-0.0567012011254278,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514274655502607,0.0293724919395688,0,0,0,0,0.0458251133995502,0,0,0.0849520750828911,0.0116578376794926,0,0,0,0,0,0.225074137977645,0,0,0,0,0.0317866634817444,0,0,0,0,0,0,0.0333775107515318,0.0661092974677894,0,0.0604103206894857,-0.0273714220082558,-0.104705578803944,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0.515056077658023,0,0,0,0,0,0,0,0.00601677649873796,0,0.0468245760407086,0.00204269694350305,0,0,0.0993220529779899,0.0694776611233834,0,0,0,0,0,0.133181956594988,0,0,0,0,0,-0.033824765161615,0.0394886543531413,0,0,0,0,0,0,0,0,0,-0.0409771416479345,0,0.0247589640729654,0,-0.0502273935127589,0,0,0,0.0101511952248013,0,0,0,0,0,0
