,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X600118.SH,X000623.SZ,X601877.SH,X000559.SZ,X000581.SZ,X000568.SZ,X002236.SZ,X000550.SZ,X600066.SH,X600271.SH,X600177.SH,X000800.SZ,X000050.SZ,X300124.SZ,X002475.SZ,X002294.SZ,X600839.SH,X000869.SZ,X002465.SZ,X002129.SZ,X002456.SZ,X300003.SZ,X000400.SZ,X002007.SZ,X002292.SZ,X600252.SH,X600435.SH,X002038.SZ,X000977.SZ,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600276.SH,0,0,0,0,0,0,0,0.210772582825697,-0.044514886156042,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519499344006172,0,0.0676524224324478,0,0,0,0,0,0,0,0,0,0,0,0.0399028800126666,0,0,0,0,0,0,0,0.193785350990565,0,0,0,0,0,0,0,0,0.0131833649795563,0,0,0,-0.11528431820665,0,0
X600690.SH,0,0.253375969863441,0,0,0,0,0,0.165381795099256,0,0,0,0,0,0,0,0,0,0.116616979910611,0.245108775145318,0,0.00820129017731108,0,0,3.46944695195361e-18,0,0.0990852283045914,0,0.0174382169917889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256715481144788,0.102601632011581,0,0,0,0,0,0
X600372.SH,0,0,0,0.0181845390412097,0,0.0966186926840655,0,0.0491100005570571,0,0,0,0,0,0,0,0.14105603334151,0,0,0,0,0,0.207924509773907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586818447559748,0.145027150653129,0.153795028406582,0,0,0,-0.133469807282557,0,0,0.184694420542064,0,0,0,0,-0.048663110309803,0.0521047542538036,0,0,0,0,0,0
X000338.SZ,0,0,0,0.0981116054309815,0,0,0,0,0,0,0,0.128352477410174,-0.0479194209813539,0,0,0,0,0,0,0,0,0.00913993111261651,0,0,0,0,0,0,0,0,0,-0.0240848553192307,0,0,-0.0519530371415816,0,0,0,0,0,0,-0.114621463837222,0,0,0,0.108714099243291,0,0,0.224695723140746,0,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0.128820829361278,0.110518196279494,0,0,0,0,0,0.0865379542192435,0,0,0,0,0,0.0414770128027245,0,0.0218566943079119,0,0,0,0,0,0,0,0,0.0879132133007713,0,0,0.00638568333276156,0,0,0,0.00651546945107626,0,0,0.084062338445696,0,0,0,0,0,0,0,0,0,0,0,0.0770137142149135,0.0251392832580751,0,-0.00868599101181754,-1.0842021724855e-19,0,0,0,0,0,0
X600741.SH,0.103106183485349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123037664057084,0,0,0.0475159806844544,0,0,0,0.095403110093089,0,0.0515573584000847,0,0,0,0,0,0,0,0,0,0,0,0,0.0244858262413034,0,0,0,0,0,0,0,0,0,-0.0185681161793935,0,0.0954722810223518,0,0,-0.0250279974832867,0,0,0,0,0,0,0
X002241.SZ,0,-0.0106728544134235,0,0.0841429988632531,0,0,0,0,0,0,0,0,0.0048160738506328,0,0,0,0,0,0,0,0,0.0455979939615381,0,0,0,0,0,-0.0803293917604958,0,0.0325535674803294,0.0127712734944178,0,0,0,0,0,0.0525841471817986,0,0,0.0504677791041318,0,0,0,0,0.166419644963233,0,0.0110087332391982,0,0.206301039117076,0,0,0,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0609750253603002,0,0,0.0160430212366989,0,-4.33680868994202e-19,0,0,0.00234581711969661,0,0.325219692857395,0,0,0,0,0,0,0,0,0,0,0,0.170543017896069,0,0,0,0.000605922589804708,0,0,0,0,0,0,0,0,8.09711440487347e-05,0,0,0,0,-0.0468613986905815,0,0,0,0.24706350446307,0,0,-0.0128615145826432,-0.00233341491493716,0.0350430695169825,0,0,0,0,0
X000100.SZ,0,0,0.174559194616258,0,0,0,0,0,0,0.0658174932553907,0,0,0,0.12919244713764,0,0,0,0,0,0,0,0.0152701499327852,0,0.173256263921605,0,0,0,0,0.126261238127952,0,0,0,0,0.0920913899440386,0,0,0,0,0.0623289034750938,0,0,-0.0133651122823307,0,0,0.0807262249865772,0,0,0,0,0,0,0.0283217001296049,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.0173292486108814,0,0,-2.16840434497101e-19,0,0,0.102845129338474,0,0,0,0,0,0,0.0074895371395721,0.0329351549008483,0,0,0,0.0331926592154801,0,0,0,0,0,0,0,0.103739851349561,0,0.0339424176698501,0,0.0818093487775052,0,0,0,0.0806860151833888,0.0278689324980605,0,0,0,0.0411135791532021,0,0,-0.00393186821902334,-0.00132840496769703,0,0,0,0,0,0
X600118.SH,0,0,0.0203745206222104,0,0,0.0063145004269961,0,0,0,0,0,0,0.24996706329982,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0273694981069136,0,0,0.183926815931664,0,0.00865362116128652,0,0,0,0,0,0,0.0249668793582653,0.0732665682911639,0,0,0,0,0.274695454740663,0,0.193969741317833,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X000623.SZ,0,0,0.0206041702430426,0,0,0,0,0,-0.0707324970353474,0.103492105381705,0,0,0.0266550825595358,0,0,0,-0.31866223473485,0,0,0,0,0,0,-0.237605293030601,0,0,0,0,0,0.126631253170105,0.585452629331554,0.0610338290102401,0,0,0.155191705270199,0,0,0,0,0,0,0,0,0.131514989605155,0,0.169863558819455,0.0757998570506404,0,0,0,0,0.0192402568373098,-0.0294150639609184,0,0,0,0,0,0
X601877.SH,0,0,0,0.0613831958964226,0,0,0,-0.152253599071254,0,-0.0831208835158173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413987202259025,0.066529407737164,-0.0983967206206558,0,0,0,0,0,0,0,0.180797403410444,0,0.026741517803279,0,0,0,0,0,0,0.0936080313422533,0,0,0,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.106232247044848,0,0,0,0,0,0.00926001140867287,0.267557187149884,0,0.0852749813149917,0,0,0.156525443157981,0,0.126039745302207,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.111475989035781,0,0,0.00178543580386639,-0.0982430069363322,0,0.192527534595534,0,0,0,0,0,0,0,0.000992383118040011,0,0,0,0,0.0371255016869274,0,0
