,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X002475.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000338.SZ,X002129.SZ,X002371.SZ,X600703.SH,X002049.SZ,X000596.SZ,X601877.SH,X000625.SZ,X002179.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X002180.SZ,X002074.SZ,X000661.SZ,X000157.SZ,X600702.SH,X002236.SZ,X600522.SH,X600884.SH,X000733.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X002007.SZ,X600779.SH,X601799.SH,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044709507849767,0,0,0,0,0,0,0,0,0,0,0,0,0.0848307646331072,0.0142429576888996,0,-0.205467242197872,0,0,0.0394842876736216,0.0398002168481378,0,0,0,0,0,0,0,0,0.077981104047305,0.170238211923221,0,0,0,0,0,0,0,0,-0.0123466712996554,0,0,0,0,0,0
X000733.SZ,0,0,0,0,-0.139256189003103,0,0,0,0,0,0,0,0,0.0484747262471349,0,0,0,0,-0.0952628084875057,0.152533946446952,0.137557091582968,0.147647276803384,0,-0.213649758976377,0,0,0.173264750042366,0,0,0,0,0,0,0,-0.0283183370881629,0,0,0,0,0,0,0,0,0,0,0,-0.0721129065261335,0,0,-0.258062607225943,0,0,-0.0220603755781624,0,0,0,0,0,0
X000799.SZ,0,0,0,0,0,0.121398631007095,0,0,-0.00593687783808008,0,0,0,0,0,0,0.188909189474091,0,0,0,0.0860109989823949,0,0,-0.147378314202194,0.173447151086686,0,0,0,0,0,0,0,-0.0669159734606326,0,0,-0.139359255816011,0,0.52463714744329,0,0,0,-0.0326943460168292,0,0,0,0,0,0.0638310613122371,0,0,0.171444970039285,0,0,-0.0135497903234063,0,0,0,0.0292835340685895,0,0
X002414.SZ,0,0,0,0,0,0,0,0,-0.0387479359004786,0.152784784283087,0,0,0,0,0.172673908815467,0,0,0,-0.170774016934495,0,0,0.118843862156589,0,0,0,0,0,-0.0865216635058486,0.0348035453434668,0,0,0,0,0,0,0,0,0.328189973225957,0,0.0206435719062204,0.0592826345896688,0,0,-0.0182421547917894,0,0,0,0,0.162435436786708,0,0,0,-0.00540931398318597,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104459047386779,0.0755040988970836,0,0,0,0.0796413021868299,0,0,0,0,0.0452772734369883,0,0.205063454819521,0.0437560346398278,0,0,0.074490312159824,0,0.104611242889348,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338027325672451,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,-0.0969893410703418,0,0,0.19935243477409,0,0,0,0,0,-0.0692798564462846,0.0679927758947972,0,0,0,-0.0683837062947442,0,0,0.114199880103439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193642178392856,0,0,0,0,-0.0517092286240277,0,0,0,0,0,0,0,0,-0.0409736742542927,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0.023146031177934,0,0.0609133266594322,0,0,0,0,0,0,0,0.0833700841795709,0,0,0,-0.155910306476657,0,0,0.125631132321321,0,-0.00183597639472491,0,0,0,0.109672622907772,0,0,-0.150937887158572,0,0,0,0.29780028191639,0,0,0,0,0,-0.147141763741168,0,-0.0575612405254444,0,0,0,0,0,0,-0.0561359454859021,0,-0.0965177371960735,0.0200052938947,-0.0182133478047014,0,0,0,0,0
X600779.SH,0,0.145805911505514,0,0.07953592337546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298572003450869,0,0,0,0,0.150094395794634,0,0,0,0,0,-0.0340249101773167,-0.0520761225041297,0.14138451778163,0,0,-0.0654215938091347,0,0,0,0,0,0,0.231568106578968,0,0,0,0,0,0,0,0,0,-0.0199853124516441,0,0,0,0,6.93889390390723e-18,0,0
X601799.SH,0,0,0,0,0.0180760272791275,0,0,0,0.264246237337162,0,0,0,0,0,0,0,0,0,0,0,0.0961358875932044,0,0,0,0,0,0,0.0900066772185135,0,0,0,0.0536759781790688,0,0,0.0760574206397161,0,0.0377987622566989,0,0,-0.00400834872067082,0,0,0,0,0,0,0.168299945122159,0,0,0,0,0,-0.0124294572363309,0,0,0,0,0,0
X600183.SH,0,0,0,-0.105961472924343,0,0,0.17696998868386,0,0,0,0,0,0,0,0.087589036289995,0,0,0,0,0,0,0.0684209733922476,0,0,0,0,0,0,0,0.00417480123210444,-0.118442577105975,0.111097520461879,0,0.124933422278822,0,0,0,0.062867784866733,-0.0327320493490469,0,6.93889390390723e-18,-0.0913310677973715,0,0,0.0647540817424412,0,0,0,0,0.0618795518434579,0,0,-0.032994386435432,0,0,0,-0.033692305642926,0,0
X000977.SZ,0,0,0.0868268907860685,0,0,0.0842678752934302,0,0,0,0,0,0,0,0,0,0,0.246999913648276,0.0152775828831541,0,0,0,0,0,0,0,0,0,-0.0291192622597481,0,-0.0968493798035804,0,0,-1.73472347597681e-18,0,0.139215650794251,0,0,0,0.00826092867115477,0,0,0,0,0,0,0,0,0,0,0,0,-0.0997938159515656,-0.0383211048399952,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0488012907887665,0,0,0,0,0,0,0,0,0.00274584227160282,0,0,-0.217559744138292,0,0.0333959418104261,0,0.179585755200356,-0.252984613959574,-0.0184455358227695,0.122253894813753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139750479351881,0,0,0.287847860919432,0,0,0,0,0,0,0,0.111337766068511,-0.214145407369717,0,0,0,-0.13397335263841,0,0
Slope,0,0,0,0,0,0,0,0,0,-0.133269031057001,0,0,0,0,0,0,0,0,0.214164212707522,-0.149851994493001,0,0,0,0,-0.102015231895561,0,0,0,0,0.241824224688393,0,0,0,0,0,0,0.0344958894831575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326806276969702,0,1.01353254013843,0,0,0,0.355184971931963,0,0
TED,0,0,0,0,0,-0.103769549533839,0,0,0,0,-0.0447020523141064,0,0,0,0.0395810355967904,0,-0.0797841509041377,0,0,0,0,0,0,0,0.0258450554057965,0.0668970243059465,-0.129749198266903,0,0,0.0328845965366365,0,0,0,-0.0490390441688851,0,0,0,0,0.112684844046445,0,0,0,-0.293807756860066,-0.133894421040756,0,0,0,0,0,0,-0.469718066281047,0.500900707732972,0,0,0,0,-0.938744359306116,0,0
RealEstate_excess,0,0,0,-0.039113838299624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447473931710461,0,0,0,0,0,-0.0199272738509594,0,0.0619533483104669,0,0,0,0,0,0,-0.00943730069586782,0,0.0426168827421872,0,0,0,0,0,0,0,0.0451669801089663,0,0,0,0,0,0,0,0,0.019988002785082,-0.0323887295492671,0,0,0,0,0,0
MKreturn,0,0,0,-0.0398705282060628,0,0,0,0,0,0,0,0,0,0.0121563908408217,0,0,0.0335073982202058,0,-0.0249593963076376,0,-0.0314740021921565,0,0,0,0,0.0161051768199484,0,0,0,0.0318913087711954,0,0,0,0,-0.029667233338495,0,0,0,-0.0281937551918769,-0.0579370104855722,0.0738262901545665,0,0,0,0,0,0,0,0.0308298757856847,0,0,0.0117670046148947,0,0,0,0,0.0487426366351034,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316547410518045,0,0,-0.000629508248248572,0,0,0,0,0,0,0,0,0,-0.00196393066466944,-0.000725472942156692,0,0,0,0,0,0.00184142370659579,0.00182734622414484,0.00034333262759946,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0.00118271593116721,-0.00136702786146846,0,0,0,0.00251081473983088,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.028725364658823,0,0,0,0,0,0,0,0.37644400618523,0,0,0,0,0,0,0,-0.172310264306349,-0.113959845271728,-0.0500755793304158,0.0867385647517927,0,0,0,0,0,0.156016932284983,0,0,0,-0.0390600634765471,0,0,0,0,0,0,-0.346578752285171,0,0,-0.103911269958606,0,0,0,0,0,0,0,0.254603777883262,-0.793423041143961,0,0,0,0,0,0
