,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X000568.SZ,X600276.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X002371.SZ,X002304.SZ,X000338.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X002179.SZ,X300014.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X000977.SZ,X002236.SZ,X002241.SZ,X600066.SH,X000921.SZ,X002028.SZ,X600741.SH,X600522.SH,X600183.SH,X002049.SZ,X000661.SZ,X601877.SH,X600584.SH,X002129.SZ,X002180.SZ,X000800.SZ,X002085.SZ,X002223.SZ,X002074.SZ,X600487.SH,X600177.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600372.SH,0,0,0,0,0,0.0249872021349206,0,0,0,0,0,0,0,0,0,0,0,0.150133514202559,0,0,0,0,0,0,0,0,0.0398105309412149,0,-2.16840434497101e-19,0.0855358125026092,0,0,-0.0671219369644485,0,0,0,0,0.0874353202199185,0,0,0,0,0,0,0,0,0.194736773535059,0,0,0,0,0.0639360767974561,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0.0629439076680499,0,0,0,0,0,0,0,0,0,0.00254038456650119,0,0,0.151030239059148,0,0,0,0,0,0,0.0833513768236217,0,0,0.56623709333905,0,0,0,0,0,0,0,0,0.0632388748580884,0,0.252173631037316,0,0,0.0829474756394326,0,0,0,0.0169320933917013,0,0,0,0,0,0,0,-0.0751321385951783,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,-0.0489197224955408,0,0,0,0,0,0,0,0.164311334751129,0,0.182535493210349,0,0.199971444227497,0,0,0,0,0,0,0,0,0,0,0.057169302994068,0,0,0,-8.67361737988404e-19,0.188472940483615,0,0,0.250768647047371,0,0.0252449588156983,0,-0.0125770305928732,0,0,0,0,0,0,0,-0.0164189359898995,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.0564286171411854,0,0.301009351042601,0,0,0,0,0,0,0,0,0,0,0,0.0871800422511088,0,0.000871564549648818,0,0,0.162770288210085,1.73472347597681e-18,0,0,0,0,0.10431904555812,0,0,0,0,0,-0.146689678128514,0,0,0.030600541995947,0.250507128595433,0,0,0.0139029970160222,0,0,0.180336205813676,0,0,0,0.0743093004910385,-0.0214180225901308,0,0,0,0.0343251359241688,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465062503537794,0,0.0221274007473877,0,0,0,0,0,0,0,0,0,0,0.0576155590011775,0.0469597226723126,0,0,0.0384654651327762,0.168549821047543,0,0,0,-0.125031390366131,0,0,0,0,0,0.0356475016398777,0,0.535100904775573,0,0,0,0,0,-0.0436430498578528,-1.73472347597681e-18,0,0,0,0.264923394732655,0,0
X000921.SZ,0,0,0,0,0,-0.0925191759754636,0,0.245075224023798,0,0,0,0,0,0,0,0,0,0,-0.04220715069601,0.195381982542706,0.191813273956914,-0.0277918857474287,0,0,0.146748812493376,0,0,0,0,-0.108567498195028,0,0.122061663173239,0,0.114691178258816,0,0,0,0,0,0,0,0,0,0,-0.0379709741552688,0,0,0,0,0,0,0,-0.0127316059221349,0,0,0,0,0,0
X002028.SZ,0,0,0,0,0,0,0.00282314671861843,0,-0.0579383767795419,0,0,0,0,0,0,0,0,0.0461497063810085,0,0,0,0,0,0.120540765081066,0,0,0.0292035455831896,0,0,0,0,0.0119028423887645,0.117289692900578,0,0,0,0,0,-0.0748616468714308,-0.087420046637072,0,0,0,0,-0.0159545679521937,0,0,0,0,0.0156290312284098,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,-0.0895554218915334,0,-0.110357487705715,0,-0.0780311617112948,0,0,0,0,0,0.23736796418805,0,0,0,0,0,0,0,0,0,0,-0.0614631725839483,0,0,0.115661501550932,-0.0143282531295705,0,0.322736946762753,0,0,0,0,-0.126539443441554,0,0,0,-0.0534588723383665,0,0,0,0.0247980566313481,0,0,0,0,0,0,0,0.073595027695291,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138145394144105,0,0.214072068116535,0,0,0,0,0,0.0329280280502683,0,0,-0.0154145027665555,0,0,0,0,2.16840434497101e-19,0.305454939453118,0,0,0,0,0,0,0,0,0,0.321738285036038,0,0,0,0,0.0330293154953905,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,-0.14499834143694,0,0.093061599053065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113084194062982,0,0.295287320412148,0,0.0437944559208181,0,0,0,0,0,0,0,0,0.0293831312595079,0,0,0.150488248685679,0.194492421331388,0.0737283427299855,0,0,0.0729752068617389,0.0559138827243653,0,0,0,0,0.134655184437228,-0.0590242719884428,0,0,0,0,0,0
X002049.SZ,0,0.0955687835933204,0,0,0,0,0,0,0.057737256258344,0,0,0,0,0.0648700425514796,0,0,0,0,0,0.0738091314211805,0,0.0374991735576481,0.0359657682322155,0,0,0.193477981994128,0,0,0,0.139651130307648,0,-0.246060365240538,0,-0.0478144463485932,0,0.139143555549554,0.111901895296482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369590305038593,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152988079101623,0.139596553497989,0,0.135193809008326,0,0.0878207674286612,0,0,0.157043153470042,0,0.0480984824475601,0.166264098812456,0,0,0,0,0,0,0,0.0929461624656827,0,0,0,0.125961010864817,0,0.0417227438567313,0,0,-0.0416836374220878,0,0.0976276850319381,-0.0377031406209031,0,0.330415162183105,0,0,0,0
X601877.SH,0,0,0,0,0,0.0626643392303064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199040285529919,0,0,0,0,0,0,-0.0239783283068028,-0.00120733786962939,0,0,0.0255476282970937,0,0,0,0,0.13164518874823,0,0,0,0.0143749856609003,0.0974224985558087,0,0,0,0.0344175645613085,0,0.0165317356192364,0,0,0,0,0,0
X600584.SH,0,0,0,0.190470994367788,0,0.151832318114969,0,0,0,0,0,0,0,0,0,0,0,0.0936532893924723,0,0,0,0,0,0,-0.189293515715984,0,0.0121441892278421,0,0.0622839336925316,0.323164011720748,0,0,0,0,0,0,0.145474081206507,0,0.0612868777018614,0,0,0,0,0.252293870680243,-0.0583959235100907,0,0,0,0,0,0,0.093204388927655,-0.0152425495736219,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,1.3387252020039e-05,-0.0721265464198713,0,0,0,0,0,0,0,0,0,0,0.10853988804227,0,0.149625978929341,0,0,0.270347595395753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096010906829421,0.112890205976184,0,0.113172688554719,0,0,0,0,0.00155588793772981,0,0.128246505701552,0.00471950454670794,0,0,0,0.0200527203931338,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,-0.197541542602413,0,0,0,0,0,0,0,0.209221824684927,-0.420507385371868,0,0,0,0.0841266446542062,0,0,0.00688192896279236,0,0,0,0,0,0.119390611086321,0,0,0,0,0.0756261846185179,0.158823157762528,0,0,-0.0284491561485692,0,0,0.0825330138335076,0,0,0,0,0,0,0,0.0490633083861752,-0.0558867819773178,0.166415620491893,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160434230129788,0,0,0,0,0,0,0,0,-0.0467493111680299,0,0,0.225977647089005,0,0.116061706558275,0,0,0,-0.137095859775173,0,0,0,0,0.148189905120302,0,0.181426455248675,0,0.0818509948696269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703709326510347,0,0,-0.107665332929275,0,-1.05093978529122,0,0.0771851916297223,0,0,0,0,0,0,1.15335411006708,0,0,0,-0.363141945485161,-0.323168828336155,-0.565608563868946,0,0,0.314350350934831,0,0.606246435882298,0,0.402243950882672,0,-0.229683006477677,0.311947746160942,0,-0.350596425949873,0,0,0,0,0,0,-0.0811875866384655,0.0808201621702268,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0.00522912913973301,0,0,0,0,0,0,0,0,0,0,0,-0.0329206752225688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105260773971249,0,0,0,0,0,0,0,0.0768217072494525,0,0,0,0,0,0,0,0,0,0,0.0356256674698911,0.0172949234442584,0.00389341550834133,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0.0582686491258353,0,0,0,-0.168109690909074,-0.0792369319260312,0,0,0.0928643454162422,0,0,0,0,0.47431031333137,0.0245188141833268,0,0,0,0,0.0298710279305671,0,0,0.0371385501587966,0,0,0,0,0.0612217018586234,0,0,0.0883741948368583,0.044542094282924,0.180804728388411,0.00384870214109299,0,0.029236679849462,0,0,-0.0412835576080939,0,3.46944695195361e-18,0,0,-0.00976673300089285,0.144204699878425,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,-0.0430249814672435,0,0,0,0,0,0,0,0,0,0,0,0,0.27116193996003,0,0,-0.0521950979251728,0,0,0.120313170394315,0,0,0.0497940632758725,0.112630758575323,0.0694852407482444,0.00606754328065167,0,0,0,0.103105534425377,0,0,0,0,0,0.137302624570663,0,0,0,0,0,0,0,0,-0.0300510338649083,0,0,0,0,0,0,0,0
