,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X600118.SH,X002506.SZ,X002049.SZ,X000559.SZ,X002241.SZ,X000157.SZ,X600372.SH,X000338.SZ,X000568.SZ,X300003.SZ,X600089.SH,X002085.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600867.SH,X600582.SH,X300124.SZ,X002465.SZ,X002180.SZ,X600498.SH,X601877.SH,X002007.SZ,X000869.SZ,X002456.SZ,X000550.SZ,X300001.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169436186973918,0,0.00285203272598425,0,0,0,0,0,0.167377949559202,0,0,0,0,0,0,0,0,0,-0.0767624006397674,0,0.042993308085406,0,0,0,0,0,0,0.0952601609303275,0.136156024673753,0,0.103516806582287,0.253587369653136,0,-5.67349778487127e-05,0.0177585134202944,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0.233092045194816,0,0,0,0,0,0,0,0,0.0151640051928015,0,0,0,0.001448331422753,0,0.00389093450919203,0,0,0.0260414135368326,0,0,0,0,0.0301396439076173,0.311951889127373,0,0,0,0,0,0,0,0.0278536815458403,0,0.0500190235200641,0,0.124395580255907,0.036289217629782,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0
X002085.SZ,0,0,0.173575273005397,0,0,0,0,0,0.0347249906686967,0,0,0,0,0,0,0.0370099413482483,0,0,0,0.0524631375827622,0.144548219854678,0,0.230051976983988,0,0,0.0169205360958056,0,0,0,0,0,1.73472347597681e-18,0.0897019244277519,-2.71050543121376e-20,0,0.0691857811590021,0.0431935071521031,0,0.0437301188049634,0,0,0,0,0,0,0,0,0,0.0244715717426681,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.0621707618115284,0,0,0,0.0714265280223799,0,0,0,0.0810688913512828,0,0,0,0.00564564057631474,0,0.403304163851861,0,0,0.0617859214109818,0,0,0,0,0.126130477455823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0095249295255607,0,0.0504552558983432,0,0.0913185975541359,0,0,0.086759929363462,0,0,0,0,0,0,0,0.0277590640392851,0,0,0,0,0,8.67361737988404e-19,0,0.034585494202576,0.0240188505397585,0,0.247043823988121,0,0.0910146386128626,0,0.0122081774003202,0.0286951843758162,0,0.00838872134841918,0.021544108315998,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149645925756988,0,0,0,0,0,0,0.0984999134170439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693944045767033,0,0,0,0,0.40225075566274,0.094486874143382,0,-0.0263574805359297,0,0,0,0,0,0,0
X600867.SH,0,0,0.151023103650872,0.174438952145037,0,0,0,0,0,0.155550061879683,0,0,0,0,0,0.0116905871550288,0,0,0,0,0.144409705175352,0,0,0.0843558037538156,0,0,0,0,0,0,0,0.108227096099118,0,0,0,0.00154829269828184,0,0,0,0,0,0,0,0.0115246913155771,0,-6.93889390390723e-18,0,0,0,-0.0432702011203733,0,0,0,0,0,0
X600582.SH,0,0,0.1889753117893,0,0,0,0,0,0,0,0,0,0.123028576573172,0,0,0,0,0,0,0,0.0714363525160501,0,0,0,0,0,0,0,0.0729715838197423,0,0,0,0,0.040252596377976,0,0,0,0,0,0,0.0612877890559196,0.00716270067308025,0,0.11870406639662,0,0.17328590466934,0,0,0,0.0379881888256266,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.0276101668289842,0,0,0,0,0,0,0,0,0,0,0,0.00517097037459324,0.0890933300378365,0,0,0,0.069858637356696,0,0.15369500982434,0.109526053674906,0,0.0582931964920609,0,0,0,0,0,0,0,0.150080058405745,0,0,0,0,0.0378137049129818,0.106769891598848,-1.73472347597681e-18,0.212362400637397,0,0,0,0,0.0248100118715549,0,-0.0189874786284895,0,0,0,0,0,0,0
X002465.SZ,0,0,0,-0.0512950579536935,0,0,0,0,0,0,0,0,0,0,0,0.0186801403740527,0,0,0,0,0.0802149782164031,0,0,0,0,0.219711448592161,0,0,0,0,1.73472347597681e-18,0,0,-0.629756818357436,0,-0.061665988803109,0,0,-0.12782682628326,-0.033611867516308,0,0,0,0.115189351220419,0,0.282808762678339,0,0,-0.169649332663631,-0.0234579293712623,0,0.0891125069195695,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00647086626477545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173185758786454,0,0,0.0827366030314455,0,0,0,-0.0988567233890678,0,4.33680868994202e-19,-0.0466249471640256,0,0,0.0929841566390039,0,0.249505828120415,0.161741765095981,0,0.0136412379839529,0.0331071293412238,0,0,0,0,0,0
X600498.SH,0,0,0.919601520761358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423388501031414,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.157352741465933,0.229499852764574,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07182782393411,-0.063937517264972,0,0.572283001369407,0,0,0,0
X601877.SH,0,0,0,0.135676714836179,0,0,0,0,0,0,0,0,0.0444620360800327,0,0,0.102295933364613,0,0.021927318040096,0,0,0,0,0.260753150202533,0,0,0,0,0,0,0,0,0.0229429346471314,0,0,0,0,0,0,0.0323583843102752,0,0,0,0.243767524767963,0.144860611080127,0,0.0425141043064276,0,0,-0.0358346821881804,0,0.117993020370928,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12378997215101,0,0,0,0,0,0,0,0,0,0,0.127595093006956,0,0.252573040903851,0.0540610087358682,0,0,0,0.257127617661707,0.033533483755688,-0.0155544555992094,0,0,0,0,0,1.73472347597681e-18,0,0.00613992704504739,0,-0.0383134412757322,-0.0273713239699845,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29729515427839,0,0,0,0,0,0.0429627244013272,0,0.0454821680121768,0.19748573341698,0,0,0,0,0,0,0,0.0277130636067848,0,1.73472347597681e-18,0,0,0,0,0,0,0.133852591853511,0,0,0,0,0,0,0,0.0281045013848782,0.0191416255912588,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290787289006175,0,0,0.346856188500758,0,0.139729067080902,0,0,0,0,0,0,0,0.0443213488039988,0,0,0,0,0.0590848075779002,0.076586404679078,0,0,0,0,0,0,0,0,0,-0.0190178784254287,0,0,0,0,0,0
X000550.SZ,0,0.124846180015309,0,0,0,0,0,0,0,0.347698562919508,0.345650918656926,0,0,0,0.0182391466504597,0,0,0,0,0,0,0,0,0.00230985581288315,0,0,0,0,0.0514045297126051,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0770220519817366,0.0680490150553661,0.172794420565059,0,0,0,0,0,0,0,-0.000590617779823001,-0.031439204983812,-0.165893197554006,-0.0587176922061677,0,0,0,0
X300001.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158269860559889,0,0.0331460155925155,0,0.234635948178924,0.00407439984308098,0,0.192775911580852,0,0,0,0,0,0.0646510056308129,0,0,0,0,0.0972381857601431,0,0.261918113728469,0,0,0,0,0,0,-3.46944695195361e-18,0.0557840401772533,0,0,0,0,0.00803665294859158,0.0204810764118784,0,0,0,0,0,0
X002426.SZ,0,0,0,-0.059025387386729,0,0,0,0,0,0,0,0,0,0,0,0.0574234757899496,0,0.161384384830193,0,0,0,0,0,0,0,0,0,0,0.158915979909121,0,0,0,0.331973257824875,0.115665570450789,0,0,0,0,0,0.182345119128057,-3.46944695195361e-18,0,0,0.0221595955511157,0,0,0,0,-0.00790114617390112,0,0,0.286772817339438,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0.0957007567019296,0,0,0,0,-0.188858329200844,-0.088888309760905,0.0828255666739312,0.0523620718936461,0,0,0,0,4.33680868994202e-19,0,0,-0.0806895197250533,0,0.0731090094513158,0,0,0,0,0,0,0.122692764219713,0,0,-0.116243654341809,0.0148793965760516,0,0,0,0,-0.127790833652364,0.0965649896576075,0.123463980756762,0,-0.0220326065990874,-0.0332316266731703,0,0,0,0,0,0
Slope,0,-0.22392206476751,0,0.324752709707485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.402637221780117,0,0,0,-0.252437606444859,0,0,0,0,0,0.989604894501508,0,0,0,-0.102647794471873,0,0.388107506458716,0,0,0,0.0537373580891299,0,-0.501185474411934,0,0,0,0,0,0,0,0.255710708548669,0,0.825586091370013,0,0,0.566638042987843,0
TED,0,-0.57110912175902,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681076760211662,0,0,0,0,0.123684879481256,0,0,0,-0.409163424578879,0.232482845207739,0,0,0.438187159523677,0,0,0,0,0.269394248291871,0,-0.679334153666057,0,0,-0.226077165919174,0,0,0,0,0,-0.230294210704059,0.281931988716593,0,0,0.527947215902337,0,0,-0.822111690995461,0,0,1.70537463768026,0
RealEstate_excess,0.0752499288050914,0,0,0.0870214518549778,0,0,0,0,0,0,0,0,0,0,0,0.0419267015025487,0,0,0,0,-0.15286678196542,0,0,-0.0436059783898472,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573230080040859,-0.199258302707335,0.0175581949172426,0,0,0,0,0,0,0,0,0,-0.119523247906149,0.0803065575299382,0,0.251719725266908,0,0,0,0
MKreturn,0,0,-0.13839658509594,0,0,0,0,0,0,0,0,-0.198052237587872,-0.159560859396505,0,0,0.040516809286496,0,-0.0199255322882608,0,0,0.136196130367887,-0.151730916739806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640068808501838,0,0,0,0,0,6.93889390390723e-18,0,0,0.0576916983085216,0,0.107621140341489,-0.0275805014476075,0.866956232637296,0,0,0,0,0
MKvol,0,0,0,0,0.00303135903148777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00213327943913628,0,0,0,0,0,-0.00499939392109557,0,0,0,2.16840434497101e-19,0,0,0.00255032235147877,0.00728593739708239,0,0,-5.42101086242752e-20,0,0,0,0,0,0.0125789296910316,-0.00717440031005919,0,0,0,0,0.144712697475172,0
CarbonVol_Shenzhen,0,0,0,0,-0.000260776875879849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00959281900733408,0,0,0,0,0,0,0,0.00567080710284341,0,0,0.0192226778560736,0,0,0,0,0,-0.00978126163908671,0,0,0,-0.0111579319684706,0,0,-0.0091933789622574,0,0.00794858318114754,-0.0300887285607228,0,0,0,0,0.188644264220289,0
CarbonVol_Guangdong,0,0,0,0.00272733126497423,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,-0.0366607661711783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617206780925803,0,-0.0180747841370546,0,2.16840434497101e-19,0,0,-0.0270689638858256,0,0.0555154483501456,-0.00535505685962072,0,0,0.0688020600948242,0.0372890952358437,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6940658945086e-21,0,0,0,0,0,0,0,0,0,0,0,0.00766534066423624,1.0842021724855e-19,0,0,0,0,0,0,0.00641994639098413,-0.00474333603020954,0,0,0,0,0,0,0,0.000775604047471175,-0.00151773235917691,0.00795047634197892,-0.00920057708595844,0,0,0,0,0,0
