,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X600276.SH,X002304.SZ,X000651.SZ,X600104.SH,X002371.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X600031.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002241.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X002180.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X600884.SH,X000157.SZ,X600702.SH,X600584.SH,X002236.SZ,X000799.SZ,X002414.SZ,X601799.SH,X600487.SH,X002176.SZ,X600563.SH,X300003.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0.0632350476315478,-0.0459853058884517,0,0,0.0954037428674367,0,0.0697390640027306,0,0.112390173766774,0.0746830648812783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348220806811902,0,0.165296198915695,0,0.335611663032562,0,0,0,0.129593424303665,0.118703488072402,0,0,0,0,0,0,-0.0999623886250527,0,0,0.0289512514623712,0,0,0,0,0,-0.0816888358918897,0,0
X002371.SZ,0,0,0,0,0,0,0.0288733094178806,0,0,0,0,0,0,0,0,0,0,0,-0.0367288503127201,0,0,0,0,0,0.289807039723993,0,-0.198032555179742,0,0.170362609954676,0,0.106329113120625,0,0,0,0,0,0.460361774113875,0,0,0,0,0,0,0.0346028578156814,0,0,0,0.114952095628392,0,0,0,0,-0.0500057575884663,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0.0884554565581882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14311779369637,0,0,-0.0803191163634342,0,0,0,0.142652553688499,0,0,0.306315399591792,0,0.0848689039261228,0,0.451068082037655,0,-0.000989431666090937,0,0,0,0,0,0,0.0980036728103202,0.0461677741296747,0,0,0.0106323038362104,0,-0.01760452013872,0,-0.01150370094172,-0.0110269667744736,0,0,0,0,0,0
X300124.SZ,0,0,-0.137542774208679,0,0,0,0.262630182894843,0,0,0,0,0,0.0756800863451393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960307791982626,-0.0566959961124724,0,0,-0.0608895405413451,0,0,0,0,0.0418507237381479,0,0,0,0,0,0,0,-0.042225317378409,0,0,0,0,0,0.456267695512981,0,0,0.0240565378355567,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.112776303587504,0.0277342275268784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809734332821784,0.244526848299268,0.130393209037977,0,0,0,-0.0650674346957549,0,0.239638552511942,-0.0117490998424794,0,0,0,0,0,0,0,0.0966126791424817,0,0.103243808283516,0,0.0420336635439226,0,0,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0.120737161790981,0,0,0,0,0,0,0,0,0,0,-0.0195361246603881,0,0.0931036987846081,0,0,0,0,0,0,0,0.0333414745983757,0,0,0,0,-0.0224832456008838,-0.00801034621511907,0,0,0,0,0,0,0.0720572556281103,0,0,0,0,-0.0539847186479485,0,0.0553792983671194,-0.00539456877685038,0,0,0,0.0305972529166947,0.01644188013333,0,0,0,0,0,0
X000596.SZ,0,0.447868357628335,0.243471670318198,0,0,0,-0.132289975535923,0,0.122896628052996,0,0,0,0,0,0,0,0,0.10841619446348,0,0,-0.00492000130816521,0,-0.0350121922755636,0.170913903963214,0,0,0,0,-0.0470436326455779,0,-0.0930571988058139,0,0,0,0,-0.0632776010827389,0,0,0,0.115915589534601,0,0,0,0,0,0,0,0,0,0,0,0,-0.040692185615691,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0.254650436507348,0.204441612773279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269304549276128,0,0.0655323024729968,-0.0854060012260927,0,0,0,0.127354415083702,0,0,0,0,-0.0347940414429031,0,0,0,0.0502393421870127,-0.0567674475414879,0,0,0.207396090012195,0,0,0,0.00872368810907926,-0.0141739005556557,0,0,0,-0.0451777562280059,0,0
X600031.SH,0,0,0,0,0.163044155272008,0.104638841380724,0,0.0103640312931116,0,0,0,0.001214311587764,0.102946543866615,0,0,0,0,0.0197326702906744,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.332405362180268,0.0251759991698874,0,0,0,0.248479858770878,0.0171861693872573,0,0,0,0,-0.129294627090655,0,0,0,0,0,0,0,-0.0251088265742062,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.147011109214589,0,0,0,0,-0.011446034906718,0,0,0,0,-0.0430427955200645,0,0,0,0,0.0518508720598366,0,0,0,-4.33680868994202e-19,0.0301086096424931,0,0,0,0,-0.0237944619994739,0,0.141736947708951,0.0222802287759949,0,0,0,0,0,0.0165826563736359,0,0,0.00543410811313873,0,0,0.0499132622875975,0,0,0,0,0,0,0,0,0,0.0282116730366727,0,0
X000625.SZ,0,0,0,0,0,0,0.094280760662068,-0.388856023449094,0,0,0,0,0.0105742627096484,0,-0.0627587248841133,0,0,-0.000648079231085721,0,0,0,0,0.00901518180400931,0,0,0,0,0,0,0,0,-0.00351742091753868,0,0,0,0.308268155142437,-0.089900235509143,0.642072568966647,0.200332559499731,-0.205180953554765,-0.027837880181722,0,0,0,0.064232649296126,0,0,0,0.172585322525762,0,0,1.73472347597681e-18,-0.000957611924281339,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0859232301447257,0.0582992593281409,0,0,0.0123636066903324,0,0,0,0,-0.064607321517813,0,0,0,0,0,0,0,0.0428334716051151,0,0,-0.074140185932798,0.0148131560194072,0,0,0.00144497560465328,0.0743322620598445,0,0,0,0.0680797406826991,0,0,0,0.23255352216033,0,0,0,0,0,0,0,0,0,0,0,-0.0104614587367583,0,0,0,0,0,0
X002241.SZ,0,0,-0.0405126878648619,0,0,0,0.75614883870226,0,0,0.224992620606025,0,0,0,0.0327063108373948,0,0,0,0.0620119448007979,0,0,0,0,0,0,0,0,0,0,0.405485334471233,-0.0885242008826746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208205932997948,0,0.116529433848934,0,0,0,0.102516817105214,0,0,0,0,-0.172085478818673,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0186970108558327,0,0,0,0,0.0120904516949842,0.215702302984956,0,0,0,0,0.00113570665042673,0,0.0790757962402122,0,0,0,0,0.0800918507744801,0,0,0,0,0,0,0,0.011078783589911,0,-0.0439906912496824,0,0,0,0.0853144109820915,0,0.115785464227868,0.00783472028152596,0.0147793762404323,0,0,0,0,-0.0474380345484052,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.106808079181705,0.150430202399556,0,0.109743867782899,0,0,-0.0296300688659211,0,0,0,0,0.0598960946031441,0,0,0,0.0324802504445285,0,0,0,0,0,0,0.027852187757656,0,0,0.108903697283929,0,0.309069912476594,0,0,0,0,0.139141220717136,0,0.0852202559995591,0,0,0,0,0,-0.0917383784194921,0,0,0,0,0.032216954038517,0,0
X000338.SZ,0,0,0,0,0.000927029167524615,0,0.0788581567696668,0,0,0,0.28239917185872,0,0.0404210527779056,0,0,0,-0.102328463742484,0,0.267697330910637,0,0,0,0,0,0,0,0.00214594485352133,0,0,0,0.102532843329339,0,0,0,0,0,0,0,0,0,0.015546471733389,0,0,0.000572785458991355,0,0,0,0,0,0,0,0,-0.00586663683849082,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0.0915387120733428,0,0,0,0,-0.222308699078822,0,0,0.120314569336887,0,0,0.0569097517632795,0,0,0,0,0.0381975815588088,0,0,0,0,0,0,0.299829846481596,0,0,0.299346404464424,0,0,0,0,0.00947699806218914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511426202667646,0,0,0,0,-0.163112728084585,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176868665226002,0,0,0,0,0,0,0,0,0,0.209314294338178,0,0.0675559614264707,0,0,0,0,0,0,0,-0.020776794321934,0,0,0,0,0,0,0,0,0,0,0.633326791847948,0,0.139113446550387,0,0,0,0.0441863476224323,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,-0.0910865683411019,0.0874037632262527,0.119962999367303,0.100926050014102,0,0,0.0797776057887837,0,0.11063665306115,0,0,0,0,0,0.0989307405945972,0,0,0,-0.157550171671108,0,0,0,0,0,0,0,0,0,-0.030905467787507,0,0,0.00698334946787215,0,0.439802442983863,0,0,0,-0.0477751426387542,0,-0.10524531134229,-0.276830000975407,0,0.718269636353535,0,0,-0.0226441904515627,0.118896705676099,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,-0.150268536212478,0,0,0,0,0,-0.0130168980505863,-0.0444864705810643,0,0,0,0.0678879408829423,-0.0955914997023172,0,0,0,0,0.0929564992704725,0,0,0.299231649370675,0,0,0,0,0.178904157805871,-0.0735014600095084,0,0,0,0.244296268894287,0,0,3.46944695195361e-18,0,0,0,0,0.0169160068512362,0,0,0,0,0,0,0.0280406697656279,0,0,0,0,-0.124119000811833,0,0
X300142.SZ,0,0,0,0,0,0,0.0442346291898226,0.383261070708852,0,0,0,0,0,0,-0.223786573657329,0,0,0,0,0,-0.030598204209855,0,0,0,0,0,0,0,0,0,0,0,0.00477483768065057,0,0,0,0,0,0,0,0.0102549622529658,0,0.229279067448288,0.280060469870377,0,0,0,0,0,0,0.0689623919985281,0,-0.0412015042656033,0,0,0,0.0892044214906687,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0.406663055115533,0,0,0.0421134835646441,0,-1.38777878078145e-17,0,0,0,0.30309003856775,0,0,0,0,0,0.152678882394654,0.0137523221103265,0,-0.0663702935028188,0.0920077569452283,0,0,0,0,0,0,0.22355631933356,0,0,0,0,0,0,0,0,-0.320983704396774,0.0764135706746814,0,0,0.0142304452776883,0,0,0,-1.73472347597681e-18,0.0365552335735511,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110144845588105,0,0.0694505634457673,0.0986520247941779,0,0,0,0,0,0,0,0.0234512390208381,0,0,0,0,0,0,0,0.123509463773835,0,0.0790000924919297,0.146185825713113,0.0871683293626775,0,0,0,0,0.0176087090116084,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.0428351023582692,0,0.0321531392423544,0,0.0664167801692933,0,0.0225892894121224,0,0,0.0273171279902207,0.247319259928164,0,0,0,0.416492907664065,0.284249338657376,0,0,0,0,0,0,0,0,0,0,0,0,-0.153676148641682,0,0.00309720369410065,0,0,0.0276868494629627,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0571556019729051,-0.0207571417303119,0,0,0,0,0,0
