,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X600031.SH,X000625.SZ,X002456.SZ,X000338.SZ,X002241.SZ,X600487.SH,X002008.SZ,X300136.SZ,X601877.SH,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X600498.SH,X600177.SH,X600699.SH,X000157.SZ,X000661.SZ,X600584.SH,X300142.SZ,X000596.SZ,X002129.SZ,X600118.SH,X002049.SZ,X000050.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002008.SZ,0,0,0.32040979121895,0,0,0,0,0.0631949928051422,0,0,0.160035646607208,0,1.73472347597681e-18,0.00381458418449249,0,0,0,0,0,0,0,0,0.229053058167368,0,0,0,0,0,0.174843501742529,0.062002439257036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958906439499474,0,0,0,0.0263026462100919,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0.0253898988181282,0,0,0.142554882519835,0,0,0,0.173362487496912,0,0,0,0,0.0210916616301831,0,0,0,0.0331347833855136,0,0,0,0,0,0,0,0.077250241958218,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136701663491014,0.0705965708965819,0,0,0.114009835701273,0.00529501023953586,0,0,0.0401659343247473,-0.0390473569597487,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213554596593785,0,0,0,0.0479768834839265,0,0,0,0,0.0977764547662048,0,0,0,0,0,0,0,0.104681878627184,0,0.282125324361808,0,0,0,0.25147679561493,0,0,0,0.0163708108447487,0,0,0,0.112622293370798,-0.0517866121089942,0,0,0,0,0,0
X600066.SH,0,0.15805269098895,0,0,0,0,0,-0.00350922981989524,0,0,0,0,0,0,0,0,0,0.122533060984097,0,0,0.0567809972076998,0.223396949721387,-0.0349414315271091,-0.000654612022748883,0,-0.303879617409951,0,0,0.415131318510129,0,-0.226559023242852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257678224394336,0,0,0.0288563401900489,-4.33680868994202e-19,0,0,0,0,0,0
X000100.SZ,0,0,0.0425236815182781,0,0,0.183044292477561,0,0,0,0.257927938517929,0.0803459760211946,0,0.0714888329057614,-0.0815075724643886,0,0,0,0,0,0,0,0.139236307895279,0,0,0,0,0.0239118981842507,0,0,0,0,0,0,0.039157529316823,0,0,0,0,0,0,0,0.0957829336592846,0,0.0634449520110522,0,0,0,0,0,0,0,0,0.0185395185978677,0,0,0,0,0,0
X600522.SH,0.170830096552404,0,0,0,0,0,0,0,0,0.290808780022614,0,0,0,0,0,0,0,0,0,0,0.140499929459009,0.107896636403735,0.100773121895821,0.225811878055112,0,0,0,0,0,0,0,-0.161250896485746,0,0,0,0,0,0.130888055773601,0,0,0,0,-0.160632610247338,0,-0.131914145517316,0,0,0,0,0,0,0,0.0212392161820349,0,0,0,0,0,0
X600809.SH,0.0443881465103814,-0.000271485346047964,0,0.0480733354811599,0,0,0,0,0,0,0,0.362474032919641,0,0,0,0,0,0,0,0.0174471392066079,0,0,0,0,0,0,0,0,0,0,0.178392957686818,0,0,0,0,0,0,0,0,0,0,0,-0.212665672912402,0,0.293986291073387,0,0,0,0.094934995223192,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.167445300302016,-0.0137701390882165,0,0.291587245347282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235222068683209,0.0474434628031511,0,0.317638673517463,0.308931179476502,-0.042438222643666,0,-0.113607791812089,0,0,0.0222030835253568,0,0,0,0,0,0,0,0,0,0,0,0.1241355140939,0,0,0,0,0,0,0,0,-0.0289287935983771,0.0134288986905705,0,0,0,0,0,0
X002508.SZ,0,0,0.086614604580489,0,0,-0.0978808355187109,0,0,0,0,0.15123583747319,0,0,0,0,0,0,0,0,0,0,0,0.426485244037307,0.00263953989503658,0,0,-0.126212359276539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801376749780964,0.0918278311494023,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0.0766562569185054,0.0677527443119817,0,0.138006854087056,0,0,0,0,0.000808896593480324,0,0,0,0,0,0.0998739297086069,0,0.149964124458028,0,0,0,0,0,0.0369729121697868,0,0,0,0,0,0,0,0,-0.0303010381446408,0,0,0,0.0839671828683797,0.0581852026985331,-0.0311780891405095,0,0,0,0,0,0,0,-0.0155786812325501,-0.0192730539242702,0,0,0,0,0,0
X300003.SZ,0,0.029375701810163,0,0,0,0.0639545986157563,0,-0.132998995059567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264914116420961,0,0.165804884965625,0,-0.111272864808546,0.0295027892145014,0,0,0,0.177440216079184,0,-0.183950235023571,0,0.0979136494349467,0,0.103314162417575,0,0,0,0,0,0,0,-0.0243393093260646,-0.0192772830828065,0,0,0,0,0,0
X600271.SH,0,0,0,0.158228716081684,0,0,0,0.0145735422554213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141703605746211,0.0890104676946571,0,0,0,0.0101089025422812,0,0,0,0,0,0,0,0,0,0,0.0401316641200922,0,0.0702642031847911,0,0,0,0,0,0.202902242247684,0,0.0760845647156378,0.0682160595478374,0,0,0.0044154649144217,0.00877209096836722,0,0,0,0,0,0
