,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002008.SZ,X300124.SZ,X300136.SZ,X600487.SH,X600809.SH,X002508.SZ,X300003.SZ,X600522.SH,X002085.SZ,X600867.SH,X600089.SH,X002294.SZ,X600699.SH,X000157.SZ,X600498.SH,X600177.SH,X600271.SH,X000050.SZ,X000596.SZ,X600566.SH,X002180.SZ,X600118.SH,X000559.SZ,X600707.SH,X300115.SZ,X002179.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0,0,0.264461463361494,0.217177679164135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254340636621986,0.0275798085953162,0.301925480861277,0,-0.10216278174217,0,0,0,0,0,-0.101602349912757,0,0,0,0,0,0.0427482078287229,-0.0524743611938019,0,0,0,0,0,0,0,-0.0416117011836191,0,0.02403723304107,0,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0.235351998583028,0,0,0,0,0,-0.0242121894315551,0,0,-0.0359000137842685,0,0,0,0,0.0723446602934663,0,0,0,0.00213411706098281,0.0881429914523724,0.209764789029853,-0.276179008646869,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.127443341221859,0,0,0.0838808892577605,0.0215943071300725,0,0,0,0,0,0
X600867.SH,0,0,0.0412385710713024,0,0,0,0,-0.0361827476140278,0,0,0,0,0,-0.00154608430708289,0.0485702661644407,0.0878352901580571,0,0,0,0,-0.00330466093961985,0,0,0,0,0,0,0,0.0391159207559905,0,0.0600117517309639,0,0,0,0,0,0,0,0,0,-0.149397819706573,0.093604780899514,0,0.0269630445266707,0,0,0.173438992870819,0.0797801780812151,0,0,0,0.0423916384516631,-0.0261553809771057,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.00235179308078196,0,0,0,0,0,0,0,0,0,0,0,0.0262538570122776,0.05238173862904,0,0,0.0155096233012388,0,0,0,0,0,0.0216225560347729,0,0,0,0,0,0,0,0,0,0,0,0,0.17467292751571,0,0,0.114465176376906,0,0,0,0,0,0,0,-0.0289932067165396,0.0235717845162493,-0.0381902815930959,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0.0496615090128574,0,0.0195292286316046,0,0.122999761357779,0,0,0.0774723155884734,0,0,0,0,-0.363070156016084,0,0,0,0,0.128369586029384,0,-0.0142507151586255,0.202597173298478,0,0,0,0,-0.149495405950073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251051571140527,0,0,0,0,-0.0232397300935538,0.185228944386899,0,0,0,0,0
X600699.SH,0,0,0.0544112895874332,0,0,0,0,0.0147294383402908,0,0,0,0,0,0,-0.122012769181246,0,0,-0.00152882185502086,0.122910302083348,0.0785565666675963,0,0,0.25278930439532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0944181469445158,0,0.0751536146727735,0,0,0,0.0158441246093602,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.0919255243386641,0,0,0,0,0,0,0,0.0987587153819635,0,0.173097695168841,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029559286426314,0,0,0,0.0618195102754922,0,0.00809201958352311,0,0,0.133966782784639,-6.7762635780344e-21,0,0,0,0,-0.0283803053542338,0,0,0,0,-0.021553632009861,0.026143653367067,0,0,0,0,0,0
X600498.SH,0,0,0,-0.0628021418201777,0,0,0,0,0.0697429583264005,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00792773656255238,0,0,0,0.199926381288719,0,0,0,0,0,0,0,0,-0.0802187304768759,0,0,0,0,0.166171398168979,0,-0.116937224221859,-0.0493593954454978,0,0.028147745492786,0.112082746497735,0,0,0,0,0.00518411517628413,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422724377387851,0,0,0,0,0.0191391514115096,0.153061773032369,0,0,0.0812894802607702,-0.0119192667882793,0,0,0,0,0.0429535174815127,0,0,-0.0331636560974127,0,0,0,0.0284000689849676,0.103587778608472,0,0,0,0,0,0,0,0,0,0.0269822382666996,0,0,0,0,-0.0279517982794954,0.0162296384254761,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0.0440124922335217,0,0,0,0,0.0399068323682353,0,0,0,0,0,0.165491561572972,0,0,0,0,0,0,0.0305788507308401,0,0,0.0225746518298218,0,-0.0110714969566761,0,0,0,0.0397736186571695,0,0.0246002951145276,0,0,0.00200680347538294,0,0.0577237162226414,0,0.0415942584109794,0,-8.67361737988404e-19,0,0,0,0,0,0.000498460713666119,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0.148777389697695,0,0,0.0776085238585755,0,0,0,0,0,0,0.495471330769768,0.608351359278008,1.73472347597681e-18,0,0,0,0.0196820268583462,0,0,0,0,0,0,0,0,0,0.052733737636106,0,0,-0.0153358219315249,0,0,0,0,0,0,0,-0.00732792815893595,0,0,0,0.176806743746201,0,0,0,0,3.46944695195361e-18,0.00816842119484039,0,0,0,0,0,0
X000596.SZ,0.175597011107522,0.138901853095893,0.00315812856213998,0,0,0.00401407724039936,0,0.278886784728254,0,0.298148396454193,-0.0468162017425683,0,0,-0.100148907996318,0.0483057910266966,0,0,0,0,0,0,0.141719177100215,0,0,0.194597480102573,0,0,0.29760401021261,0,0,0,0,0,0,0,0,0,0,-0.29026446764615,0,0,0,0,0,0,0,0,0,0,0.000514197606409486,0,-0.0438152462055729,0.0385197833209855,0,0,0,0,0,0
X600566.SH,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.306802034777527,0.0102170143662005,0,0,0.0144397809501597,0,0,0,0,0,-0.241613640174076,0.158235762822475,0,0,0,0,0.00339734543082753,0,0,0,0.185140309830229,0,0,0,0,-0.128463056740462,0,0,0,0,0,0,0,0,0,0,-0.140918686267275,0.0588064522953819,-0.0746760546313357,0,0,0,-0.0729056873473924,0.058271759013482,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,-0.378278064419882,0,0,0,-0.256066901975113,0,0,0,0.0484284328474791,0,0,0,0,0,0,0,0.238152582050156,0.108028545346262,0,0,0,0,0,-0.234387477367358,0,0.169243557013028,0,0,0.176499664274343,0,-0.106007506528798,0,0,0,0,0,0,0,0,0.356185877242568,0,0,0,0,0.0370025337966075,-0.0471432034112678,0,0,0,0,0,0
X600118.SH,8.67361737988404e-19,0,0,0,0,0.0537638081607695,0,0,0.00322907951747849,0,0,0,-0.0766265106019414,0,0,0.0458387336038275,0,0,0,0,0,0,0,0,0,0,0,-0.0301429559026495,0,0,0.0525705124311402,0,0,0,0,0,0,0,0,0.195946491755173,0.0288801864673118,0,0,0,0,0.0922578925887566,0,0,0,-0.0351951299790069,0,-0.0732711264024411,0.0721221466402261,0,0,0,0,0,0
X000559.SZ,0,0,-0.131528438561357,0,0,0.264685277028557,0,0,0,0,-0.210908425467957,0,0,0,0,0,0,0,0,0,0,0,0.0139864014036568,-0.0324768123377641,0,0,0,0,0,0,0,0,0,0,0,0.0492053679232648,0,0.0492382718629873,0,0,0.141230572239917,0.0989321069296918,0,0,0,0,0,0,0,0,0,0,0.0245139038545037,0,0,0,0,0,0
