,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600418.SH,X002179.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X002236.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000800.SZ,X000661.SZ,X002085.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0,0,0,0,0.232453387519622,0.0302967902588674,0,0.236890579607071,0,0,0,0.182080236727426,0,0,0.0352469703134111,0,3.46944695195361e-18,0,0,0.311507768409542,0,0.219799714192571,0,0,0,0,0,0,0,0,0,0,0.0672359601199233,0,0,0,0.186955415574529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0.00411379677873959,0,0,0.115207405451821,0,0,0,0,0,0.000887205219566266,0.0969216196728244,0,0,0.013608752787949,0,0.0456790946619085,0,0.161100891770744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149194459721472,0,0,0,0,0.0766516362637099,0,0,0,0,0,0,0,0.0649462077790334,0,0,-0.0966988446586357,0,0,0,0,0.00113975672930927,0,0
X002241.SZ,0,0,0,0.241217494452736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179672286826041,0,0,0,0,0,0,0,0,0,0.150752508762592,0,0,0,0,0,0.0610876403260056,0.477036942861303,0,0,0,0,0,0.0961224382914163,-0.100865813757966,0,0,0,0,0,0,0.0104787652300809,0,0,-0.134425290186083,0,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0.20165143528775,0,0,0,0,0,0,0,0,0,0,0,-0.186214372750765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12450200389396,0.0175860700314762,0,0,0,0,0.0332353759465977,0.439363984333195,0,0,0,0.0827086518182514,-0.0031367146157012,0,0,-0.0115016145624825,-0.231154734184181,0,0,0,0.0404363415019338,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,-0.0128751703653967,0,0,0.257150519149446,0,0,0,0,0,0,0,0,0,0,0.0226828033123881,0,0,0,0,0,0.0836821233831369,0,0.251691177197114,0,0,0,0,0,0.0318797422268949,0,0,0,0,0,0,-0.00766545198004775,0.18815069642718,0,-0.000284724053227649,0.0323766007636011,0,0,-0.00305077756730057,0,0,0,0,-0.0233092732278653,0,0
X002463.SZ,0,0,0,0.0984191364695186,0,0,0,0,0.131419291880912,0,0,0,0.0622522986932004,0,0,0,0,0,0,0,0.11197774240284,0,0,-0.212137812924238,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.326197701060475,0,0.151946120008977,0,0,0.143668549752593,0,0,0,0,0,0,0,0,0,-0.142075516225861,0,0,0,0,0,0,0,-0.0578631128937014,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.113271197235287,0,0,-0.0562769436434773,0,0,0.270593127853968,0,0,0,0,0,0.125488843630881,0.0945453426146954,0,0.0415835806398751,0,0,0,0,0,0.224265616741109,0,0,0,0,0,0,0,0,0,0,0,0,0.170095047002638,0.0244015081833368,-0.000447960547785191,0,0,0,6.93889390390723e-18,0,0,-0.0884383199724556,0,0.146136707673365,0,0,0.0415485804630386,0,0
X600584.SH,0,0,0,0.11619826084573,0,0,0,0,0,0,-0.0491215775011273,0,0,0,0,0,0,0,0,0,0,0,0.0313028883676821,0.0624106423378358,0,0,0,0,0,0.257011672033625,0,0,-0.117827866077563,0,0,0,0,0.0791807568146352,0,0,0,0,0,0.0599436371217887,0.133399060680266,0,0,0,-0.121563357064693,0,0,0,0,0,0,0,-0.00711708017898708,0,0
X600089.SH,0,0,0,0,0,0,0.132995521170126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153001991777508,0,0,-0.0807958159463791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114970966823501,0,-0.0224516433295078,0.235926092360723,0,0,-0.00112499586893261,-0.108241631339665,0,0,0,0.190159149099828,0,0.00147692191193568,0,0,0,0,-5.42101086242752e-20,0,0
X600703.SH,0,0,0,0.0191491355694793,0,0,0,0,0.0539241197719851,0,0,0,0,0,0,-0.0628760712217951,0,0,0,0,0.164378055929352,0,0,0,0,0.0314279788519727,0.0923117579211487,0.175081227072251,0,0,0,0,0,0.242853054429332,0,0,0,0.0163947877516483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000835152727404422,0,0
