,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0,0.0455717496986764,0.0300389156312678,0,0.31645145958944,0,0,0,0,0,0,0,0,0.0825086371260174,0,0,0,0,0.065545813149037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699987836575002,6.93889390390723e-18,0,0,0.0870593907075529,0,0.0132155163339616,-0.0843706603806999,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0,0,0,0.116679970511408,0,0,0.504688240662166,0,0,0,0.0712028802936096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643521561480117,0,0,0.0224117889009543,0,0,0,0,0,0.0275534798206657,0,0,0,0,0,0.0626732762687395,0,-0.0832737967906818,0,0.00532722173569609,0,0,0,0,0,0,0,0
X000016.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119403087676676,0,0,0,0,0,0.0923684182367438,0,0,0,0,0,0.108005812802692,0,0,0,0,0,0,-0.0663767392264957,0,-0.116141527975898,-0.107568084841725,0,0,0,0,0,0.0349977845625809,0,0.0258632101832093,-0.0193077371991695,0,0,0,0.231819043509447,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759915883529981,0,0,0,0,0.0832860292791775,0,0,0,0,0,0.0579565243167578,0.0514992900444306,0,0.0501481512154326,0.234084499673887,0,0,0,0,0,0,0,0,0.0936449214770812,0,4.33680868994202e-19,0,0.0484145631974033,0,0,0,0,0,0,0,-0.0280660007852446,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242584649853288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610538118592581,0,0,0,0,0,0,0,0,0,0,0,0.14509774076153,0,0,0,0,0,0,0.228447869459577,0,-0.0358880311301219,-0.0111786970583883,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0.0405334319846875,0,0,0,0,0,0,0,0,0,0,0.122202709789179,0,0,0.133427116099799,0.0676794612854367,0,0,0,0,0,0.106268453204374,0.133162747286591,-0.108174660259588,0,0.120648302143376,0.0137195774157973,0,0,0.0236343620627895,0.180792797357313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146700963363348,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0.273293715786522,0,0,0,0.0516508382243155,0.0732347726288942,0,0,0.00165366903890964,0,0,0,0,0,0,0,0,0.0537699859503038,0,0,0,0,0,0,0,0,0,0,0,0.0225734552494531,0.17814674588865,0,0.0801973854680813,0,0,0,0,0,0,0,0,-0.00357035601128344,0,0,0,0,0,0,0
X600252.SH,0,0,0,0,0,0,0,0,0,0,0,0.107259677608375,0,0,0,0,0,0,0,0,0,0,0,0.0907687937070222,0,0,0,0.255991941161157,0,0.160006198917176,0,0,0,0.04787793632341,0,-4.33680868994202e-19,0,0,0.0944222927877777,0.00504244294801938,0,0,0,0,0,0,0,0,0,0,0.0115840749225381,4.33680868994202e-19,0,0,0,0,0,0
X002456.SZ,0,0,0,0.0547719604698446,0,-0.183349952144461,0,0,0,0,0,-0.135606807240424,0.0936158196821787,0,0,-0.0125961900449362,0.210970132185553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14555900508944,0,0.567325104698875,0.22816263387171,0,0,0,0,0,0.170634259028816,0,0,0,0,0,-0.0623233190125767,0,0,0,0,0.00488316467543334,0,0,0.00324839705146754,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.155570584868056,0,0,0.125270140539233,0,0,0,0,0,0,0,0.16562445842638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22441539887244,0,0,0,0.022547665424953,0,0,0,0.0515376749278583,0,0,0,0.0343167888787734,0,0,0,0,-0.00355228110899888,0,0,0,0,0,0,0
