,X600519.SH,X000858.SZ,X600809.SH,X600690.SH,X002415.SZ,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X000157.SZ,X002179.SZ,X600089.SH,X600066.SH,X600703.SH,X002463.SZ,X000921.SZ,X600372.SH,X002236.SZ,X002241.SZ,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X002049.SZ,X600183.SH,X000661.SZ,X600584.SH,X601877.SH,X002129.SZ,X000800.SZ,X002223.SZ,X601799.SH,X002180.SZ,X600487.SH,X600060.SH,X600566.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05081651542068,0,0.146400658057829,0,0,0.199424670545088,0,0,0,0.178880498038807,0,0,0,0,0.0401631764510123,0,0,0,0,0,0,0,0.117084891795887,0,0,0.253507164684225,0,0,0,0,0,0.0479143231418668,0,0,0,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,-0.100804871830915,0,0,0,0,0.179351433195142,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.000609348628293697,0,0.158267521958886,0,0.11239911227155,0.273700076239187,0,-0.0410774377083777,0,0,0,0,0,0,0,0,0,0,0.0994326261807937,0,0,0,0,0,0.0196381662273326,0.135226766212763,0,0,0,0,0.0756925400098288,-0.0412584157581852,0,0,0,0,0,0
X002028.SZ,0,0,0,0,-0.105334659121954,0.0391191774182406,-0.0255245076640247,0,-0.0365410615509938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985119136538033,0.211789617047943,0,0,0,0,0,0,0,0,0,0,0,0,-0.160017668954007,0,0,0,0,0,0,0,0,0.178194079342363,0.0500810684014472,0,0,-0.0483682362157276,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0.00115800477692053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206786874032479,0,0,0,0,0.127958986270134,0,0.151739951686789,0.50568136295013,0,0.203543843253146,0,0,0,0,0,0,0,0,0,0.142144429327109,0,0,0,0,0,-0.0544213001712713,0,0,0,0,0,0.059696874141519,-0.0957715829263438,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28421282129643,0,0.0245373253538897,0.0582475018356506,0,0,0,0,0.146520279384806,0,0,0,0,0,0,0,0.106531622298939,0,0,0,-0.151383139659529,0,0,0,0,0,0,0,-0.012547994206437,0,0,0,0,0,0.0409674962320837,0.0892336737195866,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,-0.040307978089698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200910516967612,0.00053880250701125,0,0,0,0,0,0,0,0.399292056939931,0,0,0,0,0.0711102076308438,0,0,0,0.0279843853432887,0.434325348872844,-0.0769422445356577,-0.0889528213377103,0,0,0,0.0291530494605828,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0.176058225937209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144040193737817,-0.0556851275924043,-0.239931820499784,0.157525958763282,0,0,0.0860151761768316,0.0840615640854253,0,0,0.0653456406290042,0,0.187251666333181,0,0.0750576487989817,0,0,0,0.133364773418871,0,0,0,0,0,-0.000935740698246944,0,0,0.0651224311605186,0,0.0374114993967083,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,-0.0523742229211481,0,0,0,0,0,0.197178184867873,0,0,0,0,0,0,0,0,0,0,-0.0834399982146358,0,0,1.73472347597681e-18,0,0.159690909228629,0,0,0.0316964538661111,0,0,0.126274884614497,0,0,0.0848917103538287,0,0,0.107896121554882,0,0.264562333740371,0,0,0,0,0,0,0,0,0,0.0367759948399458,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.143245068796759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112195951609992,0.245792137922818,-0.162885808515411,0,0.161287347535325,0,0.205643751423054,0,0,0,0,0,0,0,0,0,0.00518913403060193,0,0.24587067291805,0,0.000984664143824338,0,0,0,0,0,0,0.0820631389302028,0,0,0,0.0283892742972328,0,0,0,0,0,0
X600584.SH,0,0,0,0,0.405637933973161,0,0.0831930882786743,0,0,0,0,0,0,0,0,0,0.0749808715632703,0,0,0,0,0,-0.173896893188522,0,-8.67361737988404e-19,0,0,0,0,0,0.477491028806286,0,0,0.0161697086389542,0,0,0,0.27330181561923,0,0,0,0,0.0156175611522691,0,0,0,0,0,0,0,0,0.102699695540783,-0.00154961796795616,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,-0.0191654462988321,0.0785835343310367,0,0,0,0,0,0,0,0,0,0,0,0.0315919027354764,0,0,0.0412911822792946,0,0,0,0,0,0,-0.0131172074315845,0,0,0,0,0,0,0,0.0532419298761639,0.0294955634875297,0,0,0,0.20036546232376,0,0,0,0,0.0339483431250302,0,0,0,0.0854866246457205,0.00849773108245258,0,0,0,0,0,0,0
X002129.SZ,0,0,-0.202644253875148,0,0,0,0,0,0,0,0,0,0,0,0.126401612383039,0,0.255308260451301,0,0,0,0,0.372400331700356,0,0,0,0,0,0,-0.0133429394063659,0,0,0,0,0,0,0,0.263437217049812,0.132905273236652,0.0229590467427268,0,0.149736367042584,0,0,0,0,0,0,0,0.0435868632575406,0,0,0.0858808647713577,-0.107581638071595,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0.0671186849530941,0,0,0,0.091861623059131,0,0,0.227583070493844,0,0,0,-0.00240290628114102,0,0,1.73472347597681e-18,-0.110800096898939,0,0,-0.032016773846117,0,0,0.272325127181131,0,0,0,0,0,0,0,0,0.171309430386478,0,0,0,0,-0.0817026541868307,0.152675016635915,0,0,0.0670476824250983,0,0,0.0490176987202341,-4.33680868994202e-19,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,-0.0604629797944482,0,0,0,0,0,-0.0524247705407954,-0.0278453797843354,0,0,0,0,0,0,0,0,0.0838740621065444,0,0,0.00134996388768744,0,0,0,0,0.0231201911248121,0,0,0,0.033213228336292,0,0,0.0315947462700571,0,0,0,0,0,0,0,0.050158472549777,0,0.0387237198808622,0.0141332841231319,-8.67361737988404e-19,0,0,0,0,0,0
