,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600104.SH,X300014.SZ,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002241.SZ,X600703.SH,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X000338.SZ,X002049.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600089.SH,X600460.SH,X000100.SZ,X600741.SH,X300142.SZ,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X000800.SZ,X600563.SH,X600522.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.142320656213498,-0.0309168438126559,0,0,0.477596677216595,0,0,0,-0.0292338474937042,-0.0436054478077957,0,0,0.153982775759473,0,0,0,-0.0792098196362653,0,0,0,0,0.195307210721294,0,0,0,0,-0.00204977968697059,0,0,0,0,-0.0890880814100491,0,0,0,0,0,0,0.0807361077516766,0,0,0.00755024669452452,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0.085499171529071,0,0,0,0,0,0,0,0,0,0,-0.181511616400216,0,0,0.178313550821284,0,0.00579635650029825,0,0,0.0344846811212347,0.0747374688298407,0,0.126378135156187,0,0.389977700051654,0.0631349360831482,0,0,0,0,0.116677360875347,0.139346629294254,0,0,0,0,0,0,0,0,0.205296829978565,0,0,0,0,0,0,0,0,0.0184118664354419,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0.172097092020645,0,0,-0.00610072901571721,0,0.0956724980042434,0,0,0,0,0,0.0986582797131192,0,0,0,0,-0.102228537568009,0,0,-0.134212101107388,0,0,0,0.130047766614313,0,0,0,0,0,0,0,0,0.0364285868654448,0.00911579445610364,0,0,0,0.156956557444818,0,0,0,0.00802865507914114,0,0,0,0,0.0284196367082491,0,0,0,0.0263699824669322,0,0
X002414.SZ,0,0,0,0,0,0,0,-0.159540343585613,0,0,0,-0.149031426627798,0,0,0,0,-0.0552340656200117,0,0.251475055466855,0,0,0,0.368050392524012,0,0,0,0,0,0,0,0,0,0,0,0.346012266738013,0,0,0,0,0,0,0.110213270491238,0.218454586079616,0,0,0,0.132693371934698,0.138240443864479,0,0,0,0,0.0274727256532169,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0.0156087172377991,0,0,0,0,-1.73472347597681e-18,0,0,0,0.190724985704179,0,0,0.117543100391245,0,0,0,0,0.00316822070983806,-0.133097902739682,0,0.212320568327998,-0.177865505116512,0,0,0,0,0,0,0,0,0,0,0.0655199825691551,0,0,0,0,0.0412027911420422,0,0,-0.0304092692723411,0.00900612046373131,0,0,0,-0.0143554800901634,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,-0.222108307623392,0,0.135514560764215,0,0,0,0,0,0.047303019663168,0,0,0,0,0,0,0,-0.0486169282148324,0.313907104549198,0,-0.155394556180492,0,0,-0.263814429973961,0,-0.0053504175091904,0,0,0,0.00999847037232358,0,0,0,-0.0971167257964399,0,0,0,0,0,0,0.0166178641548571,0,0,0,0.102548027914896,0,0,0,0.211305683046827,0,0
X000800.SZ,0,0,0,-0.0228809540202636,0,0,0,0,0,0.0998036206160696,0,-0.0385774199135564,0,0,0.0615688339897767,0,0,0,0.171570856970005,0,0,0.0555997789735626,0.0952846284485787,0,0,-0.00900317162951119,0,0,0.0679210515304492,0,0,0.308780609541855,-0.0330917728980151,0,0,0,0,0,0,0,0,0.032123196224547,0.192664965799739,0.0251484931791562,0,0,0,0,0,0,0,0,0,0,0,0,0.0102214656913042,0,0
X600563.SH,0,0,0.0926678511624386,0,0,0,0,0,0,0,0,0.270168321633675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201716534317481,0,0.301238583795706,0,0,0,0.20402413959652,-0.0873976233144671,0.0055484779610666,0,0.0445853991994373,0,0.22846027735015,0,0.0225347090696484,0,0,0,0,0,0,0,0,0,0,0,0.0668138013021877,0,0,0,0,0.179073164661723,0,0
X600522.SH,0,0,0,-0.219235997820436,0,0,0,0,0,0,0,-0.0683596014754788,0,0,0,0,0,0,0.122756236933902,0,-0.167280473474748,0.0790610011459434,0.236211800413359,0,0,0.00709660457475968,0,0,0.167177109267646,0,0,0,0,0.0366006158262553,0,0,0,0,0,0.105537275477305,0,0,0,0,0,0.419971657954981,0.238015661581405,0,0,0.285681433922387,0,-0.0790665768250655,0,0,0,0,0.13070390686551,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,-0.117718899454687,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176102146243056,0,0,-0.0164941330917785,0,0,0,1.73472347597681e-18,0,0,0.026118096403071,0.0475047944806342,0,0.0353358625701123,0,0,0,0,0,0,0,0,0,0,0,0.0253741650160799,0.214828818966912,0,0,0,-0.0482218561164735,0,0,0,0.023697472085233,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0.0747898106039645,0.0689725005242333,0,0,0,0,0,0,0,0,-0.287089965980494,0,0,0,0,0.0216294300299628,-0.0155013610725792,-0.0971428123848245,0,0,0,0,0,0,-0.0384692642186503,0,0,0,0,-0.0405248056896168,0,0,0,-0.0141363935080218,0,0,0,0,-0.0518923164471046,0,0,0.0687389995706701,-0.205857791170266,0,0,0,-0.0763938739870866,0,0
Slope,0,0,0,0,0,0,0,0,0.138819159114344,-0.268274851685031,0,0,0,0,0,0,0,0,0,0,0,0,-0.101321075034145,0,0,0,-0.0419880543884846,0,1.73472347597681e-18,0.257403892013841,-0.0265709363563572,0.11990140269346,0.157798590181349,0,0,0,0,0,0,0,-0.171326773563812,0,0,-0.433568204941257,0,0,0,0,0,0,0,0,0.933722575870019,0,0,0,0,0,0
TED,0,0,0,0,0,0,-0.121613687404725,0,0,0,0,0.118912443491445,0,0,0,0,0,0,0,0,-0.0796073234550844,0,0,0,0,-0.070813889977088,0,0,0,0,0,0,0,-0.112461954166993,0,0,0,0.0736176585497298,0,0,0,0,0,0,0,0.0551137809421664,0,0.00431538155610606,0.113874321178345,0,-0.0395523246140165,0.852522919139301,0,0,0,0,-0.28351815097248,0,0
