,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X600104.SH,X002371.SZ,X003816.SZ,X000568.SZ,X000063.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000100.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X002179.SZ,X002463.SZ,X600418.SH,X000977.SZ,X600584.SH,X600089.SH,X000157.SZ,X600066.SH,X600703.SH,X600372.SH,X600183.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000921.SZ,X000066.SZ,X002156.SZ,X600460.SH,X600487.SH,X600839.SH,X600177.SH,X000988.SZ,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0678539550499332,0,0,0,0,0.139178546354708,0,0,0,0.43979921114815,0,0,0,0,0.158934820400853,0,0,0,0,0,0,0,0,0.0747437774371451,0,0,-0.112561662960503,0,0,-0.0463780234609963,0,0,-0.0267473661076634,0.00499650571167373,0,0,0,0,0,0
X000921.SZ,0,0,0,0.0538261097455458,0,0.292280459347597,0,0,0.0596953380085586,0,0,0.00276755733479542,0,0,0.115165138122239,0,0,0.03355633181111,0.175683846999827,0,0,0,0,0,0,0,0,0,0,0,0.0950362099178225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994210267421249,0,0,0,0,0,-0.027504691616154,0.0405157331455281,0,0,0,-3.46944695195361e-18,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0449506567871442,0,-0.24477886319749,0,-0.569958251342711,0,0,1.01914491993674,0,0,0.0403718958804214,0,-0.0513278870940856,0,0.10051528250197,0,0,0,0,0.624318774204923,0,0.0994950287817131,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.196962716997448,0,0,0,0,0,0,-0.0295541371171377,0.0724044618339671,0,0,0,0.0185539291404948,0,0
X002156.SZ,0,0,0,0,0,0,0,0,-0.116739661581263,0.149434959950696,0,0,0,0,0,0,0,0,0,0,0.283119481142163,0,-0.204952738679625,0,0,0.053309328324272,1.0842021724855e-19,0.154530191055596,0,0,0,0,0,0,0,-0.343671244232255,0,0,0.102275054227643,0,0,0.129617031589347,0,0.397312324867847,0,0,0,0.247886816338232,0,0,0,-0.167111021521821,0.0855509262869398,0,0.211402088497435,0,0.110345266498914,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474109653038774,0,0,0,0,0,0,0,0.191258561346617,0.280515229267938,0.202340794812377,0,0,0,0,0.103852191426811,0,0,0,0,0.431135057291088,0,0,0,0,-0.031939593638369,-0.0443825166208362,0,0,0.0818519139375,0,0,0,0,0.0135012008545873,-0.0314781039563814,0.0268034957559387,0,0,0,-0.0387586844735982,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0.0659620604975414,0,0,0.00725086507111564,0,0,0,0,0,0,0,0,0,0.106322161230976,0,0,0,0,0,0,0,0,0,0,0.178970766346147,0.0170221724548343,0,0,0.200417120464268,0.0237699800729295,0,0,0,0,-0.0501844149692731,0,0.0230323883837152,0,0,-0.0766204643783117,-0.076477268311294,-0.0121340919200862,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,-0.0485805306252447,0,0,0,0,0.403997580666108,0,0,0,0,0,0,0,-0.00972561859376252,0,0.464388724479512,0,0.267723422814591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166810227066663,0.164821909827889,-0.240029867059606,0.182727962011447,-0.124736848773799,0,0.122730688543497,0,0,0,-0.0558382206101483,-0.0621223563587693,0.0480443007693824,0,0.161699304956277,0,0.320760933752004,0,0
X600177.SH,0,0,0,0.094135677937357,0,0,0,0,0,0,0,0,0,0,0.00284344230011559,0,0,0,0,0,0.0885352076949955,0.103016145988528,0,0,0,0,0,0,0,0.367163121600915,0,0,0,0,0,0,0,0,0,0.175098417164836,0,0,-0.0730952224204274,-0.104041381633959,0,0,0,0,0,0,0.16116767820025,0.292387676139913,-0.144776623291938,0,0,0,-0.0925937754779874,0,0
X000988.SZ,0,0,0,0,0,0,0,0,-0.0972813023293428,0,0,0,0.264826861862862,0.17099972981926,0.150147441233002,0,0,0,0,0,0,-0.0428463599323571,0,0.260172169129084,0,0,0,0,0,0,0,0.0195483854440442,0,0,0,0,0.289640162624498,0,0,0,0,0,-0.00641776224276031,0,0,0,0,0,0,0,0.0084585188862428,0.00191129980372279,0.0225012706018396,0,0,0,0.011393260539578,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.043737439884905,0,0,0,0,0,0,0,0.128505138067093,0.207398777199826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723415074242926,0,0,0,0,0,0.0308413286391924,0.0130091532609409,0,0,0,0,0,0,0,-0.00893762183592806,-1.73472347597681e-18,0,0,0,-0.121165620710805,0,0
