,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000625.SZ,X002008.SZ,X600487.SH,X600809.SH,X601877.SH,X002241.SZ,X000100.SZ,X002508.SZ,X600066.SH,X002456.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600271.SH,X600522.SH,X600089.SH,X000596.SZ,X600177.SH,X000157.SZ,X300136.SZ,X600566.SH,X002085.SZ,X000661.SZ,X000981.SZ,X600498.SH,X600699.SH,X300142.SZ,X002179.SZ,X600118.SH,X002129.SZ,X002180.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,0,0,0,0,0.322228166338418,0,0,0,0,0,0.46561858113448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479950244161665,0,0,0,0,0,0,0,0.205644352253244,0,0.469424637168563,0,0.0152498831667073,0,0,0.0261226142223289,0,0,0,-0.0282906149114609,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.405236174620137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689474296437223,0,0,-0.0135241579739591,0,0,0,0,0,0,0,0,0,0,0,0,0.21874862896255,0,0,0.0316332156952701,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.00211963148155252,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0135472106247224,0,0.198548652690669,0.0466648496178021,0,0,0,-0.124767963917211,-0.0866373410650823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194937777598541,0,0,0,0,0,0,0,0.0653646274264229,0,0.0788379292349707,0,0,0,0,-0.046121286695443,0,-0.0899993292441638,-0.240233714986504,0,0,0,0,-0.0192698789768805,0,0,0,0,0,0
X002236.SZ,-0.0811006446657301,0,0.525052067641832,0,0,0,0,0.0862034976669451,0,0,0.224532743114416,0,0,0,0,0,0,0,0,0.141353477590485,0,0.0554637216561069,0,0,0,0,0.0752376105629746,0,0,0,0,0,-0.152634311431119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262973985951791,0,0,0,0,0.011181042053962,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.102345090252595,0,0,0,0,0,0.0741558254560076,0,0,0.141362520501507,0,0,0,0,0,0.219173233372328,0,0,0.0283901667820161,0,0,0,0,0,0,0.0252784583712484,0,0,-0.183636177027919,0,-0.173151078456135,0,0.170016191687716,0,0,0.0619502314117096,-0.043820955952616,0.118713201393498,0,-0.000348801809667328,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0.193010527426579,0,0,0,0,0,0,0,0,0,0,0.0828122438044119,0,0,0,0,0,-0.161687888510831,0,0,0,0,0.155003710313803,0,0,0,0,0.149003962080787,0,-0.208191829892655,0,0,0,0,0,0,0,0,0,0.313164650103187,0,0,0,0,0.0765089871474549,0,0,0,-0.00203978112562242,0.0165678977798818,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0638499489107491,0,0,0,0,0.0304863432686142,0,-0.0429599852769574,0.105797327240601,0,0,0,0,0,0,0,0,0,0.0842429530856631,0,0,0.337698383963186,0,0,0,0,-0.021621343199315,0,0,0,0,0,0.00255424901800122,0,0,0.146041293049003,0,0,0,0.0517318142292311,0,0,0,0,0,0,0.00266786072470844,-0.0163407105526825,0,0,0,0,0,0
X000625.SZ,0,0,0,0,-0.0900187207696099,0,0,0,0,0,0.0882082783696334,0,0,0,0,0,0,0,0,0,0,0.0690219169404261,0,0,0.0247481186974785,0,-0.0145985937026643,0,0,0,0.0754238820378946,0,0,0,0,0,0,0.0158497820137706,0,0,0,0,0,0.0377377217420979,0,0,0,0.0758733705379267,0,0,0,-0.00968936530401602,0.0252305940611776,0.0472595373601446,0,0,0,0,0
X002008.SZ,0,0,0.0101405557558139,0,0.190615658683387,0,0,0,0,0,0,0.107124762326578,0,0.174493567836519,0,0,0,0,0,0.197166705887679,0,0,0,0,0,0,0,0.23737074935898,-0.00839189151963618,0,0,0.207531974186782,0,0,0,0,0,0,0,0,0,0,0,0.313191061770898,0,0,0,-0.156975023341443,0,0,0,0.00652948739600144,0,-0.0829942775554642,0,0,0,0,0
X600487.SH,0,0,0.162642733883091,0,0,0,0,0,0.124286020731427,0,0,0,0,0.0460072870732721,0,0,0,0,0.27926202658429,0,0,0.131114843656097,0,0,0,0.120671719140282,0,0.0896818305003795,0,0,0,0,0.00607593703774128,0,0,0,0,-0.0160733925755731,0,0,0,0,0,0,0,0,0,0,0,0.19027156533034,0,0,0.00308933060575319,0,0,0,0,0,0
X600809.SH,0.00884687177081108,0,0,0,0.414815334566327,0.302829901414033,0,0,0,0,0,0,-0.118392046258089,0,-0.0513880127376216,0,0,0,0,0,0,0,0,0.0447104562589725,0,0,0,0,0,0,0,-0.0660806709126621,-0.0128177386272583,0,0,0,0,-0.0538235131390792,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0758467427861798,0.107524852058621,0,-1.73472347597681e-18,0.00825902083214197,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0.0317854564012929,0,-0.0157348982885003,0,0,0,0,0,0,0.167398665720664,0,-0.085423947012318,0,-0.200873505039129,0.382607220527098,0,0,0,0,0,0.0341592736740666,0,0,0,0,0,0,0,0,0,0,0,0.0962530510817484,0,0,0,0,0.0507414655562283,0.436885398124791,0.324100338423519,0,0,0,0,0,0,0.0389233516071076,-0.00414863491999871,-0.227975550822377,0,0,0,0,0
X002241.SZ,0,0,0.0691572582655975,0,0,0,0,0,0.0946508773548439,0,0,0,0,0,0,-0.127849268548919,0.126818660540349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246035497639205,0,0,0,0,0,0,0,0,0,0,-0.0806301467753996,0.114087989303738,0,0,0,0.101291712650639,0,0,-0.00964282101912894,0.0353455872411498,0,0,0,0,0,0
X000100.SZ,0,0,-6.93889390390723e-18,0,0,0.200561334592082,0,0,0,0,0,0,-0.034213631658925,0,0,0,0.0938232549471249,0,0.244739293048182,0.0311695564684169,0.111002993962285,0,0.014224271169506,0,0,0,0,0,0,0,0.0844660581308439,0,0.0536239209772636,0,0,0,0,0,0,0,0,0,0,0,0.0188852043006552,0.184849292818877,0,-0.0107457023854571,0,0,0,0,0.0101472101035565,0,0,0,0,0,0
X002508.SZ,0,0,0,0,0,0.062413514421675,0,0.230791707274651,0,0,0,0,0,0,0,0,0,0,-0.0486530780625405,0,0.0185497035998631,0,0,0,0,0,0,0,0,0,0,0,-0.016268823230141,0,0.0868995840916855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751022179277832,0,-0.0220679756365666,0.0222417758194066,0,0,0,0,0,0
X600066.SH,0,0,0.142904636214434,0,0,-0.0127906056795868,0,0,-0.189526546816784,0,0,0,0,0,0,0,0,0,0,0.187610831172185,0,0.0297029799419027,0,0,0,0,0,0.333506850237041,0,0,-0.0320355495541297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512576652771968,0,-0.206749446588828,0,-0.0252287039824398,0.0454216917640747,0,0,0,0,0,0
X002456.SZ,0,0,0.192345943809222,0,0,-0.0164844761060876,0,0,0,-0.0676003727549391,0,-0.0920833685262854,0,0,0,0,0.568966849423369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.244495143339457,0,0,0,0,0,0.396223185369363,0,0,0.0232640001981769,0,0,0,0,0,0,-0.0438109099921171,0,0,0,0,0.00247636301163452,0,0,0,0,0,0
