,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X300003.SZ,X002007.SZ,X000596.SZ,X600183.SH,X002371.SZ,X600741.SH,X300014.SZ,X300142.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X600118.SH,X002179.SZ,X002456.SZ,X300136.SZ,X600498.SH,X002223.SZ,X600271.SH,X002414.SZ,X600584.SH,X000066.SZ,X002049.SZ,X002185.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.0205510430384451,0,0,0,0,0,0,0.0628200654781575,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217963420779322,0,0,0,0,0.294058086924405,0,0,0,0.146674272555071,0,0,0,0,0.0398075969255494,0,0,0.21932309157105,0,-0.0770562096768818,0.0459382346045057,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0.311627427199147,0.197749561975291,0,0,0,0,0,0,0,0,0,0,0.132808572958736,0,0,0,0,6.93889390390723e-18,0,0,0.0630317081407393,0,0,0,0,0,0,0,0,0,0.0464291413505511,0,0,0,0,0,0.0192640754654682,0,0,0,0,0,0,0,0,0,0.0258413564756814,0.0119368063910788,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.124677492343455,0.11952567632701,0,0,0,0,0,0,0.154648865962226,0,0,0,0,0,0,0,0,0,0.0574086795911909,0,0,0,0,0.157616097218802,0.153462539533061,0,0,0,0,0,0,0,0,0.423223420942735,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260509671173478,-0.0373577699973135,0,0,0,0,0,0
X300142.SZ,0,0.018141433457651,0,0,0,0,0,0,0,0,0,0.10879033774856,0.0528789296220164,0,0,0,0.242039210112631,0,0,0.142783874888265,0,0,0,0,0,0,0,-0.021109807075555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144093011219396,0,0,0,0,0.11568665571955,4.33680868994202e-19,0,0,0,0.0135492419763788,-0.0373917721322763,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0.0805813808502873,0,0,0,0.195881785424896,0,0,0,0,0,0,0,0,0,0,0,0,0.108745910977333,0,0,0.109782773863671,0,0,0,0,0,0,0.0645767110193788,0,0.0446890179666361,0.0287287865785181,0,0.0242070841396677,0,0,0,0,0,0,0,0,0.141223286980808,0,0,0.0190241282130469,0.00154446164006325,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.159216969464931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18654293350696,0.0588576021166344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412587544050785,0,-0.0199703204258638,0,0,0.104023057931172,0,0,0,0,0,0,-0.00905946185268806,0,0,0,0,0,0
X000977.SZ,0,0.573485390671891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694475330251082,0,0,0,0,0,0,0,0,0,0.00331790746006687,0,0,0.0795804464614155,0,0,0,0,0,0.227790604469964,0,0,2.77555756156289e-17,0,-0.282278453498031,0,0.0250526631685528,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.0578920681260065,0,0,0.109010305692804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.208626044766067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962283529254199,0,0,0,0,0,0.163648853540834,0.0552744724800752,0,0,0.0243241354086359,0,0,0,0,0,0,0
X601877.SH,0,0,0,0.114695091627738,0,0.171007126906112,0,0,0,0,0,0,0,0,0.0308081158269002,0,0.278853389701145,0,0,0,0,0,0,0,0,0,0.141481180280557,0,0,0,0,0,0,0,0,0,0,0.019313989782037,0,0,0,0,-0.0745303548513282,0,0,0,0,0,-0.129661571518572,0,0,0.00938970513806607,0.0225552755559373,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.443274931733337,0,0,0,0,0,0,0,0,0,0.179710990022277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103330754061572,0,0.0801905683237552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581161829654728,0,0.0106901713928907,0.00662064644864364,0,0,0,0,0,0
X002236.SZ,0,0.00778466618936289,0,0,0,0,0,0,0,0,0,0,0,0.20710104307497,0.00978592637702702,0,8.67361737988404e-19,0,0,0,0.0259325108172316,0,0.0261282346715134,0,0.198901215119728,0,0,0,0.00363394023660694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10334728706951,0.146120874937467,0,0.0675727542238826,0,0,-0.0152960177083552,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0.217684889956001,0,0,-4.33680868994202e-19,0.0179432818028064,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.198119052855566,0,0.0319987993517362,0,0.0356293304507107,0,0,-0.0503991041443723,0,-0.0213909384602171,0,0,0,0,0.0784819257902229,0,0,-0.048055432605836,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344685606508353,0,0,0,0,0,0,-0.0205558856803848,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.133855448120705,0,0.0770457611693565,0,0,0,0.099480019573745,0.229455918713346,0,0,0,0.0253523966039407,0.0151421187980724,0.00667764599716475,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0056009593354564,0,0.0531899178077927,0,0,0,0.129740598242987,0,0,0,0,0,0,0,0,0,0,0,0.384286047344522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130489016094504,0,0,0.0150622252442467,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116644716240952,0,0,0,0.370493851019458,0,0,0.0716303841329978,0,0,0,-0.0969306495851523,0,0,0,0.0117732042395593,0,0,0,-0.0633266186565872,-0.0449788731173369,0,0,0,0,0.164802528240416,0.21032054642543,0,0,0,-0.00375982032782103,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0.154393412523742,0.0370827557850439,0,0,0,0,0,0,0.186350383172997,0,0,0,0,0.143990691433341,0,0,0,0,0,0.303493888244642,0,0,0,0,0,0,0,0,0.172741963834765,0,-0.0138144254398963,0.0521710488283973,0,0,0,0,0,0,0,-0.135734843540059,0.0144841032894022,-0.0319313973488945,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412456422375159,0,0,0,0,0,0,0,0,-0.0171750107174341,0.0724257188115869,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0229635366689151,0,0,0,0,-8.67361737988404e-19,0.154416947556084,0.160051427001211,0,0,0.00763140152179913,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057910225838737,0,0.0206990690808737,0,0.0466478367780229,0,0,0,0,0,0,0,0,0.0682381531151557,0,0,0.064130824460128,0,0,0,0,0.21124430386171,0,0,0.108036064463131,0.187380502997965,0,0.0233137508797948,0,0,0,0,0,0,0
