,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X600031.SH,X600118.SH,X002506.SZ,X002241.SZ,X002236.SZ,X002475.SZ,X000559.SZ,X000157.SZ,X600372.SH,X600177.SH,X000568.SZ,X000338.SZ,X002074.SZ,X300003.SZ,X300124.SZ,X600089.SH,X002294.SZ,X002085.SZ,X002465.SZ,X002049.SZ,X600867.SH,X600498.SH,X601877.SH,X002456.SZ,X002007.SZ,X600582.SH,X002180.SZ,X000981.SZ,X000869.SZ,X300001.SZ,X000050.SZ,X000623.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,-0.0451307145046144,0,0,0,0,0,0,0,-0.0142310679687836,0,0,0,0,0.350531010399137,0.0053092177936345,0,0,0,0.139411510434347,0,0,0,0,0,0,0,0,0,0,-0.203376560372819,0,0.55532504922768,0,-0.280090342593382,0,-0.544117338165456,0,0,-0.00487904192104248,0,0,0,0,0,0.308342056785364,0.125565630443125,0,0.0296653809737178,-0.176721541791908,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111353688026541,-0.162307488974424,0,0,0,0,0.160220861549515,0,0,0,0,-0.128402466606476,0,-0.025199538902672,0,0,0.0558235122673514,0,0,-0.0940141690776521,0,0,0,0.30351495274807,0.593820906419135,0,0.180248359231236,0,0.0668931604682582,-0.186314527774498,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750168968855059,0,0,0.12848238457374,0,0,0.00392110980176436,0,0,0,0,0.110200077790516,0,0,0,0.0479620353085109,0.054894582050962,0.0873956504261435,0,0,0.0381830820704255,0,0,0.122573307509998,0.109418451741352,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0.0981491987797626,0,0,0,0,0,0.190696150964544,0,0,0,0,0,0,0,0,0,0.121445482473108,0,0,0.0975563272872467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240323529465106,0.0624250133236637,0.142552419775194,0,0.0279653598206031,0,0,0,0,0,0.0146133844990638,0,0,0.0203936826984063,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0.0269518061780658,0,0.375830352974745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135102270289885,0,0,0,0,0,0,0,0,0.0840315509361627,-0.00261311284900623,0,0,0,0.0610054895833852,0,0,0,0,0,8.67361737988404e-19,0,0.00686028058624953,-0.0891601582464098,0,0,0,0,0,0
X600741.SH,0,0.364236943857735,0.126692130590697,0,0,0.0370881000697383,0,0,0,0,0,0,0,0,0,0,0.0514105446395693,0.0250831775496235,0.0292234113680347,0.0213284613560884,0,0,0,0,0,0.108849204832389,0,0,1.73472347597681e-18,0,0,0,0,0.0183518246116414,0,0,0,0,0.0519863568423054,0.0509997314333066,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0129142199447753,0,0,0,0,0,0,0,0.0517165767150582,0,0,0,0,0.171907276564342,0,0.192876627032215,0,0.136430550691318,0,0,0,0.213123292903904,0,0,0,0,0.0436056326188543,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0590570606572623,0,0,0.0134430461395719,-0.0377423205316285,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111777021983529,1.73472347597681e-18,0,0,0.160465626990667,0,0.29908363614341,0.0302555843707164,0,0.10258475888708,0,0,0,0,0,0,0,0,0.026836768107776,0.0126127333613503,0,0.0912383985177626,0,0,0,0,0,0.111802169989675,0,0,0.0473959835597682,0,0.0346667117264811,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0.115441223834256,0,0,0,0,0,0,0,0,0,-0.122689842644456,0,0.193408533271735,0,0,0,0,0,0.235750707378194,0,0,0.328170927351358,0,0.133089035802107,0,0,0.0919432463137443,0,0.0823842962417036,0,0,0,0,0,0.148915202429253,0,0,0,0,0.053030369619386,-0.0196248660027023,0,0,0,0,0.210819091143965,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227859231582724,0,0,0,0,0,0.414893317195479,0,0,0,0,0.0529234129314129,0.157170653890576,0.069877202560041,0,0,0,0,0.321764497662133,0,0,0,-0.0355939349116774,0.112581758262502,0,0,0,0,0,0
X002236.SZ,0,0,-0.0322644766256161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23384581278737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449032722463959,0.312278558698058,0,0,0,0.00632979450686807,0,0,0,0,0,0,0,0.00703634239191145,-0.0900280966411906,0,0.107547360905342,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153848259718269,0.127614676874686,0.0520044677587209,0,0,0,0,0,0.108559847934472,0,0,1.73472347597681e-18,0,0,0,0,0,0.051222977083912,0,0,0,0.0907260446332011,0,0,0.132879551832842,0,-0.0551457932934392,0,0,0,0,0,0,0,-0.000348923583712702,0.0389482792711731,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0.110177821342827,0,0,0,0,0.0121811438936334,0,0.0978267509527035,0,0,0,0,0,0,0.113679108368134,0,0.0325011841470498,0,0,0,0,0,0,0,0,0,0.0130993948379106,0.184612781021651,0.0385030331459397,0,0,0,0,0,0.162767187136157,0.165143150984276,0,0,0,-0.0330760946522579,0,0,0,0,0,0,0
