,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X600031.SH,X300124.SZ,X300014.SZ,X000725.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000625.SZ,X000661.SZ,X300142.SZ,X002049.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X601877.SH,X600702.SH,X000799.SZ,X002007.SZ,X600584.SH,X000157.SZ,X002074.SZ,X600741.SH,X002236.SZ,X600183.SH,X002414.SZ,X600779.SH,X601799.SH,X600089.SH,X300146.SZ,X000800.SZ,X300003.SZ,X600884.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0637584736981748,0,0,0,0.0400736228123059,0,0,0,0,0,0,0.149270022935649,-0.0225873108096465,0.145110838032174,-0.0199199472640058,0,0,0,0,0,0,0,0,0,0,0,0.0496258764175186,0,0,0,0,0,0.0624045927309374,0,-4.33680868994202e-19,0,0,0,0.0128472783285538,0,0.0701959017722792,-0.00770105939633564,0,0,0,-0.0214507708183529,0,0
X600031.SH,0,0.0245822557145773,0,-8.67361737988404e-19,0.0599877276560956,0,0,0,0,0.154824565134441,0,0,0.0200490786207652,0,0,0,0.138277326020412,0,0,0,0,0,0,0,0,0,0,0,0.0334857301315846,-0.0453641746862345,0,0.0153032419251787,0,0,-0.0492226028327554,0,0,0,0,0,0,0,0.0504381608574176,0,0.0255260708416759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.218184602448104,0,0,0,0,0,0,0,0,0.162583585051019,0,0.051682590636401,0.157433723575069,0,0,0,0.0732425550527426,0,0,0.123794846632188,0,0,0,0,0,0.0207087052842506,0.0754387503197977,0,0,0,0.06171396812807,0,0,0,0,0,0,0,0.0574262775121972,-0.0823297450503554,0,0,0,0,0,-0.122629058995551,0,0,-0.0493334284492755,0,0,0,0,0,0
X300014.SZ,0,0,0.224547901925753,0,0.14733241064032,0,0,0,-0.00195256573141334,0,0,0,0.139561278363416,0,0,0.11863512141874,0.0455353779239783,0,0,0.0283238760850479,0.125373216519436,0,0.114731850289243,0.0261703324266341,0,0,0,0,0,0,0,-0.0982948551200352,0,0,-0.130654141716123,0,0.226302576587294,0,0,-0.0898217447556441,0,0,0,0.204439933290785,0,0,0,0.180120481825729,0,0,0,0.033510067455535,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0869435993041204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496292360268289,0.0556306120554931,0,0,0.306248946313361,0,0.0769575367716757,0,-0.020840842658701,0,0.0998105492134364,0,0,0,0,0,0,0.146050521618574,0,0,0,-0.0465459355871022,0,0,0,-0.0182037456061734,0,0,0,0,0,0,0,-0.136587851994486,0,0
X002371.SZ,0,0,0,0,0,0,0.0455653641113539,0,0,0,0,0,0,0.00715653873823387,0,0,0,0,0,0,0,0,-0.0527045651533871,0,0,0.0750997654127181,0,0,0,0,0,0,0,-0.0475556205282056,0.232493688942452,0,0,0.00715116429486597,0,0,0.196050279063327,0,0,0,0,0,0,0,0.183951269912151,0,0.061793417365372,-0.0179371998753991,0,0,0,0,-0.390512846371568,0,0
X600703.SH,0,0,0,-0.0284818534758848,0,0,0,0.0129825978117316,0.108403964825959,0,0,0.180476336431294,-0.0402908519357183,0,0,0.223415026140133,0,0,0,0.270839075109145,0,0,0,0,-0.059166491860507,0,0,0,0,0.220229173671127,0,-0.0212181341118649,0,0.259721897182155,0,0,0.0152446197908853,0,0,0,0.0421461697643144,0,0,-0.0674893427883743,0,0,0,0,0,0.00958331381155682,0,0,0.10439233710518,0,0,0,0,0,0
X000063.SZ,0,0,0,0.11965297762778,0,0,0,0,0.0306366226496319,0,0,0,0,0.0235019156680494,0,0,0,0,0,0,0,0,0,0,0,0.0377098611841835,0,0,0,0.0303903380996973,0,0.00334595924982382,0.0125148584758645,0,0,0,0,0,0,0,0.0678850612691967,0,0,0,0.0412636759282158,0,0,0,0.0288667033515318,0,0,0.0043647371518016,0.0313096512340246,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0.0522817940316995,0,-0.0275904255233746,0,0,0,0,0,0,-0.0110791143299028,0,0,0.024589645540213,-0.0563683053405537,0,0,0.0291936158544588,0,0,0.0362121571019093,0,0,0,0,0,0,0.0735755406996811,0,0,0,0,0,0,0,0,0,0,0,0,0.00377610582657115,0,0,0,0,0,0,-0.0599863745550141,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722757706269179,0.242166967921769,0,0,0.11391285826805,-0.0882953097387914,0,0,0,0,-0.0621228522177712,0,0,0.0756229367837818,0,0,0,-0.000975084645734348,0.022261725599978,0,0,0,0,0,0.188644750762818,0,0,0,0,0.101754551972064,0,0.197643877507498,0,0,0,0.0696691604423671,0,-0.0180634147127655,0,0,0,0,0,0,0,0,0
