,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X000063.SZ,X002371.SZ,X600703.SH,X003816.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X601877.SH,X000661.SZ,X002179.SZ,X300142.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600089.SH,X600460.SH,X002180.SZ,X600702.SH,X000157.SZ,X002236.SZ,X600884.SH,X000733.SZ,X000799.SZ,X002007.SZ,X002414.SZ,X601799.SH,X600779.SH,X600183.SH,X600584.SH,X002008.SZ,X600522.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,-0.0463545470425857,-0.154760701807984,0,0,0,0.459502668981768,0,-0.277056917877683,0.167323209806232,0.00999748550207517,0,0,0.113685352758965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08751124449739,0,0,0,0,0.224053707486771,0,0,0,0,0.184408726970365,0,0,0,0.00939726199188646,0.01726726924781,0,0,0,0,0,0
X002049.SZ,0,0,0,0.150389567985586,0,-1.73472347597681e-18,0,0,0.0438236355422769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226942956150397,-0.0142358214693659,0,0,0,0,0,0.287955113319772,0,0,-0.0513427893203037,0,0,0,0,0.242392685254001,0,0,0,0,0,0,0,-0.251693345902091,0,0,0,0,-0.066528671944901,0,0,0,0.0280956756266354,0,0
X002129.SZ,0,0,0,0,0.172509873905077,0,0,0,0,0,0,0.0689656028170825,0,0,0,0,0,0,0,0,0,0.0580900792106788,0,0,0,0,0,0.145515086172044,0.203657161800067,0,0,0.301310437169292,0.508195511838076,0,0,-0.11422086625607,0,0,0,0.0122015841581889,0,0,0,0,0,0,0,0,0,0,-0.104549450075956,-0.0123169496001341,0,0,0,0,-0.00335608330296441,0,0
X000596.SZ,0,0.243212539647111,0,0,0.29230749652359,0,0,0.0560577023523278,0,0,0,0,0,0,0,0,0,0.0324387963446664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999610752445827,0,0.0821315654842843,0,0.111469170033204,0,0,0,0,0.0429049123687993,0,0,0,0,0,0,0,-0.0288690043487514,0,0,0.0295507394610137,0,0,0,0,0.0448330319887368,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.138376076831494,0,0,0,0,0.31542135668023,0.0419196600777691,0,0,0,0,0,0,0,0,0,0.224494586328644,0,0,-0.20136565567793,0,0,0.110270910578562,0.181746380535395,0.202234063951608,-1.38777878078145e-17,0,0,0,0,0.188234705095554,0,0,0.0796606521623463,0,0,0,0,0,0,0,0,-0.0343494504472044,0.0439163134641912,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,-0.0943047214658211,0,0,0,0,0,0,0,0,0,0,0,0,0.215809446699299,0.109415140283105,0,0,0,0,0,0,0.0425813898949584,0,0,0,0.0459272349376573,0.19334075450871,0,0,0,0,0,-6.93889390390723e-18,0.0226474561812409,0,0,0,0,0,0,0,0.120718167498993,0.115904674105047,0,0.0790553600254853,-0.000218254128348274,-0.101425612949898,0,0,0,-0.0564740367474464,0,0
X000661.SZ,0,0.0840127079507779,0,0.13540650204503,0.0403367047603283,0,0.146427304400844,-0.144667094233441,0.195101216766426,0.0925798930199872,0,0,0,0,0,0,0,0,0,0,0,0.0564124150144797,0.0924602307487128,0,0,-0.162500748319339,0,0,0.130393333873305,0.080969768593633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707851503478556,0,0,0,0,0,0.121233037429752,0,0,0,0,0,0,0.000175277862106049,0,0
X002179.SZ,0,-0.0403288796503032,0,-0.0706539906558962,0,0,0,-0.130797443181528,0,0,0,0,-0.0161399929193759,0,0,0,0,-6.93889390390723e-18,-0.0707044389800016,0,0,0.274702298871832,-0.0662963274492437,0,0,0.209608043474803,0,0,0,0,0,0.0405451425878467,0,0,0,0,0,0,0.0296913796795148,0.157177424872023,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625750385571113,0,0,0,0.0665905417162552,0,0
X300142.SZ,0,0,0,0,0,0.089701108680875,0,0,0,0,-0.141347014839328,0.0427281103675839,0,0,0,0,0,0,0,0,-0.0696246989279837,0,0,0,-0.00453021814420609,0,0.349368006648328,0,0,0,0,0,0,-0.327884208115609,0,0.0444067065125174,0,0,0,0.0809899617883378,0,0,-0.13711576458012,0,0,0,0,0.271564119425137,0,0,0,0,0.0349579659246925,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0.237096566611865,0,-0.00219495915808851,0,0,0,0,0,0,0,0,0,0,-0.143680078115651,0,0,0,0,0,0,0,0,0,0,0,-0.0556526303882112,0,0,0,0,0,0,0,0.0176176035148466,0,0,0,-0.129325182515735,0,0,0,0,0,0,0,-0.150254371734285,0,0.0168724460801138,0,0,0,-1.73472347597681e-18,0,0
