,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X000063.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X002236.SZ,X600372.SH,X000661.SZ,X002241.SZ,X002049.SZ,X000157.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X601799.SH,X600460.SH,X002463.SZ,X600418.SH,X002180.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600418.SH,0,0,0,-0.0125590005356628,-0.0268008209855912,0,0,0,0.595095990076308,0,0,0,0,-0.196779285148558,0,0,0,0,0,0.367203876140101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00422273577647451,0,0.0741646987164584,0.60915813547774,0,0,0,0,0,0,0,0,0,0,0,-0.199862150535881,0,0,0,0,0,0,-0.268223804772076,0,0
X002180.SZ,0,0,0,0,0,-0.0442458634519565,0,0,0,0,0,0,0,0,0,0,0,0.241635412956412,0.016610259726985,0,0.187522938027852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499507523924157,0,0,0.0762448201759388,0,0,0,0,-0.014702783920147,0,0,0,0,-0.0728603889640572,0,0
X300142.SZ,0,0,0,0,0,0,0,0,-0.0543747277960704,0,0,0,0,0,0,0,0.108744637376097,0,0,0,-0.20110938018359,0,0,0,0,0.587111422834569,0,0,0,0,0,0,0.328612282297899,0,-0.00997649742277781,0,0,0,0,0,0,0,0,0,0,0.0911512663731541,0,0,0,0,-0.064322125093866,0.00832807173132592,0.00503524712083774,0,0,0,0,0,0
X002028.SZ,0.173792728498511,0,0,0,0,0,0,0,0.100006204498723,0,0,0,0,0,0,0,0,0,0.0207172423109838,0,0,0.170186248499975,0.0646624853247076,0,0,0,0,0,0,-0.26372245226505,-0.0260367013525611,0,0,0,0,0,0,0,0,0.111509326508591,0,0.223833892879581,0,0,0,0,-0.0161973282486436,0,0,0,0.090125283781908,-0.00022906931078127,0,-0.0214502877841406,0,0,0,0,0
X002294.SZ,-0.0620238431815657,0,0,0.420876539883344,0,0,0,0,0,0,0,0,0,0,0.0434603861827335,0,0,-0.00172611177874494,0.00718974934263463,0,0.070722100325438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316516879132186,0,0,0,0,0.0465293326544167,0,0,0,0,0,0,0.108676044063083,0.174839697117988,0,-0.0297327668845357,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0.170839700265346,0,0,0,0,0,0,0,0,0.106144638613111,0,0,0,0,0,0,0,0,0,0,0,0.217478095135576,0,0,0,0,0.0967818997883073,0,0,-0.137891050955823,0,0,0.136713574698764,-0.1294137536577,0.106078461954673,0.158008811646894,0.0224585676301234,0,0,0,0,0,0,0.0479786178067079,-0.0277180188498957,0,0,0,0.0104114832966789,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0.0746523001581118,0,0,0,0,0,0,0,0.0389660563890127,0,0,-0.0670432924651562,0,0,0,0,0,0,0,0,0,-0.286426027198707,0,0,0,0,0,0,0,0,0,0,0,-0.0465627957005777,0,0,0,-0.0239851469476383,-0.343166108697959,0,0.0776401039042808,0,0,-0.0540274094362502,0,0,0,0,-0.299590768804479,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073353070864625,0,0,0,0,0,0,1.12817551037971,0,0,0,-1.77098567159036,0,0
TED,0,0,0,-0.0267254870558297,0,0,0.0406815666030298,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231980009006297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042618061235257,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341409180150658,0.545507671902972,0,0,0,0,0.350446580648993,0,0
RealEstate_excess,0.01614812808942,0,0,0.147817286610735,0,0,0.0249711559984441,-0.174695683438542,-0.0164593433217798,0,0,0,0.0169571171989789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.270407120305754,0,0,0,0,0,-0.0114726401617028,0,0,0,0,0,8.67361737988404e-19,-0.020677089935158,0.126710823056196,0,0,0,0.0220559379514217,0,-0.0254629948542584,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0.0755062840453169,0,0,0,0,0,0,0,0,0,0.0825103278241283,-0.0248779235877499,0,-0.149827539714843,0,0,0,0,0,0.0268987546258348,0,0,0,0,0,0,0,0.00455594157634856,0,0,0,0,-0.031550958793923,0,0,0,-0.0220341421517623,0,0,0.0255360813932562,0,0,0.00401044162168448,-0.0614844273812016,0,-0.00434300509911936,0,0,0,0,0,0
MKvol,0.0015252204541331,0,0,0,0,0,-0.000697334764484076,0,0,0,0,0,0.0025623370202585,0,0,0,0,0,0,-0.000690143805903009,0,0,0,0,0,0,0,0,0,-0.00137086266149339,0,0,0,0,0.000779472736226767,0,-0.000543654035614073,0,0,0,0,0.00113963877129196,0,0,0.000694269554259152,0.000374971942356954,0,0.000927785531433687,0.00212254046527163,0,0,0.0016151632805767,-0.00238984913958403,0,0,0,-0.0107862656348247,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00529696346186575,0,0,0,0,0,0,0
CarbonVol_Guangdong,0.00617948783781254,0,-0.0056918055782276,0,0,0,-0.0125992581869859,0,0,0,0,0,0.00409245141217524,0.00214222008684975,0,0,0.0039037158136401,0.00356857282567535,0,0,0,0,0.000936223234179299,0.0168629975138296,0,0,0,0,0.00527327891196812,0,0,0,0,0,0.00467714951006371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00321354494739053,0.000168257716022147,0.00235959211651782,0,0,0,0.0205288746194663,0,0
