,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600703.SH,X600809.SH,X600690.SH,X002371.SZ,X000596.SZ,X002007.SZ,X300003.SZ,X000100.SZ,X002241.SZ,X600183.SH,X300142.SZ,X600741.SH,X300014.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002129.SZ,X000157.SZ,X600584.SH,X002236.SZ,X000625.SZ,X000800.SZ,X002049.SZ,X002463.SZ,X000066.SZ,X002414.SZ,X002456.SZ,X300136.SZ,X600498.SH,X600118.SH,X002179.SZ,X002185.SZ,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0,0,0,0,0,0.23953988325297,0,0,0,0,0,0,0,0,0,0,0,0,0.158387004568577,0,0.0481149580934224,0,-0.00214055400300281,0,3.46944695195361e-18,0,0,0,0.0236603355472108,0,0,0,0.0685787193327855,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0584666442315543,0,-0.0718394492518506,0.0202503456316902,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152971922084212,0,0,0.0596064154098468,0,0,0,0,0.0764227394224385,0,0,0,0.0531919721659956,0.0426067600361708,0,0,0,-0.0934344334432053,0,0,0,0,0,0.112358471775987,0,0,0.0492724709683901,0,0,0,0,0.214514808640612,0,0.217143764670961,0,0,0.000113940354711418,-0.0694008733624683,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,-0.0812065903880065,0,0,0,0,0,0.133221268902835,0,0,0.0843167897158207,0,0,0,0,0,0,0,0.228222706106635,0,0,0,0.0936446633526923,0.00442637111430787,0,0,0,0,0,0,0,0,0,0,0,0.0396680884810855,0,0,0,0,0,0,0,0.0165486640090738,0.137838276258559,0,0,-0.00569668978124353,-0.0283769486410711,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.319042394436075,0.117069016522795,0,0,0,0,0,0.24593924663053,0,0,0,0,0,0,0,0,0,0,0,0,0.0717830732118763,0.0179572131161705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814080011688828,-3.46944695195361e-18,0,0,0,0.163862909782148,0,0.155080638420192,0.0150397183610085,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,-0.0476291482943688,0,0,0,0,0,0,0,0.0196841199036342,0.164209176560542,0,0,0,0,0,0,0.159375189492253,0,0,-0.070140637020066,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0357819293129072,0.136335474401017,0,4.33680868994202e-19,0,0.0580755449884869,0,0.0297375392818119,0,0,0.0768972539714746,0,0,0,0,0,0,0,-0.0465044260820067,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106737170340523,0,0,0,0.198273330317953,0,0.0543455770326419,0,0,0,0.100972623292143,0,0,0,0,0.183356428978514,0,0,0,0,0,0.258450663898873,0,-0.203211054149705,0,0,0.367972870976298,0,0,0,0.0747463383979364,0,0,-0.0123361619536667,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491027730516219,0,0,0,0,0,0,0,0,0.321531482034507,0,0,0.0350852607419886,0,0,0,0,0,0,0,0,0,0,0,0.0849667348321337,0,0.0610377148477997,0,0.074439065974823,0.00619649331359574,0,0.143390906682953,0.0832308121348386,0.00953739104214451,0,0,0.0140813936730167,0.0114876142869118,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198938604063224,0,0.0521189713293829,0,0.0117863778598556,-3.46944695195361e-18,0,0,0,0.109096414633036,0,0,0,0,0,0.17843339150053,0,0,0,0,0,0,0,0.115705421235967,0,0,0,0,0,0,0,0,0,0,0,0.25198873763229,0,0,0.0131945116792198,0.0424714666133056,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0.195299077832763,0,0,0,0,0,0,-0.0338078970793279,0,0,0,0,-0.261774120663281,0.132262282180891,0,0.167723965962248,0.00243790223245689,0,0,0,0,0,0,0,0,0,0.0171967235476025,0,0,0,0,0,0.274251091401295,0,0.113407870559482,0,0,0,0,0,0,0,0,0.100112279637822,0.0328111220146018,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916229920731938,0,0,-0.0141997236394821,0,0.0136623208066022,0,0.284605374388625,0,0.166931427173863,0,0,0,0.189575081068094,0,0,0,0,0,0,0,0.23704053425847,0,0,0,0,0,0,0,0.0608909345281828,0,0.114159955656145,0.02295249040252,0,0,0,0,0.00961516240393602,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0.2104447058942,0,0.147355890347653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139985474137063,0,0,0,0,0,0,0,0.243016197053146,0,0,0,0,0.0780403256500536,0,-4.33680868994202e-19,0,0,0.00923316373360838,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0.229468298664153,0,0,0,0.0234183883358169,0,0.0184235837902169,0,0,0,0,0,0,0,0,0,-0.0727197015759658,0,0,0.0489943231174671,0,0,0,0,0,0,0,0.396872138810917,0,0,0,0.341768020929192,0,0,0,0,0,0,0,0,0.198649834698775,0,0,0,0.0263968131028118,0.0712640032634374,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447920171330284,0,0,0.115080227057737,0,0,0.0770082215260717,0,0,0,0,0.329417189163713,0,0,0.0630987980362654,0,0,0,0,0,0.0630901917458973,0,-0.100664134798937,0,0,0,0,0.121549152836581,0,0,0,-0.0683950272026899,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,-0.106735516093965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12047734690054,-0.0227612608500478,0,0,0,0,0,0,0,-0.0703127049801245,0,0,0.0539008937826241,0,0,0,0,0,-0.0015356698209982,0,0.0635345838810965,0,0,0,0,0.0873032631866294,0,0.105255283645126,0,-0.0307945286447266,0.0285989228016347,0,0.0230726209833506,0.0576445901135805,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0.0258797425192356,0,0,0,0,0,0,0,0.127736006730477,0,0,0,0,0,0,0,0,0,-0.013984003505732,0,0,0.078970287878928,0,0,0.184987647223049,0,0.152153321529628,0,0.229551048939095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00714755198276635,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,-0.0181136533163736,-0.125618607303771,0,0,0,0,0.0216135814561672,0,0,0,0.0122010698194363,0,0,0,0,0,0,0.0574474629002966,0,0,0,0,0,0,0,0,0.351712602230429,0,0,0,0,0,0,0,0,0,0.0289114415885634,0,0.241335122463682,0.0648768636699703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000021.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725072625331294,0.418224501320844,0,0,0,0,6.93889390390723e-18,0,0,0,0.0118170670688452,0.313924371661507,0,0,-0.411667372371115,0.237924219721188,0,0,0,0,0,0,0,0,0,0,0,0,0.177712003432927,0,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0.105198380216854,0,0,0.0171689609431366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148932593476051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303780189133574,0,0.017031191561311,0,0,0,0,0,0,0.00480431132053061,0,0,0,0,0,0,0
