,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000596.SZ,X300142.SZ,X000661.SZ,X002179.SZ,X600089.SH,X000100.SZ,X600460.SH,X000799.SZ,X600741.SH,X002236.SZ,X000157.SZ,X600702.SH,X002074.SZ,X600884.SH,X600779.SH,X002414.SZ,X600584.SH,X601799.SH,X002007.SZ,X000800.SZ,X600183.SH,X002176.SZ,X000733.SZ,X300003.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736152487454763,0,0.286561170488724,0,0,0,0,0.110139643092868,0,0,0,0.152053659970902,0,0,0,0,0,0,0,0,0,0,0,0,0.217557579316268,0.000913608086361695,0,0,0,0,0,0,-0.0917644063615492,0,0,0,0,0,0.0147849560390265,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068277183505408,0,0,0,0,0,0,0,0,0,0,0.10970192466029,0,0,0,0.139350650455636,-0.0235686710537367,0,0,0,0,0,0.0564948881987949,0.0390493879346671,0,0.290345395292887,0,0,0,0,0,0.148197166091805,0,0,0,0,0,-0.0254037831142727,0,0,0,0,0,0
X002049.SZ,0,0,0,-0.271531608999122,0,0,0,-0.0374670172097091,0,0,0,0,0,0.342309501640323,0.103514136757493,-0.0434068916251354,0,-0.0401504087932846,0,0,0,0,0.174531904390505,0,0,0,0.101038361683632,-0.0800809493966271,0,0.03373229783458,0,0,0,0,0,0,0,0,0,0.147575346141003,0,0,0,0,-0.299155085273474,0,-0.097189382398894,0.248501069643424,0,0,0,-0.0237903144613041,0.0616416750778963,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446320704934977,0,0,0,0,0,0,0,0.0504545695802852,0,0,0,0.29917639907342,0,0,0,0.0685696262572874,0,0,0,0,0,0,0,0,0.0893117357901223,0.119689373670978,0,0,0,0,0.0536651878552636,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.161301540964091,0,0,0,0,0,-0.0130208449770054,0,0,-0.0738044232400768,0,0,0,-0.0317161531358629,0,0,0,0,0,0,0.177920758710026,0,0,0,-0.0511650472841145,0.249443369320773,0,0,0,0,0,0.118755943644933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0.236817966191781,0,0,0,0.0737161390866419,0,0,0.499374108376889,0,0,0,0,0,0,0,0,0,-0.252002144392698,0,0,0,0,-0.153006059896391,0,0.451244787906535,0,0,0,0,0,0.0375878620863127,0,-0.162815705820306,0.205776556368686,-0.255163152998362,0,0,0,0,-0.00226435548501177,0,0,0,0,0.00064366907210503,0,0,0,0,0,0,0
X000661.SZ,0,0.254927849631142,0,0,0.0397780090542533,0.265701054592742,0,0,0.174184540544976,0,0,0,0,0,0.122889301597341,0.212616616913727,0,0,-0.0907863217052876,0,0,0,0,-0.146854841586377,-0.0327170810334757,0,0,0,0,0,0,0,0,0,0.285420690355574,0,0.0082315775212673,-0.170385737696208,0,0,0,0,0,0,0,0,-0.168958506679998,0,0,0.0821051878512025,0,0.171097385682632,-0.17965926892876,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00328030092017571,0,0,0,0,0,0,0.00655555803507909,0,0.0771617491721017,0.144675671368371,0,0,0,0,0.151096712505219,0,0,0,0,0,0,0.032875504505836,0,0.019372068148193,0,0,0.0784282951652027,0,0.0760385286703797,0,0,0,0,0,0.0928966986334925,0.200061949067076,0,0,0,-0.0380596574994497,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0.050930868069727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037971968386397,0.0904432853448558,0,0,0,0,0,0,0.194047972219346,0,0.215171667757236,0.0564309390018068,0,0,0,0,0,0,0,0,0,0,0,0,0.0158020998465515,0,0,0,0,-0.176033723378766,0,0
X000100.SZ,0,0,0,0,0,-0.0151381531333645,0,0,0,0,0,0,0.617588041247936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00811428359644373,0.101371927017363,0,0,0.0705393468277976,0,0,0,0,-0.00617143457799202,0,0,0,0,-0.013110433855278,0,0,0,0,-0.0610979639711778,0,0
X600460.SH,0,0,0,0,0,0,0,0,-0.260438515527558,0,0,0,0,0.120316221503051,0,0,0,0,0,0,0.316690750562701,0,0,0.0567135238136446,0,0,0.211838042563106,-0.235909726979718,0,0,0,0,0,0,0,0,0.234097743315015,0.0259134127661537,0.140867622221354,0,0,0.195048075089782,0,0,0.0522428107698357,0,0,0,0,0,0,-0.0441208849398726,0,0,0,0,0.123364442182746,0,0
X000799.SZ,0,0,0,0.480462046046834,0.00736219443834922,0.168815898602792,0,0,0,0,0,0,0,0,0,0.105856243708378,0,0,0,0,0,0,0,0,0.0179441382747491,0.0677670183794642,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544894865002185,0.260360586564774,0,0,0,0,0,0,0,-0.0055392165204722,0,0,0,0,-0.00958985262746157,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.261688229106366,0.18029079712575,0,0.0800888171409232,0,-0.112865715249996,0,0,0,0,0,0,0,-0.0953745018629909,0.00548278549311918,0,0.124323710803143,0.022024648533439,0.0513877951667201,0,0.143059232307063,0,0,0,0,0,0,0,0,0,-0.0315627302440053,0,0,0,0,0,0.196313109104012,0,0.0347680578759774,0,0,0,0,-0.039511451242748,0,0,0,0,0,0,0
X002236.SZ,0,0,0.0624012154130149,0,0,0,0,0,0.0559727850649866,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0958325172429136,0.0930555768877209,0,0.0765830195705865,0.0141245597797602,0,0,0,0,0,0,0.16110685496828,0,-0.0228688284905064,0.0501561617493833,0,0,0,0,0,0,0,0,0.0793313193806835,0,0,0,0,0.038458190005299,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.554610052418734,0,-2.16840434497101e-19,0,0,0.0122969621158609,-0.0329711748135208,0,0,0,0,-0.0986851478359397,0,0,0,0,-0.0987133401850952,0,0,0,0.0118523868584819,0.0447348819972579,0,0.161820506636666,0,0,0,0.000618441310462868,0.0941919116820139,-0.0796349068637291,0,-0.0237582288978594,0,0,0,0,-0.0610275134646613,0,0,0,0.0122411276700554,0,0,0,0,-0.0558918855728442,0,0
X600702.SH,0,0,0,0.0718088436888289,0,0.227758050062106,0,0,0,0,0,0,0,0.0119423207466569,0,0,0,0.0732353165115141,0,0.0548077659634762,0,0,0,0,0.0957580802954644,0,-0.0582596734804858,0,0,0,0,0.0785745468739348,0.44694942493264,0,0,0,0,0,0.0477926079712987,0.372129735210741,0,0,0.000719078831163877,0,0,0,0,0,0,0,0,-0.0415003608372532,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942723253691568,0,0.336511242917572,0,0,0,0,0,0.0257451706868123,0,0,0.0277031427963894,0,0,0,0,0.101171934535575,0,0,0.117980291430409,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0232060170861837,0,0,0,0,0,0.0510565210437147,0,0,0,0,0,0
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452443264301554,0,-0.292703457350913,-0.0709074450767107,-0.208751463976192,0,0,0,0.0421977688695389,0.15865924031555,0,0,-0.294160753083515,0,0,0,0,0,0,0,0.0232461996327026,0.255173342994649,0.0410659392646702,0,0,0,0,0,0,0,0,0,0.0678979197463986,0,0,0,-0.0288161111526966,-2.16840434497101e-19,0,0,0,0,0,0
X600779.SH,0,0.57443809931457,0,0.0447156632415429,0,0,0,0,0,0,0,0,0,0,0,0.036517239738291,0,-0.0379347231373378,0,0.060053176439179,0,0,0,0,0,0,0,0.0257309162924271,0,0,0,0,0.152540247204525,0,0,0,0.0217502857425199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0866144183960924,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269850815372288,0,0,0,0,0,0,0,0.0451169094526012,0.041576761235883,0.00775708048849941,0.0846839565860584,0,0,0,0.212753397260131,0,0,0.0759874032081193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191026291821571,0.0370767263154551,0.180859473478475,0,0.160843355928822,0,-0.00377571292372442,0,0,0,0,0.0477836082972184,0,0
X600584.SH,0,0,0,0,0,0,0.209870557356732,0,0,0,0,-0.0410277537336992,0,0,0,0,0,0,0,0,0,0,0.0802552336500974,0.0834140224007582,0.0516085484787076,-0.0722901036161331,0,0,0,-0.0347218031249351,0.0833638803310157,0.268910953310523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812531692227631,0,0,-0.0641678713219202,0,-0.031660824408752,0,0,0,0,0,0
X601799.SH,0,0,0.275155927509538,0,0,0,0.203493410351425,0,0.0379116976457693,0,0,0,0,0,0,0.0743503048213149,0,0,0,0,0,0,0,0,0,0,0.0611395349631758,0,0,0,0,0,0,0,0,0,0,0,0.0246636804052443,-0.0415658119463966,0.0396125571110812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0.0921871314849697,0,0,0,0,0,0.0236644460123292,0,0.235050676657212,0.0378438667348957,0,0,0,0,0,0,0,-0.306009061924731,0,0,0,0.0929245111843986,-0.152115799801167,0,0,0.120252983483474,0,-0.0668636541863517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697072929922065,0,0,0,0.0303026319176529,0.0743286242100539,0,0,0,0.230291845256026,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380078774464872,0.134726747801619,0,0,0,0,0,0,0,0,0,0,0.516921560979012,0,-0.0381098422393145,0,0.0483971732066711,0,-0.0264421602306943,0,0,0,0,0,0,-0.0232704363461584,0,0,0,0,0.0128663289473091,0,0,0,0,0,0,0
