,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X000725.SZ,X002475.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X002179.SZ,X600741.SH,X000625.SZ,X002371.SZ,X002007.SZ,X300142.SZ,X002236.SZ,X601877.SH,X002049.SZ,X600584.SH,X000799.SZ,X002414.SZ,X600183.SH,X000800.SZ,X601799.SH,X300003.SZ,X300146.SZ,X600779.SH,X002074.SZ,X002008.SZ,X600089.SH,X600707.SH,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0.0107124779863298,0.486681344505919,0,0,0,-0.114903531182597,0,0,0,0,0,0,0,0.0609294709614341,1.73472347597681e-18,0,0,0,0,0.0763421562639977,-0.00906867709388341,0,0.0963834752502207,0,0,-0.0827856913769561,0,-0.0807020402687742,0.0141291458338917,0.185884720625492,0,0,0.238968450740856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748566525678695,0.0185783707719191,-0.0379974300729063,0,0,0,-0.000170661157865438,0,0
X000625.SZ,0,0,0,0,0,0,0,-0.288962722556118,0,0,0,0,0,0,0.0853395329896554,0,0,0,0.0500611970449118,0.157446360604869,0.0223666332050272,0,0,0,0,0,0,0,0,-0.13634699540573,0,0,0,0.352456258502175,0,0.104968524237921,0,-0.129334162251862,0,0.0473267625777917,0.258827076716911,0,0,0,0,0,0,0,0,0,0,0,-0.033480618094612,0,0,0,-0.0709399994067509,0,0
X002371.SZ,0,0,0.0869797611030746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371301128105585,0,0,0,0,0,0,0.0032053043318111,0,0.678916606250011,0,0,0,0,0,0,0,-0.00952390432670304,0,0.0115385716082927,0,0,0,0,0,0,-0.305930036581138,0,-0.0475149666374791,0,0,0,0,0,0
X002007.SZ,0,0,0.0950272790744024,0,0,1.38777878078145e-17,0,0,0,0,0.0443846823080584,0,0,0,0,0,0,0,0,0,-0.0476212548125333,0,0,0.169668736027531,0,0,0,0,0,0,0.0754336235346531,0,0,0,0,0.158269545904162,0,0,0,0,0.328875940390831,0,0,0,0,0,-0.0758875113067412,-0.0755881105100332,0,-0.140351455438698,0,0,0,0,0,0,-0.0248460276590639,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088887925894675,0,0,0.127381602954917,0,0,0,-0.131177538401072,0,0,0,0.133838748047567,0,0,0.0650387826257763,0,0,-0.144805380454274,0,0,0,0,0,0,0.114133413956211,0,0,0,0,0.115047990029458,0.186385352434454,0.184843704447531,0.0672523283431422,0,0,0,-0.0192426817059099,8.67361737988404e-19,-0.029211714252212,0,0,0,0,0,0
X002236.SZ,0,0,0.26897500028376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400788060490686,0,0,0.0926787247699342,0.0733279061116916,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023980946346613,0,0,0,0,0,0.0476941198782321,0,0,0.359136712316881,0,0.0589469206341511,0,0,0,0.110360969771389,0.0509333086519608,0,0,0,0,-0.0196412307465646,0,0
X601877.SH,0,0,0.11439761656742,0,0,0,0,0,0,0,0,0,0,0.110732146001307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17527581195056,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.180216231704252,0,-0.0381791958447461,0,0,0,0,0.030664840876146,0,0,0,-0.0204348748644093,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.256710022872749,0,0,-0.152185016860808,0,0,0,0,0,0,0,0,0,0.207012524892389,0,0,0,0.071050196886269,0,0.0423333095107282,0,0,0,0,0,0,0,0.0128270587934606,0.25472489009905,0,0,0,0,0,0,0.0214934236256727,0,0,0,-0.143601792600032,0,0,0,0,-0.0272151692368679,0,0,0,-0.0341481155686396,0,0
X600584.SH,0,0,0,0,0,0,0,0,0.0279646242009125,0,0,0,0,0,0,0,-0.0624267167432778,0.248054114364034,0,0,0,0,0,0.141294523780264,0,0,0,0,0.177970035575435,0,0,0,0,0.125899687111422,0,0.0719870813359551,0,0.0695883100670246,0,0,0,0,0,-0.0246306323850983,0,-0.242523380748909,0.0760744621425521,0,0,0,0,0,0,0,0,0,-0.035961575632255,0,0
X000799.SZ,0,0,0,0,0,0.537135347231514,0.273659320219342,0,0,0,0.065197004858952,0,0,0,0,0,0,-0.0813051147904826,0,0,0,0,0,0,0.357021619898709,0,0.0626468786197082,0,0,0,0,0,0,0.0354412591244912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0757599389945333,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0.170136973728252,0,0,0,0,0,0,0.149133979986488,0.0526905956441395,0,0,0.0989209842186288,0,0,0,0,0,0,0,0,0,0,0,0,0.113076047127857,0,0,0,0,0,0,0,0.116303435352387,0,0.263028183196654,0,0,0,0,0,0.0469138481996415,0,-0.0149780430567342,-0.0102110766009549,0,0,0,0.0414482832969749,0,0
X600183.SH,0.100865614160005,0,0,0,0,0.166926433566736,0.113608245734009,0,0,0,0,0,0,0,0,0,0,0,0,0.0351587981685246,0.0681278235918722,0,0.00856065172504741,0,0,0,0,0,0,0,0,0,-0.032161519882458,0,0,0.0169075704357113,0,0,0.224729345467637,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0931221497456121,0,0,0,-0.0565922831500848,0,0
X000800.SZ,-0.146345577039131,0,0,0,0,0,0.0715065118060365,0,0,0,0.0685061737625193,0,0,0,0,0,0,0,0,0,0,0.0431697712120724,0.0175974027968155,0,0,-0.038162263347396,0,0,0,0,0.156579126878626,0,0.000118410974101164,0,0,0,0,0.0115113903972226,0,0,0,0.0685047749337832,0,0,0,0.0312098622602604,0,0.0365939602327221,0,0,0,0.0134204941613724,0.0402389783378999,0,0,0,-0.0203104760422112,0,0
X601799.SH,0,0.01497982773998,0,0,0,0.0668247544485944,0.036386606995034,0,0,0,0,0,0,0,0,0,0.0268856920432571,0.382334190434359,0.102629917597955,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0843459118434854,0,0,0,0.109311220909947,0,0,0,0,0,0,0,0,-0.169129898567834,0,0.123455959081096,0,0,-0.047582102908507,-0.0403099353447441,0,0,0,-0.0076544140528733,0,0,0,0,0.0068885144245391,0,0
X300003.SZ,0,0,0,0,0,0,0.0181541137519021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122186039155296,0.0173287766987859,0,0,0.00608676113049614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11620839776743,0.0149330550018589,0,0,0,0,0.0103127000082325,0,0,1.0842021724855e-19,0,0,0,-0.00704812361614284,0,0
X300146.SZ,0,0,0,0,0,0,0.131314081894571,0,0,0,0,0,0,0,0,0,0,0.0396933564503468,0,0,0.0068852897349776,0,0.116169812670368,0,0,0.119012972171714,0,0,0,0,0,0.0151502538487673,0,0,0,0,0.11414848965793,0,0,0,0,0,0,0,0,0,0,0,0.0157459304007562,0,0,0,0.023603099509139,0,0,0,0.0098421511186276,0,0
X600779.SH,0.199017968557251,0,0,0,0,0.141353843668412,0.087676906654753,0.0343903203797591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593624721133524,0.0734461084333142,0,0,0,0,0,0,0,0,0,0.126751026300816,0,0,0,0,0,0.0349092451341652,0,0,0.0679954082618908,0,-0.0472167263984899,0,0,0,0,0.0497485755163805,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0.0533589344633838,0,0,0,0,0,0,0,0,0,0,0.179703369502025,0.29758017852653,0,0,0.362419497033276,-0.0475591844702473,0.11184046690671,0,0.202091794602119,0,0,0,0,0,0.0459598500522191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0762666008278024,0,0,0,0,0,0.00362274360180799,0,0,0,0.00342008263064941,0,0
X002008.SZ,0,0,0.0739414868000148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110524763349918,0,0,0,0,0.0492105214887635,0.256778722637201,0,0.030873840284843,0,0,0,0,0.0167647944400499,0.126062825812619,0,0,0,0,0,0,0,0,0.0632856540507874,0.0022861835805077,0.0273383007337193,-0.0393522490869314,0,0,0,0.223497741842616,0,0,0,0,0,0,0,0,-0.0148421195172657,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,-0.150477908564274,0,0,0,0,0.153703445140921,0,0,0,0,0.217342396726846,0,0,0.266761377081864,0,0,0,0,0,0.0112088399626674,0.158268766087563,0,0,0,0.0950401105847141,0,0,0,-3.46944695195361e-18,0,0,0,0,0.141768057867421,0,0,0,-0.0824360940995748,0,0,0.0112258520707041,-0.0152967856296697,0,0,0,-0.0108144269253824,0,0
X600707.SH,0,0,0,0,0,0.541511400554985,0,-0.166153995808696,0,0.0922521019607995,0,0,0,0,0,0,0,0,0,0.180235378403345,0,0.0968568939094988,0,0,0,-0.260176274859189,0,0,-0.39609152935359,-0.0402055837660997,0,0,0,0,0,0,0,0,0,0,0,-0.35976882893938,0,0,0,0,0,0,0,0,0,0,0.164089440622658,0,0,0,0.137580796199056,0,0
X000977.SZ,0,0,0,0,0,0,-0.0717181672051639,0,0,0,0.0451965653115434,0,0,0,0,0,-0.0625409127693561,0,0.280093098674855,0,0,0.0289828412078065,0,0.0638023404052648,0,-0.0182740695112647,0,0,0,0.158473041538374,0,0.184938892646868,0,0,0.114883331104493,0,0,0,0,-0.422007254072562,0,0,0,0,0,0,0,0,0,0.393620586703102,0,0,-0.0133450640408831,0,0,0,-0.0458460609811032,0,0
X600118.SH,0,0,0,0,0,0,0,0.106242842053678,0.0951057001061245,0,0,0,0,0,0,0,0,0,0,0,0,0.311555317654181,0,0,0,0.0121341278834519,0,0,0,0,0,0,0,0.0591188146979811,0,0.053306295075181,0.0556106030720696,0,0,0,0,0.00672825627409186,0,0,0,0,0,0,0,0,0,0,0.0340562804165552,0,0,0,-0.084770582513932,0,0
X000066.SZ,0,0,0.260314607609709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141395132415027,0.130458932475378,0,0,0,0,0.120313389756065,0,0,0,0,0,0,0,0,0.0107965825091831,0,0,0,0.0723580824226004,0.00635911802911039,0,0,0,0,0,0,0,0,0,-0.230188836599923,0.233556229882403,0.154257058761845,0,0,0,0.0557852365211838,0,0,0,0.0752397761276507,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,-0.224272707852422,0,0.0572575179662868,0,0,0,0.0378943180641946,0,0,0,0,0,-0.212427948615974,0,0.0201540488448135,0,0,0,0,0,0,0,0,0,0,0,-0.165952815800561,-0.0168434654634513,0.0499485799662713,0,0,0,0,0,0,-0.0197165209940661,0,0,0,0,0.100436993541247,-0.0601655324719391,0,0,0,-0.0146996807817415,0,0
Slope,0,0,0,0,0,0.129158888479931,0,0,0,0,0,0,0,0,0,0,-0.165659477912711,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.176079897262562,0,0,0,0.0645455611227286,0,0,0,0,0,0.046927756489588,-0.0537758909065199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987194763834954,0,0,0,-0.32170612689015,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140192498831298,0,0,0,0,0,0,0,0,0,0.115879818335942,0,0,0,0,0,0,0,0,0,0,0,0.133540201289131,0,0,0,0,-0.0456631741671867,0.0253067046814125,0,-0.20164830903018,0,-0.520468700281022,0.79277503299322,0,0,0,0,0.00784134998230778,0,0
RealEstate_excess,0,0,0,0,0,0.0554254567886066,0,0,0,0,0,0,0,0,0,0,0.016642954417288,0,0,-0.0742049132915589,0,0.0806501820021783,0,0,0,0,0,-0.0346106322268734,0,0,0,0,0,0,-0.0192611426934439,0,0,0,0,0,-0.00554951105348971,0,0.0157271825655846,0,0,0.0666247974253389,0,0,0,0,0,0,0,0,0,0,-0.0172410668370752,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618582531453014,0,-0.038003762935434,0,0,0,-0.0119100056841205,0,0,0.00967351618107156,0.0224055362788481,0,-0.0925810428504814,0,0,0.205680238146933,0,0,0,0,-0.00429502619117626,0,0,0,0,0,0,0.0457517878821558,0,0,0,0,0,-0.00631384597016384,0,0,0,-0.00344743950318533,0,0
MKvol,0,0,0,0,0,0,0,0,-0.000458457571557644,0,0,0,0,0,0,0,0,0,0,0,0.0013171388241641,0,-0.00175187802125724,0,0,0,0,0,-0.00334715297165754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509569671342367,0,0,0,0,0,-0.000372648554885604,0,0,0,0,-0.00554631061671064,0,0
CarbonVol_Shenzhen,0,0,0.214321048633144,0.0826872740122608,0,0.124712229197288,0,0,0,-0.794007428314174,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25343247936154,0,-0.181739472561201,0,-0.234278820210281,0,0,0,0.225410823586384,0,0.16093396403547,0,0,0,0,0,0,0,0,-0.261441982576814,0,0,0,0.258686391833738,0,0,0,0,-1.09413242231179,1.12350417090223,0,0,0,0,0,-8.03985335911653
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,-0.00683545962897335,0,0,-0.00801960362895929,0,0,0,0,0.0042067658322054,0.000262986973104532,0,-0.000891992756332087,0.00812803268841609,0.00479068101262165,-0.00661124878903842,-5.42101086242752e-20,0,0,0,0,-0.000588839602324802,-0.00181947311845184,0,0,0,0,0,-0.00578212499615481,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,-0.00611940093226474,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00503610550200988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155559050727024,0,0.000993486293196429,0,0,0,0,0,0,0,0.00485322859982772,0,-0.00241743249159037,0,0,0,0,0,-0.0217441190681626,0.0105506683768289,0,0,0,-0.0829161241925329,0,0
