,date,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600276.SH,X000063.SZ,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X002236.SZ,X000100.SZ,X002475.SZ,X601877.SH,X000568.SZ,X300124.SZ
278,2015-12-01,0.0221602262910804,0.0170736798411165,0.0249538109532621,0.0226485311732954,0.0239714969382029,0.0151340310738511,0.0202799383431066,0.0212438807558522,0.0184563161035507,0.0265913876278467,0.0220834523597059,0.0290951226920499,0.0361838834196409,0.0286189202081542,0.0262887701358782,0.0241409662329625,0.0275825069756253,0.0224659395572034,0.022320146978603,0.030830865671553,0.0404395112771326,0.0215847237764793,0.0346897548919769
279,2015-12-02,0.0224588684054941,0.0171093673797178,0.0245133308493407,0.0225004012094741,0.0238208205254754,0.0151345451093068,0.020383978900039,0.0214139087517354,0.0187181875739276,0.0255014732666585,0.0216034148238823,0.0291532527083902,0.0351168060724076,0.0279422234651365,0.0264104369429233,0.0237955047447054,0.0278017012954081,0.0221354991224712,0.0223118087265185,0.0308570474400063,0.0398304362213538,0.0214698015712049,0.0337415482874999
280,2015-12-03,0.0213639726775913,0.0167272770468768,0.0242839896542116,0.0220938490306289,0.0237961306512493,0.0150279012264654,0.0201994734428565,0.0208037431848152,0.0180114005830227,0.0253298251787143,0.0208997094793823,0.0291510380163226,0.0351794770780333,0.0278647309654656,0.0262392646550155,0.022981363325865,0.0273089453014619,0.0219446035881504,0.0216405376457715,0.0305275711687213,0.0374671522136391,0.0214488082530162,0.0337584960626913
281,2015-12-04,0.021280311437984,0.016726768582224,0.0240314120186867,0.021929286428745,0.0236051352140185,0.0149010739177484,0.0201827870402792,0.0204136293146818,0.0172492528839744,0.0249243459167514,0.0207351906778673,0.0289233564692536,0.0347314162754445,0.0271489236192255,0.0257671368179446,0.0222220988741098,0.0266537733746369,0.0215895303647083,0.0214689679455059,0.030528192673308,0.0403649052024156,0.0209907391175361,0.033764848595172
282,2015-12-07,0.021388915818262,0.016501572397746,0.0237047409652456,0.0214540799297799,0.0234427650583425,0.0146329755933759,0.0198205170019807,0.0203879776295703,0.017352564118287,0.0249471410056105,0.0207816344345094,0.0287491108682477,0.034733058515229,0.0271826679373553,0.0257188267747229,0.0220572848278629,0.0266928456531805,0.0213967861503127,0.0213107297383634,0.0306359710600148,0.0371079166967297,0.0207013750103217,0.033550688317745
283,2015-12-08,0.0214038423691002,0.0160857041718907,0.0233276586867484,0.02027015792133,0.0232958783948779,0.0142353392893369,0.0195106191464607,0.0204383714701106,0.0171774092181422,0.0244098805110292,0.0202967039758846,0.027795372882955,0.0340818250471914,0.0265147225184889,0.0260573687571939,0.0218175365569823,0.0263786164233871,0.0211655023710287,0.0210992607796462,0.0302879075084369,0.034386734339765,0.0197976524852384,0.0325191271453501
284,2015-12-09,0.0215463475128951,0.0160122162790773,0.0233250050643822,0.0197534775288516,0.0230770779990535,0.0139302321434866,0.0194835073398413,0.0205452633750963,0.017297438113336,0.0240516378293016,0.020295251317865,0.0266034009412242,0.0339441307850969,0.0256672784324324,0.0250792680735803,0.0216573852480839,0.0263100969144981,0.0207438000255436,0.0210332752227148,0.0303318301829752,0.0321729499152627,0.0196975742817679,0.0323979036321142
285,2015-12-10,0.0196857855675659,0.0149749618212322,0.0230239490437429,0.01970205220261,0.0230550197246576,0.0124932903656839,0.018360367339023,0.0200097114509488,0.0172024957938263,0.0235820393126391,0.0194147477810277,0.0264410817134467,0.0337064629808736,0.0253988319793048,0.0250145126687549,0.0213924543594882,0.0252507771760772,0.0204660951086026,0.0209802838524638,0.0297428055733705,0.0307249056774612,0.0193070084750859,0.032095602527036
286,2015-12-11,0.0196405155738503,0.0149771989278203,0.0229600792905461,0.0195788945330345,0.0228329988984781,0.0123948901918037,0.0183817114049706,0.01991595837976,0.0170250177472421,0.0235028777056012,0.0194292766838278,0.0262611422030733,0.033467278437992,0.0253287488106975,0.0249483679580366,0.0213295677661824,0.0252460268266818,0.0204384738284253,0.0207456230383387,0.0297138466347611,0.0295822295106062,0.0192089682566209,0.0317308520866749
287,2015-12-14,0.019549391061359,0.0149145229389912,0.023026829981078,0.0194675652599269,0.0226402764510695,0.0123603915637125,0.0184619911478382,0.0200642151647445,0.0169682465796624,0.0235646342370741,0.0194325565663015,0.0261382760082324,0.0333199256049362,0.0252310438384681,0.0247814200274326,0.0213645988430277,0.0252596038798397,0.020496659679579,0.0207187917404546,0.0298237383490165,0.0282282831961943,0.0192157073742147,0.031692001998789
288,2015-12-15,0.0187333014730557,0.0146599959388915,0.0223790062116369,0.0190272167225628,0.022555953482549,0.0121994023468185,0.0180879812352829,0.0199426953519109,0.0168601772482466,0.0233767020024646,0.0188682154121345,0.0259325831510342,0.0329647591407767,0.0249125807202477,0.0246215571811176,0.0207638036134446,0.0249073529995139,0.0199554764009055,0.0203495505520831,0.0294633850897908,0.0273029927323183,0.0187226019985609,0.0311568757558642
289,2015-12-16,0.0185958818916367,0.0142441890512267,0.0222577706789453,0.0189946415631931,0.0221471509220406,0.0121511453415983,0.0179103898563502,0.0199148485637077,0.0166676953839972,0.0233075317503572,0.0187253586940324,0.0259251385783017,0.0329804722532612,0.0248482166350453,0.024575453943778,0.0205683737455495,0.0245946791628786,0.0198060484679038,0.0202808753070768,0.0293301730744914,0.0262710963328041,0.0186368876993251,0.0303311231740431
290,2015-12-17,0.016758399097079,0.0141263368722781,0.0205632651668347,0.0176239264911857,0.0198160923872428,0.0115945228042763,0.0173616586291119,0.0194503597403277,0.0163888823463568,0.0225577743002939,0.0175392627626723,0.024293860545639,0.0309264477897803,0.0233343689328338,0.0241440686253999,0.0206288790149567,0.0224517533582959,0.0182367109103997,0.0200374422172294,0.0274301919620378,0.0253267919035122,0.0179734756389173,0.0288215658258688
291,2015-12-18,0.015586704085497,0.0133686693539001,0.019241477190768,0.0163114827162637,0.0177265929249123,0.0113475160194455,0.0163094707137329,0.0181192697529434,0.0153646916975439,0.0209456083018777,0.0154670543035671,0.0217938247601561,0.0289248331381734,0.0212370681530268,0.021572769157538,0.0187969914193291,0.0212441129548904,0.0173142127611731,0.0179884483788442,0.0273011818875435,0.0245919808114183,0.0167987820774213,0.0271610604225709
292,2015-12-21,0.0147721825767869,0.0131160940674921,0.0179609143245061,0.0156465746017966,0.0170341796013708,0.0112683181437169,0.0167032829435157,0.0173897972565131,0.0149549035196188,0.0204145119220084,0.0146020032771216,0.0208260667413953,0.0279930718760071,0.0194764971984663,0.0203802035212065,0.018310841813628,0.0201234138866052,0.0165444682281226,0.0175029027965705,0.0268827352905921,0.0239458820454337,0.0164055603701575,0.0268470275376678
293,2015-12-22,0.0141392542504125,0.0122613470404474,0.0171533769083513,0.0152681273208207,0.0171934801710926,0.00990883805434833,0.0158791689649493,0.0169806608079502,0.0147059331977467,0.0200038802789366,0.0137866411725364,0.020414367082584,0.0280208425273976,0.0191646020260317,0.0199096177224108,0.0174034453812675,0.018959910396214,0.0160228733895948,0.0167596942967536,0.0266133546698053,0.0239740872853045,0.015849271430838,0.0267179980835853
294,2015-12-23,0.0138972648713056,0.0120576000169166,0.0171141242768193,0.0152776291290706,0.0171910398294673,0.0100300068200393,0.0157908840929431,0.0170124978475774,0.0146573104966214,0.0199994940713659,0.0136182861492971,0.0204043426579772,0.0280486779223643,0.0191826314406607,0.0198551972331279,0.0174653866333069,0.0188735143752972,0.0160351493267408,0.0168042409747154,0.0266056726578382,0.0236116002452259,0.0158159533295816,0.0267038515675881
295,2015-12-24,0.0139021561536118,0.0120516190556187,0.0170886028139855,0.0153559410532312,0.0171459188209332,0.0100462874709925,0.0157675849145447,0.0169768282608158,0.0146710800058881,0.0197118143683754,0.0136706328153246,0.0200662003438654,0.0280045866213842,0.0189754323379923,0.019868508086407,0.0174176509727959,0.0188765541368631,0.016011387176872,0.0168431399703387,0.0265870314907574,0.023267281768273,0.0158410048637288,0.0265282376347378
296,2015-12-25,0.0139055076886226,0.0118086752682244,0.0170952637607516,0.0153437104071631,0.0171601553736415,0.0100794256650783,0.0155904318010097,0.0169401773670114,0.0147022387278904,0.0196066974778575,0.013646319716912,0.0200614722361323,0.027630708317958,0.0188801729083625,0.0198836396928537,0.0173909788657764,0.0188763105690826,0.0159175112635066,0.0168511911487769,0.0262590436867579,0.0232679910101328,0.0157815144209398,0.0265460347939406
297,2015-12-28,0.0133065017637597,0.0108729149947402,0.0170452065816211,0.0149583710021305,0.0172034326105062,0.00965192719049037,0.0147910829931618,0.0166488404053344,0.0143452617171218,0.0195752695309129,0.0125994350240901,0.0198821924715222,0.0273894957994199,0.0184913575365298,0.0193741928734514,0.0170121203238442,0.018217706512133,0.0159924557357943,0.0165771919027761,0.0260770978732987,0.0238592750072195,0.0156499178329696,0.0264971216797373
298,2015-12-29,0.0132214586922683,0.0108688197433255,0.0170406983973646,0.0149554323261981,0.0172159076247993,0.00965538986233871,0.0147422247885045,0.016784476041516,0.0143547291059452,0.019553518574521,0.0126063815894694,0.0198889296624342,0.0273121994328862,0.0184591681459249,0.0193794710735914,0.0168628367706295,0.0182126196153507,0.0159866524631478,0.0165112448571487,0.0260970327053982,0.0236300456081381,0.0154926263428768,0.026481341481204
299,2015-12-30,0.0130617963924943,0.0100530826521805,0.0161738227645871,0.0148244360687956,0.016064975982171,0.00972131486300298,0.0137525434712947,0.016194056663517,0.0140548740136356,0.0190845927852228,0.0122410021851847,0.0193666490055468,0.0264292828073271,0.0177123478437716,0.0189524178012073,0.016249596299574,0.0178039717465765,0.0157007094841176,0.0160529731363105,0.025935295953904,0.0237248498130202,0.0150319947215176,0.0263631144809211
300,2015-12-31,0.0128663003691602,0.0100568235380957,0.016233969772691,0.0148425927435453,0.0160776812845942,0.00981739264406293,0.0137646436344167,0.0162557651727081,0.0141728440834478,0.0191437183030348,0.0122409332856627,0.019463236381638,0.0265097531405609,0.0178532147643762,0.0189892253213815,0.0164030318784494,0.0177939948666218,0.0157357262890966,0.0161737333087589,0.0259390914738841,0.0236647684820001,0.0150867594539314,0.0264139242076624
301,2016-01-04,0.0137089921942339,0.0101274567294287,0.0175025470807355,0.0180843783585858,0.0181964072709112,0.0119574943515107,0.0153481421894705,0.0186706185478287,0.0141233021616515,0.0211551974180634,0.0108660870841922,0.0213421881057884,0.027737605446243,0.019293198097357,0.0199799747506692,0.0171810984537759,0.0191785667085517,0.0172640165981702,0.0181079756651936,0.0263418072536049,0.0259216649646881,0.0163817475164051,0.028501196773949
302,2016-01-05,0.0134175689502062,0.0101035999967343,0.0174255208266167,0.018301765182481,0.018224842006582,0.0122503194373432,0.0154149344795795,0.0187088516111297,0.014259783551459,0.0211732159732593,0.0108850417473841,0.021333429125745,0.0277047778913071,0.0192654637767172,0.0199938958837143,0.017197619817361,0.0188932542811531,0.017127220703402,0.0181187265841514,0.0264223481133363,0.0275934416240702,0.0163775002485794,0.0285173222704949
303,2016-01-06,0.0130495630155211,0.0101357706031365,0.017160174153188,0.0180938978348832,0.0183023573778708,0.0121851050558129,0.0150789145631055,0.018674446233051,0.0141066769307179,0.0205070719676688,0.0109155290315639,0.021189993392239,0.027424415807581,0.0190085063306854,0.0199098047143857,0.0168051916800425,0.018487045462178,0.0162250950360807,0.0177127787713378,0.0260259332371348,0.0277379922764388,0.0159700371226212,0.028332749214644
304,2016-01-07,0.0143299429140745,0.0110860774448938,0.0185423839166059,0.0202068617908677,0.020282036178534,0.0134433153916512,0.0171016123001523,0.0202464674471266,0.0146680935610187,0.0229342632348401,0.0106951531141051,0.0231447081877424,0.0291824955574146,0.0209478855147523,0.0215120774251327,0.0178735141632467,0.0199348146786956,0.0175780835114201,0.0194896947674408,0.026703228291873,0.0298362922600991,0.0180139074008213,0.0304967906010142
305,2016-01-08,0.014263861309808,0.0111045374933916,0.0184623857879085,0.0197451275161826,0.0203520765774865,0.0133336205496907,0.0167378658638854,0.0202302515654384,0.0145619351802061,0.0225682723780318,0.0107146350327388,0.023006685287055,0.0291719704228874,0.0205604058269672,0.0208862666131929,0.0175632044413555,0.0193884605732749,0.0173214590343406,0.0191684049166765,0.0262174898818336,0.0293554728631177,0.0171831273561549,0.0303182204674154
306,2016-01-11,0.0148187955420801,0.0116094697657421,0.0193603048561586,0.0205739041411273,0.0208361036934554,0.0152611175352925,0.0174904303915343,0.021363337492219,0.0149396399076895,0.0236163845999978,0.0103080450320363,0.0242735766577117,0.0300012990721039,0.0215012400273751,0.0216220461785006,0.0199992413887233,0.0204859702897681,0.0181926506703874,0.0204134412666672,0.0268030993120228,0.0310513390391579,0.0181159439920754,0.0310759391479944
307,2016-01-12,0.0147934613157456,0.0115678072547945,0.0190065233879576,0.0205530227009664,0.0208835805822537,0.0152598071679115,0.0175081766437027,0.0212820973065386,0.014666467977847,0.0235872886180296,0.00870311161107323,0.0241556909545251,0.0295398111323909,0.0214503009293232,0.0212091072689283,0.0199736836725374,0.0201110708974967,0.0182016655516204,0.0201057665330297,0.0267952171321724,0.030684837703122,0.0179422547909997,0.0313123796547649
308,2016-01-13,0.0146491955889907,0.01159484478125,0.0190818975214052,0.0201455525548671,0.0211970253881575,0.0155336903741856,0.0173385606577961,0.0212903377076092,0.0146934340711202,0.0235406399573947,0.00865671607846676,0.0240266374702108,0.0298670648076741,0.0210731799074117,0.0213312208835547,0.0198732085500617,0.0200420339383525,0.0174415739946296,0.0201328003900938,0.02556544377484,0.0306692858123341,0.0179861001850418,0.0308532285766194
309,2016-01-14,0.0149007074835043,0.0116133039359061,0.0193255637302926,0.0204289286303422,0.0215833167149614,0.0156886795645706,0.0175823447465922,0.0215374986712913,0.0148382986887807,0.0237168102077215,0.00834934373423671,0.0242076990934999,0.0302515457771722,0.021363744604166,0.0215247928135953,0.0201496878354569,0.0203141794721502,0.0178010202540472,0.0202157190776616,0.0254164749625366,0.0314229148612584,0.0181657631997754,0.031632749576557
310,2016-01-15,0.015113451245765,0.0117869252282521,0.0198748993585385,0.0206342728002314,0.0217785349524095,0.0156806421542351,0.0178053255675316,0.0216663145882891,0.0149118564969751,0.0240816419556704,0.00839400320610159,0.0245514644237204,0.0304297067096738,0.0217100373238667,0.0221772476025725,0.0205326263584354,0.0203883752279011,0.0183000406408912,0.020644779749783,0.0253732157421118,0.0311102546130274,0.0185471648923435,0.0317602718155439
311,2016-01-18,0.015124064226036,0.0118031055312478,0.019867479924797,0.0206296009534781,0.0219812767557204,0.0156087504826228,0.0178189172473066,0.0218437032816164,0.0148677708518604,0.0240133685772004,0.0083555501669811,0.0245301944590785,0.0304495586307331,0.0217714132840062,0.0221463658842173,0.0206292436443249,0.0203783448871211,0.0182661443925023,0.0206255283713295,0.0253883810118823,0.0312175756901563,0.0185523580585741,0.0320293429958935
312,2016-01-19,0.0138372901445439,0.011942163555297,0.0193841423063121,0.0203660143221167,0.022065892556254,0.0156383028124724,0.0179369340127937,0.0211364654027939,0.0144877934019983,0.0231124688311763,0.00679651441630103,0.0234231884939092,0.028265853615428,0.0209140708468264,0.0211278933381888,0.0203862877226483,0.019513127580736,0.0179092686483763,0.0199913316689664,0.0231157817834109,0.0311669162855061,0.0179878092183193,0.0313490253629578
313,2016-01-20,0.0140216030689302,0.0118780183651632,0.01923528447581,0.0203909343368329,0.0221670584470188,0.0156040675461609,0.0182075628702144,0.0211210173996281,0.0139298758455046,0.0226754847323809,0.00683270675163522,0.0232568938935652,0.027360303617223,0.0205919334931218,0.0208743722557024,0.0199306115566744,0.0194876323737271,0.0170129505102287,0.0199191485167761,0.0223810393532562,0.0307448322743321,0.0177862201778239,0.0308479462019374
314,2016-01-21,0.014174333325368,0.0116773828997381,0.0190859348189434,0.0202606321711062,0.0222679193717429,0.0161113873662969,0.018566475403723,0.0212062998741115,0.0138262353830086,0.0226922555237632,0.00689300597005821,0.0234048574309814,0.0275390877730032,0.0208102188447063,0.0209011284572871,0.0202314868131778,0.0197057834892771,0.0162747891309861,0.0198894203178379,0.0214636802458921,0.0313435324772081,0.0177874447636865,0.0303328263966181
315,2016-01-22,0.0141187371280558,0.0113534443968246,0.0191352317937974,0.0202841803024864,0.0222423118360729,0.0161153142652221,0.0185733323067637,0.0213326127611842,0.0138838463976909,0.0224021226208388,0.00694631202000175,0.0232500070183826,0.0276216852793837,0.0207504376712489,0.0206488690331996,0.0201437773188973,0.0197178543704142,0.0163307686540799,0.0199378446690229,0.0214750480647306,0.0309635999160863,0.0178524049200404,0.0300524935235259
316,2016-01-25,0.0141933870773359,0.0114003792818303,0.0191699205563218,0.0203079866888581,0.0222610086997941,0.0161124473056443,0.0185779507884399,0.0213625321871257,0.013887961028935,0.0223854362187915,0.00687306933184906,0.0232711951601496,0.0276313165934443,0.0207699925075811,0.0206605382000276,0.0198879003212099,0.0197073214581612,0.0162514687550972,0.0199641178430812,0.0211279482669597,0.0314453005807258,0.0178294489292817,0.0300207962600521
317,2016-01-26,0.0148583783878986,0.0117159742865829,0.02130740627744,0.0218458537216318,0.0228941877428087,0.0163381171746187,0.0193141584296037,0.022260963174265,0.013834797580196,0.0238989436456484,0.00650984214689023,0.0247708682201995,0.0287323729200709,0.0217146009055886,0.022407041280139,0.0214656563253547,0.0208120761494446,0.0190848284800024,0.0212801972697079,0.0208615825845353,0.0324000486648181,0.0189492842196012,0.0316107881293269
318,2016-01-27,0.0147094563494288,0.0115280904242417,0.0213688504301373,0.0216939325751703,0.0228805722871815,0.0161829891949754,0.0192776071792667,0.0222325352209491,0.0137878970152605,0.023897543438699,0.00604568636903322,0.0247189323729603,0.0287466567987741,0.0216658423559489,0.0223224781140921,0.0214950216920984,0.0207811813641922,0.0199920794781131,0.0213475783452804,0.020863110552633,0.0324000486648181,0.0187904978164351,0.0316050855701105
319,2016-01-28,0.0147645620381608,0.0115526835304946,0.0217893354800593,0.0217767805539273,0.0228946219635992,0.016133133115244,0.0194520008290656,0.0224224020775266,0.0137872471339836,0.0241561663169915,0.00538883469785719,0.0250537958059191,0.0288506424159516,0.022852937012287,0.0225366661467425,0.0221182060013088,0.0209037559990273,0.0208363436890008,0.0219014295334179,0.0210745987769232,0.0327789691914941,0.0192243997569722,0.0317664181767368
320,2016-01-29,0.0149324036043936,0.0116141662273791,0.0218952133434186,0.0221573027082302,0.0230380843803701,0.0162175396191917,0.0197154870492033,0.0226735996450002,0.0139223061154188,0.024100655947576,0.00474405246672703,0.0253026581018163,0.0290293217758704,0.022817220729534,0.0227265001506116,0.0223167714498583,0.0213195134184841,0.0214370290212296,0.0219300887429096,0.0210568113658887,0.0333435318255581,0.0193074627154091,0.0323502482295194
321,2016-02-01,0.0149242043946439,0.0116174958453332,0.021992460347962,0.0221372177022434,0.0229570487181033,0.0162289339725317,0.0196734909030747,0.0225886896880347,0.013833103907079,0.0241072012854288,0.00421355687257587,0.0254604458531658,0.0290426712256932,0.0230584769565347,0.0228665092021534,0.0223193706240857,0.0213139461218758,0.0214242696881781,0.0220229503035866,0.021052456024952,0.03315483510076,0.019281335690141,0.0323559452797351
322,2016-02-02,0.0148695055934951,0.0115268162847584,0.021293249021929,0.0220358642217636,0.02307590218913,0.0163150278901171,0.0192305204659733,0.0225488147352282,0.0137895450982211,0.023583996108961,0.00771628591324233,0.0253806793350161,0.0286631506315868,0.0223601861749355,0.0227485436122681,0.0218523322245082,0.0208539529429224,0.0212077930292385,0.0214616297654428,0.0193502461698315,0.0339884104423633,0.0185781156029033,0.0321952044375275
323,2016-02-03,0.0148793385380277,0.0114283736188238,0.0211774607858545,0.0220226438419191,0.0230143574383482,0.0162067514815822,0.0192549581821545,0.0225362340478028,0.0138092990974275,0.0235054521325578,0.00860547772690368,0.0253585311463249,0.0286573346666899,0.0223962339201584,0.0227436863694812,0.0218147798343508,0.0208406112695275,0.0212709604404669,0.0214404319256211,0.0193515629262121,0.0339445033790498,0.0185627136365755,0.0322615410788033
324,2016-02-04,0.0148160460869902,0.0114245916776049,0.0209286145682665,0.021934377729653,0.0228904980705437,0.0161307327036016,0.0190019159151651,0.0222493012578225,0.0138403262006352,0.0233062384918945,0.0104686542771696,0.0253656092763524,0.0285772495859754,0.0220867795716904,0.022723000188483,0.021353216047613,0.0204623894996987,0.0211478171333808,0.0210305503006893,0.0190598548299498,0.0341846951851821,0.0183884251552776,0.0323703015359119
325,2016-02-05,0.014863160165747,0.0114214873881068,0.0208632947486752,0.0216811247827544,0.0228252272092888,0.0160401464033072,0.0189442668195219,0.0221922203370684,0.0138613420123193,0.023295753896488,0.0107692036243879,0.0252511803491763,0.0285029354410341,0.0220308129975339,0.0226744688274559,0.02132889765905,0.0205318332295238,0.0211075788446,0.0210348627076101,0.0191331490971102,0.0340234035579183,0.0183063519998873,0.0322449887323712
326,2016-02-15,0.0148475400121947,0.0112094810491245,0.0208709366974087,0.0216372077612863,0.022794378658937,0.0160161149127244,0.0189520374236363,0.0222030805678516,0.0133065738029084,0.0233027068250733,0.0116240788097338,0.0252319398647823,0.0287504675499906,0.0220215202358558,0.02267578905694,0.0213523787123922,0.02052824669102,0.0210688319703898,0.021071747356895,0.01907071446345,0.0337734464349115,0.018297609731963,0.0323233153834485
327,2016-02-16,0.0149401858955965,0.011190036545856,0.0211600386808342,0.0222013841866994,0.0233459619048273,0.016341922239718,0.0192688863459678,0.0223819028370528,0.0129237196957056,0.0236301684433487,0.0129012125532265,0.0256254927970399,0.0288270927883255,0.0223251677237025,0.0227635411878773,0.021895891884935,0.0206267589666681,0.0216301910006246,0.0212096209553503,0.019463274854188,0.0352228660365205,0.0184287332720897,0.0329366098755894
328,2016-02-17,0.0149318601656544,0.0111417850659907,0.0212075462557303,0.0221595037332759,0.0234003022143626,0.0163563246027804,0.0192688114709847,0.0224094361978516,0.0129258604029551,0.0237915621605093,0.0132620562548152,0.0256868462521176,0.0288461519266863,0.0224308434113932,0.0227668606530611,0.0220306877813031,0.0206331646954661,0.021722711337021,0.0212189640985068,0.0194405221669429,0.0354064255211557,0.0185527207366661,0.0330519356994146
329,2016-02-18,0.0151144811516595,0.01110090579754,0.0212036050025327,0.0220944392365749,0.0234443555986346,0.0163539954940546,0.0192022727334034,0.0223372974030522,0.0128156200977164,0.0238021328545253,0.0139592263319241,0.0256772111665251,0.028660801780712,0.0224678015034143,0.0234802458035338,0.0220076486536655,0.0206777060215927,0.021817764601732,0.0212434096633385,0.0193869104331468,0.0352427643411681,0.0185700978714697,0.0330546629633798
330,2016-02-19,0.0151657626847461,0.0110720932693221,0.0210715540136077,0.0220199111269531,0.0231762573218928,0.0163515169517275,0.0190866847687424,0.0223274209783117,0.0127867561141873,0.023585690466876,0.0143543440233125,0.0254941696419538,0.0275972694246714,0.0220130620648763,0.0232740613399006,0.0216522950362405,0.020570084910117,0.0218234497424805,0.0210086499855795,0.0191179867127611,0.0351275043678583,0.0184801936104765,0.0329998857646939
331,2016-02-22,0.0154568373475969,0.0112183715265921,0.021217817194259,0.0220626120373333,0.0233136379526513,0.016935207766763,0.0191368569105469,0.0223747855222781,0.012755391938364,0.024008964875004,0.0163727496899634,0.0256473025408046,0.0278864533113247,0.0222332298409676,0.0233119058878706,0.0220277621520211,0.0209455218355534,0.0219385521691507,0.0212299355573703,0.0193552168759062,0.0352878313353225,0.0186627353097471,0.0327934646842934
332,2016-02-23,0.0154636184524883,0.0112251522712181,0.0212522017003929,0.0219800988571502,0.0233680073538854,0.0169345894002677,0.0189728035751515,0.0223621191544731,0.0125119301376151,0.0239968376038097,0.0167628155725234,0.0256320044753822,0.0278853953688322,0.0222248375892816,0.0233467775574478,0.0220048211601299,0.0208725097016695,0.0219713348944025,0.0212777747451051,0.0189328031652692,0.0349663696761227,0.018627245218678,0.0321979662655259
333,2016-02-24,0.0154295246935151,0.0111844865586052,0.0205966525104929,0.02159850133499,0.0231181430507336,0.0169355745122632,0.0188386871610761,0.0222861242107372,0.0124323315365714,0.0238804335776087,0.0172503341746318,0.0255256849154527,0.0271754213361492,0.0219883126251628,0.0231062677385472,0.0218539638181329,0.0205668006027003,0.02188185333213,0.020883652786942,0.0188693897545377,0.0346661824509753,0.0182758886697255,0.0319725222994117
334,2016-02-25,0.0162266945058845,0.0113403059307801,0.0221714485586517,0.0223084160727828,0.0242457671017812,0.0175020103351921,0.0194306243461002,0.0236441786328305,0.0125276505024944,0.0252510145369734,0.0190976944003771,0.0270421971807018,0.0288466632895222,0.0238152187944139,0.0244100528243668,0.0226111575922383,0.0215667816468087,0.0223757382810631,0.0216655758717034,0.0201540316687345,0.0350292888821473,0.0195225203794936,0.0334969885815465
335,2016-02-26,0.016314862052108,0.0116412936132881,0.0222632473352013,0.0223098759113246,0.0242553587533236,0.0175146962465324,0.0194242031752751,0.0236890824859818,0.0125601683262208,0.0255699359066833,0.0213385694765761,0.0270571902813967,0.0287583772254462,0.0239484947670682,0.0244372506008412,0.0227744839801972,0.0215896372594676,0.0223544562083771,0.0216630606309131,0.0192743984657522,0.0347446406429699,0.0195266872095583,0.0329337796212773
336,2016-02-29,0.0164619469074473,0.0116443732516815,0.0225848326402051,0.0224395033760201,0.0246922890408796,0.0178730591968118,0.0196796811064512,0.0242458388846452,0.012664567908672,0.0259713891528727,0.0215413974359813,0.0271736913884148,0.0301866535681605,0.024217060530393,0.0245196912151171,0.0231772615152356,0.0216821974608239,0.0239808785942482,0.0223178274073515,0.0197049953923801,0.0355144168507624,0.0200194295274288,0.0333687598527592
337,2016-03-01,0.0165789786312889,0.012056596772632,0.0226698291762575,0.0224892223934433,0.0248857720959193,0.0180481398250597,0.0196147294792403,0.0243710103555144,0.0127112686316436,0.0259705547852971,0.0222645327022995,0.0272604786188716,0.0302153132826649,0.0243237863728182,0.0245912376250129,0.0232546843882129,0.0217473713686501,0.0238183645400245,0.0223062573333174,0.019935219693301,0.0352628125515754,0.0200485121340218,0.0334140047582083
338,2016-03-02,0.0167873145078679,0.0129035067675082,0.0233933388185257,0.022656388973804,0.0254062478776719,0.0185656117530497,0.0197884506052101,0.024931708765131,0.0127197292645215,0.0266572602017806,0.0224513315562142,0.0279983274955556,0.0305922756116697,0.0251473524393454,0.0253829906352733,0.0237045212652512,0.0223980970836306,0.0245103546958617,0.0227853979977759,0.0205620194718161,0.0350731801459572,0.0206492854784272,0.0332679754959107
339,2016-03-03,0.0164129178466743,0.0131108233848791,0.0229168572231262,0.0225321048445787,0.0246495158301856,0.0186300653648262,0.0192451058323862,0.0243101278322677,0.0120893734712047,0.0260058893193311,0.0230279004223053,0.0269658795819602,0.0295606358939587,0.0243604819084113,0.0245046473653416,0.0230298836843812,0.0217201074972775,0.0245084962844507,0.0223986622110302,0.0196467296141102,0.0347752134835624,0.0203854297759334,0.0323059652620146
340,2016-03-04,0.016424461373236,0.0138853351667058,0.0229472138807054,0.0225139789202692,0.0246660086509671,0.018641539949071,0.019236659541815,0.0243607773178937,0.0119724844227694,0.026078705673474,0.0230150461436367,0.0269796089810168,0.0304874952931337,0.0243603818529284,0.0245029230259612,0.0229816083942372,0.0217801491435742,0.0246919719406629,0.0222862215614014,0.0194602013366638,0.035231999229047,0.0204607572948523,0.0325093660080643
341,2016-03-07,0.0164436141634301,0.0139452133922376,0.0229783816118152,0.0225357366916534,0.0246837061050792,0.0188612390181571,0.0192360261687537,0.024376721468766,0.0117774332802944,0.0261576990431293,0.0235464367771348,0.0269749991502629,0.0306151915509353,0.0244908642874091,0.0245927701870825,0.0230961919609218,0.021726319673958,0.0247254493388842,0.0223790656431386,0.0195976181363064,0.0350875216573499,0.0204667739873072,0.0324574235339997
