,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600886.SH,X600585.SH,X600795.SH,X601898.SH,X601991.SH,X601600.SH,X600688.SH,X600027.SH,X002075.SZ,X600157.SH,X600188.SH,X600362.SH,X600111.SH,X000709.SZ,X000539.SZ,X601992.SH,X600583.SH,X000898.SZ,X600309.SH,X601158.SH,X000027.SZ,X000883.SZ,X000878.SZ,X600352.SH,X600660.SH,X600021.SH,X000792.SZ,X600863.SH,X002470.SZ,X600022.SH,X000629.SZ,X600578.SH,X600307.SH,X601918.SH,X600489.SH,X600098.SH,X000825.SZ,X600547.SH,X600808.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315145883823106,0,0,0,0.216072086151309,0,0,0,0,0,0,0,0,0,0,0,0.0754808769763648,0,0,0,0,0,0,0,0,0,0,0.0333763838475649,0,0,-0.0130489673647576,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.0545894804402342,0,0.198257225727524,0,0,0,0,0.0681320901574008,0,0,0,0,0,0.0902092144812945,0,0,0,0,0.153314803183071,0,0.0704239487742798,0,0,0,0,0,0,0,0,0,0,0,0.118528912421433,0,0,0,0,0,0,0,0,0,0,0,0,-0.00997869035731853,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161409783515016,0.0744552184512783,0,0,0,0,0,0,0,0,0,0,0,0.0500955835237213,0,0.0936267887551421,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026293465201252,0,0,0,0,0,0,0,0,0,0,0.180828898996661,0,0,0,0.0197620202669025,0.0149627590967082,0,0,0.120341450705807,0,0,0,0.334508902376977,0,0,0,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181889441840141,0,0,0,0,0,0,0,0,0,0,0,0,0.41148557280284,0.0776927667070421,0,0,0,0,0,0,0,0.0211274596456299,0,0,0,0.00199487301904317,0,0,0,0,0,0,0,0,-0.00687756776379017,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0.14501456582405,0,0,0,0,0,0,0,0,0,0,0,0.0341343363055053,0,0,0,0,0,0,0,0,0.22916471772758,0,0,0,0,0,0,0.0738969033647256,0,0,0,0,0,0.12097867974415,0,0,0.0115337610623766,0,0,0,0,0,0,0,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784875044767228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329705764189844,0,0,0,0,0.216871429736607,0,0.0398837318899128,0,0,0.19325377162086,0,0,0.0660767739505153,0,0,0,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00315370536855743,0,0,0,0,0,0,0,0,0,0,0,0.076438342851095,0,0,0.0276733618479179,0,0,0,0,0,0,0.0755797470169869,0,0.228365120034538,0,0,0,0.021422170686508,0,0.138595987648,0.0503393721192142,0,0.0159418387602488,0,0,0,0,0,0,0,0,0,0
X600578.SH,0,0,0,0.148403826701365,0,0,0,0,0,0.16942389138375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858944280433064,0.232628350447816,0,0,0,0,0,0,0,0,0,0.0412376975053525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038054751933944,0,0,0,0.00445105724439445,0,0,0,0.00822196127424149,0,0.281647600892212,0,0,0,0,0,0,-0.00229954784286848,0,0,0,0,0,0
X601918.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0153186074261366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105198932200146,0,0,0,0,0,0,0.0112245931163919,0,0,0,0,0.0240698513390745,0,0,0.0460536538489872,0,0,0,0,0,0.0065557306058566,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.250547973653155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403502605255979,0,0,0,0,0,0,0,0,0.220132779995045,0,0,0.000875445675200075,0,0,0,0,0,0,0,0,0,-0.00038653686629997,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0.0765778901491101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482129934914385,0.0350322076845712,0,0,0,0.0136081697207031,0,0,0,0,0.0535224614838349,0,0,0.135177195136396,0,0,0,0,0,0.132143878106173,0,0,-0.0264038127157104,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0.300148084068249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570041154096637,0.00630987361986033,0.0921434735418061,0,0,0,0.0432476975477017,0,0,0,0,0.105059176309149,0,0.0186144404680969,0,0.115741580088541,0.0570379924279952,0,0,0.073951336703268,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193321257197254,0,0,0,0,0,0,0,0.290326298591213,0,0,0,0,0.351627316886778,0,0,0,0,0,0,0,-0.00245295053025152,0,0,0,0,0,0
X600808.SH,0,0,0,0,0.000676464043122391,0,0,0,0,0,0,0,0,0,0,0,0,0.0593411988454713,0,0,0,0,0.00631153179474726,0,0,0,0,0,0,0,0,0,0,0.0700356575666892,0,0.0987732960108295,0.0413848789842958,0,0,0.106119974669014,0,0,0.132130400090638,0.02003505653732,0,0,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331662292269432,0,0,0,0,0,0,0,0,0,0,0,0,0.208866202091488,0,0,0.315380168947226,0,0,0,0,0,0,0,0,-0.0133497372696542,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,-0.0919872752481277,0,0,0,0,0,0,0,-0.233862652563435,0,0.134884683788451,0,0,0,0,0.057583055150356,0,0,0,0.287212186190694,0,0,0,0,-0.00373540218221188,0,0,0,-0.052486575121349,-0.0763402360716708,0,0,0,-0.031541008030151,0,0,0,-0.02162273147472,0.0055067412301829,0,0,0,0,0,0
Slope,0,0,0,0,-0.303209875220619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140408269390883,0.0556992043157791,0,0,0,0,0,0,0,0,0.931755861864618,0.0187174888033266,0,0,0,0,0
