,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X600688.SH,X601991.SH,X600362.SH,X002466.SZ,X600660.SH,X600547.SH,X600795.SH,X601992.SH,X300072.SZ,X002460.SZ,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000786.SZ,X600176.SH,X000792.SZ,X000553.SZ,X000709.SZ,X600352.SH,X000825.SZ,X600027.SH,X600299.SH,X600489.SH,X002271.SZ,X000408.SZ,X601158.SH,X601699.SH,X600219.SH,X002470.SZ,X000883.SZ,X600157.SH,X600583.SH,X600808.SH,X600315.SH,X000630.SZ,X600426.SH,X002408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601699.SH,0,0,0.441313175185512,0,0,0,0.0310475231515475,0,0.413074893692015,0,0,0,0.0185631041905935,0,0,0,0,0,0,0.015172665754429,0,0,0.00440165286349592,0,0,0,0,0,0,0,0.24189534973869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00402668587939411,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0218952354892856,0,0,0.0527725105721062,0,0,0.0226181773378999,0,0,0,0,0.104398294401145,0,0.0583059323684038,0.0817514477699098,0,0.00492384501116828,0.160631878481508,0,0,0.00965998482900872,0,0,0,0,0,0,0,0.0733984508659511,0,0.0471696236036665,0,0,0,0,0,0,0,0,0,0,0.00230514695130578,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,-0.26616604241247,0,-3.46944695195361e-18,0.101168926334859,0,0,0,0,0,0,0,0.0313920467029823,-0.0660971068581522,0,0,0,0,0.158831239295008,0,0,0,0,0.201876423175016,0.149766036271687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156966910499543,0.0365192558927764,-0.249723898335937,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0371759047305786,0,0,0.0403676752470034,0,0,0,0,0,0,0.115406614509417,0,0.0155231960660151,0.0146187973853798,0,0,0.040876403377672,0,0,0,0.101098054863697,0,0,0,0.13688941166738,0,0,0,0.0101909780974268,0,0.00801558401615247,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129433887285316,0,0,0,0,-0.00738501128727166,0.0714498710332182,0,0,0,0.032423183035087,0,0,0,-0.222679306938084,0,0,0,0,0,0,0,0,0,0,0,0.0414332221653971,0,0,-0.309448169272681,0.109390322749125,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.0017305627826275,0,0,0,0.254476611250437,0,0,0,0,0,0,0,0.277905863084932,0,0,0,0.0204810369600629,0.109251895762866,0.0897086198327141,0,0,0.0864930955206203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756600550427781,0,0,0,0,0,0.0168938069627832,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0.112190244906195,0.317212365113499,0,0,0,0,0,-0.0296605734654943,0,0.0593134883318148,0.0319720353025875,0,0,0,0,0.42277809952988,0,0,0,0,0,0,0.00374127546804913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01914891056139,0,0,0.02214030053463,0,0,0,0,0,0,0
X600315.SH,0,0,-0.0271609567479859,-0.114316921906548,0,0,0,0,0,0,0,0,0,0,0.149008365250488,0,0,0.0823629431867891,0,0.0163050853380682,0,0,0,0,0,0,0.115555854207443,0,0,0,0,0,0.0672286849550231,0.0155179541005347,0,0,0,0,0,0.0857638153138575,0,-0.259165821119936,0,0,0,0,0,0,0.237823518515239,-0.0768056436636791,8.67361737988404e-19,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0984989480874193,0,0,0,0,0,0,0,0.0527071342500318,0,0.00717329746774864,0,0,0,0.034145505165438,0.0171303199833591,0,0,0.0221034493554185,0,0,0,0,0,0,0,0.167358191606682,0,0,0,0.114973133490613,0,0,0,0,0,0,0.00567259806953377,0.00142423421156435,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244261358255033,0,0,0,0,0,0.0139957396699081,0.427122025988877,0,0,0,0.214115861542414,0,0,0,0,0,0,0,0,0,0,0,0.00617656886030767,0,0,0,0,0,0.103697761711898,0,0.048468894830043,0.0159907319354552,0,0,0,0,0,0
