,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600362.SH,X600011.SH,X601600.SH,X000786.SZ,X600886.SH,X600426.SH,X600176.SH,X601898.SH,X600010.SH,X002466.SZ,X000301.SZ,X600188.SH,X600801.SH,X600352.SH,X600111.SH,X600489.SH,X300037.SZ,X600795.SH,X601991.SH,X600486.SH,X600688.SH,X600803.SH,X002353.SZ,X002080.SZ,X600027.SH,X600299.SH,X600219.SH,X601992.SH,X601168.SH,X000932.SZ,X000898.SZ,X600529.SH,X002409.SZ,X600399.SH,X000630.SZ,X600315.SH,X000807.SZ,X000878.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0,0,0,0,0,0,0.0163409733240407,0,0,0.0790959774489749,0,0,0,0,0,0,0,0.186197011355545,0,0,0,0,0,0,0,0,0,0.0581280695538587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952882426506194,0,0,0,0,-0.0646422103678151,0.120575690609389,0,0,0,0.0119558346982212,0,0
X600362.SH,0,0,0,0,0,0,0.0277682630573935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191268942396951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146644301770391,0.359962866502414,0,0,0.0282412088577327,-0.0773486638099229,0,0,0,-0.0132604730093737,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.20194301662137,0,0,0,0.0208251282749321,0,0,0,0,0,0,0,0,0,0,0,0,0.0193454784642351,0,0,0,0,0,0,0,0,0,0,-0.0824505007541821,0,0,0.198790752959617,0.138933405436877,0,0,0,0,0,0,0,0,-0.00648482312702643,0,0,0,0.00301044359626076,0,0
X601600.SH,0,0,0,0,0,0.0609801708888878,0,0,0,0,0,0.121333550732249,0,0,0,0,0,0,0,0,0,0,0.00781181333874834,0,0,0.0698759300545091,0,0.0124591430463617,0,0,0,0,0,0,0,0,0,0.22077011099636,0,0,0,0,-0.012680133324916,0.0121161516156876,0,0,0,0.0914797202721927,0.153390456435253,0,0,0,0,0,0,0,-0.00916341579025988,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393165467608123,0,0,0,-0.0399828606586685,0,0,0,0,0,0,0,0,0,0,0,0.0246728866448714,0,0,0,0,0,0,0,0.149778709041701,0,0.15961658134877,0,0,0,0,0,0,0,0,0,-0.00376430970516142,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,-0.0737882281140741,0,0,0,0,0,0,0.214971170640549,0.049007961114618,0.225301819085444,0,0,0,0,0,0.00816539373349156,0,0,0,0,0,0,0,0,0,0.0410242016946789,0.14363377706348,0,0.0238705569035274,0,0,0,0,0,0.0014291828968893,-0.141937069421514,0,0,0,0,0,0,0,0,0,0,0.0332497683459059,-0.0294341614518544,0,0,0,-0.00426087529292466,0,0
X600426.SH,0,0,0,0,0.281927521507028,0,0,0,0,0,0,0,0,0,0.148144595594134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428263959853973,0,0,0,0,0.0748692991466477,0,0,-0.0145550674713301,0,0,0,0,0,0,0,0,0.00341821251389929,0.0144680822585785,0,0,0,0,0,0
X600176.SH,0,0,0,0.36314548993794,0,0,0,0.0623960716155367,0,0,0.192841658300025,0,-0.143949440163799,0,0,0,0,0,0,0,-0.0702757798967632,0,0,0,0,0,0,0.0689276624077012,0,0,0.097345990568837,0,0.0310723428802043,0.0479678514183135,0.245949199227844,0,0.177000136722063,0,0,0,0,0,0.0093162386347195,0,-0.0443040917331869,0,0,0,0.245865655789865,0,0,-3.46944695195361e-18,0.062418520824709,0,0,0,0.00462526864964414,0,0
X601898.SH,0,0,0.176707780852918,0,0.011147780285144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220757212392447,0,0,0,0,0,0,0,0,0,-0.0611334154942572,0,0,0,0,0.22106945233658,0,0,0,0,0.016889187956644,0,0,0,0,0,0,0,0,0.00537789775248822,0.0132948179433631,0,0,0,-0.000712179379360116,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497711101003604,0,0,0,0,0,0,0,0,0,0,0.0756141118484489,0,0,0,0,0.0804683125327978,0,0,0,0,0,0,0,-0.00130179879073595,0,0
X002466.SZ,0,0,0,0,0,0,0.341531871855484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287554999190338,0.0592691029977841,0,0,0,0,0,-0.438947089732332,0,0,0.381907007224264,0,0,0,0,0,-0.121850691748833,0,0,-0.688827469203604,0.0682392389056517,-0.0765605819830584,0,0.291154494110296,0,0,0,0,0,0,0,0,0
