,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600660.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600547.SH,X600362.SH,X600011.SH,X600176.SH,X600426.SH,X600219.SH,X600886.SH,X000786.SZ,X000408.SZ,X600399.SH,X000723.SZ,X600803.SH,X000932.SZ,X000831.SZ,X000959.SZ,X601991.SH,X000825.SZ,X600795.SH,X002080.SZ,X000898.SZ,X000807.SZ,X300037.SZ,X002409.SZ,X600801.SH,X600352.SH,X600489.SH,X002145.SZ,X600808.SH,X000630.SZ,X600486.SH,X601699.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600426.SH,0,0,0,0.267216422792787,0,0,0,0,0,0,0,0,0.102506799543111,0,0,0,0,0,0,0.145668149011588,0,0,0,0,0,0.14408626393484,0.0717787452153738,0.0817649879329383,0,0,0,-0.0893463795185911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049262943457856,-0.000624709389395346,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,-0.00946394029921894,0,0,0,0,0,0,0,0,0.110247569272742,0.338702313471695,0,0,0,0.0855252520123448,0,0,0.0399403874561028,0,0,0,0.105792516946152,0,0,0,0,0,0.012443067300699,0,0,0,0,0,0.0964773856372831,0.0202007230932612,0,0,0,0,-0.051390892054096,0,0,0,0,0,0,0.020165660964127,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0316907215066261,0,0,0,0,0,0,0,0,0.0804498322759474,0,0,0,0.115918936479562,-0.0843553931662078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505969848891791,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0.19253451083413,0,0,0.1611177189605,0,0,0,0,0,0,-0.0312058499243659,0,0,0,0.0215572521110372,0.131053149863309,0,0,0,-0.047656520884463,-0.0784553619977603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211187276713068,0,0,0,0,0,0,0,0,0,0,-0.0172413949699659,0,0,0,0,0,0
X000408.SZ,-0.124237183063402,0,0,0,0,0,0,0,0.723351945800468,0,0,0,0,0,0.0157465220791162,0,-0.166129753720651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555075678894102,0,0,0,0.0255579758070777,0,0,0,0,0,0
X600399.SH,0,0,0,0,0,-0.0815321611956029,0,0,0.200611070226093,0,0,0,0,0,0,0,0.206000520038958,0,0,0,0,0,0.0411577011547934,-0.00853559427536958,0,0,0.0204459445531918,0,0,0,0,-0.0302546934797933,0,0,-0.0684436389195708,0,0,0,0,-0.104227445501766,0.148845964179734,0.177322054866285,0,0,0,0,0,-0.0117506326019165,0.0442303908124308,0,0,0.067149018322433,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0.248253441888017,0,0,0,0,0,0,0,0,0,0,0,0,0.0327218997703347,0,0,0,0,0,0,0,0,0,0.0516997578619461,0,0,0,0,0.0694673586586466,0,0,0.0875790064396223,0,0,0,0.197560329452499,0,-0.0324309927812001,0,0,0,0,0,0,0.108606260318009,0,0.0256426302349143,0,0.0925389493295024,0.052675971552576,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0.049778595343452,-0.0523644087521179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392320271609719,-0.0229948358961861,0,0,0,0,0,0,0,0,-0.027825540503131,0,0.0489014794951643,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0552344114241264,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0.0959944497513759,0,0,0.0496054529763946,0,0,0,0.0159545149778543,0,0,0,0,0,0.102486446662563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0446469999929409,0,0,0.261120428061783,0.0326136421295648,0,0,0,0,0,0,0.156626762828271,0,0,0,0,0,0,0,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0.34078119056936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344000516415343,0.0900543283568492,0.13248663006404,0,0,0,0,0,0,0,0,0,0,0.169627395010958,0,0,0,0,0,0.125174057014451,0,0,0,0,0,0,0.0528479820090713,-0.0989749597684527,0,0,0,0,0,0
