,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600010.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X600352.SH,X600489.SH,X000883.SZ,X000539.SZ,X600547.SH,X000630.SZ,X000831.SZ,X000629.SZ,X002353.SZ,X000027.SZ,X000825.SZ,X600808.SH,X600549.SH,X600578.SH,X000983.SZ,X601699.SH,X600008.SH,X600863.SH,X600660.SH,X600307.SH,X600315.SH,X600348.SH,X000937.SZ,X600098.SH,X601168.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000539.SZ,0,0,0,0,0,0,0,0,0.00953239365022535,0,0,0,0,0,0,0,0,0,0,0,0.0711871070424165,0,0,0,0,0,0,0,0,0,0,0,0,0.0382519468182432,0,0.0607760751956208,0,0,0,0,0,0,0,0,0,0,0,0.0206903594234041,0,0,0,-6.7762635780344e-21,-0.0412725353431448,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.305228070242486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036036596216588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191289828920159,0,0,0,0,0,0,0,0,0,-0.0258968124851322,-0.0251855091368471,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0.118228352762899,0,0,0,0,0.0253352588361227,0,0,0,0,0,0,0,0.0645099793709691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.148011767899726,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0876946131228387,0.130750378823206,0,0,0,0.113819374886211,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0.144852127491136,0,0,0.0940196920277774,0,0.117572981102898,0.229980945488093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163009106752381,0,0,0,0,0,0,-0.00640896497980871,0,0,0,0,0,0,0,0,-0.0117646123935479,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0.0312406559186043,0.0918801545443972,0,0,0,0,0.11919331844655,0,0,0,0,0,0.0499630714694159,0,0.386325445438178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793118803067159,0,0,0,0,0.0197133675422511,0,0,0,0,0,0,0,0,0,0,0,-0.0232293288973743,0,0,0,0,0,0,0
X002353.SZ,-0.0201142752482639,0,0,0,0,-0.148127822004716,0,0,0,0,0,-0.0198769928247096,0,0,0.0267446060050128,0,0,0,0,0,0,0.0180298170597477,0,0.131764910828599,0.0559300816497041,0.0904543242405375,0,0,0,0,0,0,0,0,0,0,0.0605402786053945,0,0,0,0.331836655788295,0,0,0,0,0,0,0,0,0,0,0,-0.00588220251626274,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360288093832326,0.106498939439536,0,0,0,0,0.0294311102579836,0,0,0,0,0,0,0,0,0.135833658318372,0,0.0477908387803621,0,0,0.235467494410739,0,0,0,0,0,0,0,0,0,0,0,0.0323498012161966,0,-0.0124972535305181,-0.0185558808753256,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.251026439106606,0,0,-0.0913335749875341,0,0,0.0143876658014857,0,0.231818814242267,0,0,0,0,0,0,0,0,0,0,0.180679907058047,0.000389128236938985,0,0,0,0,0,0,0,0.100670246428642,0,0,0,0,0,0,0,0,0.0960962295937539,0,0.00961702114291779,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870349499085502,0,0,0,0,0,0,-5.42101086242752e-20,-0.0285001983366,0.438019561862875,0,0,0,0,0.145366447990134,0,0,0,0,0,0,0.123414623314239,0,0,0,0,0,0,0,0,0.186940976329282,0,0,0,0,0,0.220670898760972,0,0,-0.0178829631154235,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0.0259201369034256,0,0,0,0,0,0.0821031051027371,0,0.0655147596509755,0,0,0,0,0,0,0.0300624009771858,0,0,0,0,0,0,0,0,0,0,0.017493600640363,0,0,0,0,0,0,-8.67361737988404e-19,0.0895290385874987,0,0,0,0,0,0.12314290503363,0,0,0,0,0,-0.0105303579488598,0,0,0,0,0,0
