,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X601992.SH,X600309.SH,X000539.SZ,X000027.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X000883.SZ,X002470.SZ,X600352.SH,X600021.SH,X600660.SH,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600863.SH,X300072.SZ,X002004.SZ,X600022.SH,X600547.SH,X600578.SH,X600808.SH,X000629.SZ,X600008.SH,X600307.SH,X000060.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0,0,0,0,0,0.0303725754976592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489688566123288,0,0,0,0,0.19951474781662,0,0,0,0,0,0,0,0,0,0,0.0575197992619237,0,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,-0.0644828315364946,0,0,0,0,0,0,0,0,0,0,0,-0.0890381251421499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.188805005405682,0.0427720723662557,0.279626913451383,0.170373586880825,0,0,0,0,0,0.202375254859568,0,0,-0.0669432069941408,0.0373746285303164,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.103976677237225,0,0,0,0,0,0.0801532724375618,0,0,0,0,0,0,0.0696585029779162,0,0,0.133637649259892,0,0,0,0,0.0286052477732437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420840074988892,0,0,0.0425588823645154,0,0,-0.0267764296659024,0.0272800170616183,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0.0628095013044665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185403668187414,0,0,0,0,0,0,0.114706207265984,0,0,0,0,0.00517554499034928,0,0.279217408969173,0.143269902703595,0,0,-0.0513446159090371,0,0,0,0.0767648114366169,0,0,0,0,-0.0365279570097781,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0.213132605392586,0,0,0,0,0,0.133168556502057,0,0,0.102729892899106,0,0,0,0,0,0.0857886290662179,0,0,0,0,0,0,0.00262697230261903,0,0,0,0,0.193116622458217,0,0,0,0.216774216209271,0,0,0,0,0,0,0,-0.0250634567162575,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246019894946893,0.0566483912967975,0.0968254220438794,0,0.023741316051657,0,0,0.0341049126800047,0,0,0,0,0,0,0.068036131855633,0,0,0,0.0494791712525146,0,0,0,0,0,0,0,0,0,0,0.130410079728921,0,0,0,0,-0.0147511525584319,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148746564146011,0,0,0,0,0,0,0,0,0.0908547777799319,0,0.291911306667838,0.284002004853368,0,0,0.0452064182149154,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0217672057318566,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.200837478432951,0,0,0,0.0399742290679366,0,0,0,0,3.46944695195361e-18,0,0.0154082557978624,0,0,0,0,0,0.112356989467271,0,0,0,0,0.0207672306341498,0,0,0,0,0.101268872203217,0,0,0,1.73472347597681e-18,0,0.0410091890148431,0.0482806540159079,0,0.0403352250854947,0,0,-0.0149315809864108,0,0,0,0,0,0,0
X601918.SH,0,0,0,-0.0363560822603114,0,0,0,0.148545291986425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177248015749849,0,0,0,0.202673317981048,0,0,0,0,0.301050142920832,0,0,0,0.0869220319746284,0,0,0,0,0,0,0,0,0,0,-0.0186787837967475,0.0406475987444106,0,0,0,0,0,0
