,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X600362.SH,X002460.SZ,X600160.SH,X600803.SH,X600489.SH,X000708.SZ,X000301.SZ,X002466.SZ,X000807.SZ,X000786.SZ,X600027.SH,X601991.SH,X000408.SZ,X600219.SH,X000983.SZ,X600176.SH,X600426.SH,X002128.SZ,X000630.SZ,X601168.SH,X601699.SH,X600096.SH,X000933.SZ,X002353.SZ,X600378.SH,X000877.SZ,X600157.SH,X600985.SH,X600352.SH,X002271.SZ,X600299.SH,X600995.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000807.SZ,0,0,0,0,0,0,0,0,0,0.252234784107624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120669618935604,0,0,0,0,0,0,0,0,0,0,0,0,0.0601578621698459,0,0,0.479821334999098,0,0,-0.013350093831429,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0215600099861103,-0.00647142962150069,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0.00715111751030816,0,0.206097429411693,0,0,0,0,0,0,0,0,0,0,0,0,-0.123007340405221,0,0,0,0.0408195793817326,0,0,0,0,0,0,0,0,0,0,0.187966082784567,0,0,0,0,0,0,0.129690653969094,0,0,0,0,0,-0.0089881826545558,0.071515003716673,0,0,-0.0123587468267755,0,0
X600027.SH,0,0,0,0,0,0,0.125207850619934,0,0,0,0,0,0,0,-0.0918772245765515,0.268686087731555,0,0,0,0,0,0,0,0,0,0,0,0,0.307652542296341,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0294431135805157,0,0,0,0,0.141957393602591,0,-0.122895330360466,0,-0.0214448010212725,0,0,0,-0.0403305651932024,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416987838533205,0,0,0,0,0,0,0,0,0.169349950967881,0,0.0110254512858802,0,0.0433779564909957,0,0,0,0.109676659326926,0,0.0347885434891159,0,0,0,0.0990007852093762,0,2.16840434497101e-19,0.112713089165445,0,0,0,0,0,0,-0.00486970954033156,-0.000246309455664829,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0.0112575793232424,0,0,0,0,0,0,0,0,0.0884933039994626,0.126542180745629,0,0,0.0259606669163266,0,0.0696487642759498,0,0,0,0,0,0,0,0,0,0,0,0.208782386320642,0.080966374395972,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0235037114417194,0,0,0,0.0301874731195367,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.286581599446031,0,0,0,0,0,0,0,0,0,0.0826908138572475,0,0,0,0,0,0,0.184719241810141,0,0,0,0,0,0,0,0,0,0.00367007515252027,0,0,-3.46944695195361e-18,0,0,0.207682493126549,0,0,0,0,0,0,0,0,0.0099073258394742,0,0,0,0,-0.0790270442596411,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0.0566213949475944,0,0,0.0169717504012817,0,0,0,0,0,0.0447914009911367,0,0,0,0,0,0,0,0,0,0.134558103841149,0,0,0,0,0,0,0,0,0.331641320366402,0,0,0,0,0,0.0115265968046489,0,0,0,0.043669775940195,0,0,0,-0.000938323754083397,-0.0260746753338796,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397298088322682,0,0.0268876543163541,0,0.0251792905232761,0,0,0,0,0.0129329344454064,0,0,0,0.0617863851633519,0,0,0,0,0,0.0292624960972685,0,0,0,0,0,1.73472347597681e-18,0.10180950760016,0.143664429055802,0,0.0174542402278194,0,0,0.0279362399013737,0.105654117388538,0,0,0,-0.000894032006000661,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.280023884197011,0,0,0,0,0,0,0,0,0,0.125291780770621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583323958649248,0,0,0.0622340339829426,0,0.0137155699785421,0,0.175101055760978,0.0522411514995692,0,0,0.00747355494345751,0,0,0,0,0,0,0,0,-0.0267077981332405,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0.0951617565910592,0,0,0,0.0247165221459597,0,0,0,0,0,0,0,0,0,0.0626120706131051,0,0,0,0,0,0,0.0272838495658907,0,0,0,0,0,0,0,0,0,0,0.196033970818277,0.179014510383753,0.0353307605825987,0,0,0.0239914392986679,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.00320115643723813,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0.0452022923449728,0,0,0,0,0,0,0,0,0.0402650523147989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370738549441038,0,0,0.0901563672279349,0,0,0,0.0366215990515494,0,0,0,0,0,0,-0.00718340295818031,0.00175054780250129,0.00205021671312666,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0.0127918896543621,0,0,0,0,0,0,0,0,0,0,0.0187219760658318,0.254000399160144,0.00515505465814411,0,0,0.179536533077501,0,0,0,0,0,0,0,0.0101197439130503,0,0,0,0,0,0,0,0.101534152690128,0,0.184068134384337,0,0.135966840832581,0,0,0,0,0,0,0,0,0,0,0.00973026405900406,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0.178994697354199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893902925589814,0.117797828719513,0.0896014030164286,0,0,0,0,0.0305986071933776,0,0.0498505705742722,0,0.0140226642570291,0,0,0,0,0,0.145817272268906,0.0441285324070831,0,0,0.0888377847951157,0,0,0,0,0,0,0,0,0.00904796589880628,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197601442865204,0,0.0830056560929701,0,0,0,0.0176481026593126,0,0,0,0.0215550254254182,0.0510460306177096,0,0,0.00228424493975968,0,0,0,0,0.0683820181903703,0,0,0,0.0440798820655553,0,0,0,-0.0363168478451489,0,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684028074672054,0,0.014972090503091,0.0422073567313592,0,0,0,0.121952921160228,0,0.316102021989321,0.00728641057946973,0,0,0.00261526823768344,0,0,0,0,0,0,0.175486740800494,0.0492006304200722,0,0,0,0,0,0,0,0,0.157311915952124,0,0,0,0,0.00901316909890951,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0.22254683986307,0,0,0,0,0,0,0,0,0,0,0,0.00945326336668712,0,-0.0379402091691227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483660245189856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107346426035682,0,0,0,0.00662721511396863,0.0284367244536304,0,0,0,-0.105333054297215,0,0
X600378.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011236987573668,0,0.0938013420211103,0,0,0.0932362982216327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510672872432812,0,0,0.153263830836615,0,0,0,0,0,0,0,0.329569933162785,0,0.0392765662268512,0,0,-0.0457478557480876,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242891876733694,0,0,0,0,0,0,0,0,0,0,0.15458947187322,0,0,0,0,0,0,0,0,0,0,0,0,0.0621218800146492,0,0,0.390665362826567,0,0,0,0,-0.0295224679141533,-0.0347936231324251,0,0,0,0.0397326261768387,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191820476445175,0,0,0,0,0,0,0,0,0,0.0881388573316741,0,0,0,0,0,0,0,0,0,0,0.0923255036619823,0,0,0,0,0,0.117296234340712,0,0,0,0,0,0,0,0,-0.061664259384124,0.0270017545111606,0,0,0,0,0.0333858903270312,0,0
X600985.SH,0,0,0,0,0,0,0,0.241028177397163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237133441209319,0,0,0,0,0,0.149298362555088,0,0,0,0,0.0227704033574382,0.00920615103195463,0,0.0202561883984424,0,0,0,0,0.00953285232215898,0,0,0,0.00716579866763369,0,0,0,0,-0.0463523606720805,0,0
X600352.SH,0,0,0,0,0,0.100221824125451,0.100403926541793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141428601764326,0,0.0683819096073368,0,0,0,0.0596787230984861,0,0,0,0,-0.0298510770145363,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0.0726697240985905,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.170281795387591,0.167846791977666,0,0.118468317254089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32428054736847,0.0781624277865961,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0513740574781724,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201215246563487,0,0,0,0,0,0,0.0833261764393597,0.0146006447029541,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.060370131041441,0,0.144005405351357,0.144470514949784,0,0.152743453112408,0,0,0,0,0,-0.126403286647985,0,-0.0170501933329633,0,0,0,-0.0126581579408539,0,0
X600995.SH,0,0,0,0,0,0,0.0882559880478195,0,0,0,0,0,0,0,0,0,0,0,0.0585243393456001,3.46944695195361e-18,0.0707908191667985,0,0,0,0,0,0,0.0594557907903261,0.043735911905347,0,0,0,0,0,0.043579179329116,0,0,0,0,0,0,0.127655412925301,0.0513299128138318,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.00820196402007503,0,0,0,0.0308295715646908,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0.152620624859535,0,0,0,0,0.0703211566351325,0,0.195535149374535,0,0,0,0,0,0,0,0.0610860372903674,0.0471456275954381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141842430736725,0,0,0,0,0.0197797292013623,0,0,0,0,0,0.011718523038816,0,0,0,0.02835182200371,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104884050415527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714721831107591,0,0,0,0,0,0,0,0,0,0.0923401351196162,-0.347963389968023,0,0,0,-0.0572437449696043,0,0
Slope,0,0.0303842969201062,0,0,-0.517807297114134,0,0,0,0,0,0,0,0,0,0.165289114321143,0,0,0,0,0,0,0,0,1.13984028724312,0.0390553213029504,0,0,0,0,0,0,0,0,0,0,0,-0.912852966754526,0,0,0,0,0,0.072393844786351,0,0,0,0,0,0,0,-0.420740798737893,0,0.531580399092611,0.62444718164053,0,0,1.16646619932683,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260012766132037,0,0,0,0,0,-0.107749488469762,0,0,0,0,0,0,0,0.381232411902828,0,0,0,0,-0.223254553224169,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0.134882475011241,0.0536214408943516,0,-0.120660490103051,0,0,0.288693769733876,0,0.119457443587661,-0.0459460046238984,0,0,0,0,0,0.0602276624427347,0,0,0,0,0,0,0,0,0.153836804332344,0,0,0,0,0,0,-0.652010881672631,0,-0.0423762058526423,0,0,0.0884100384758116,0,0,0,0.027548467019306,-0.0165852816622637,-0.0265965342272589,0,0,0,0.122779983355709,0,0
MKreturn,0,0,0,0,0.324079132522756,-0.295375452582248,0,0,0,0,0,-0.0129556890865697,0,0,0,0,0.0268919618194098,0,0,0,0,0,0,-0.0229714738764403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851878348174936,0.0906800708420003,-0.0286615636794645,0,0,0,0,0,0,0,0,-0.00776794666529735,0.0253066336550769,-0.0103946520419322,8.67361737988404e-19,0,0,-0.00841901795208291,0,0
MKvol,0,0.00358107876897137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00132477722449873,0,0,0,0,0,0,0,0,0,0,0,0,-0.00769152647269473,0,0,0,0,0,0,0,0.00145287974495379,0,0,0,0,0,0,0,0,-0.000363574909779991,0,0,0,-0.00510401793302059,0.0155861725592873,-0.00586335948710883,0,0,0,-0.00251947133995423,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0.00877339612718251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00688344026090055,0,0.00826263343525349,0,0,0,0,0,-0.0157428921009609,0,0,0.0139089409865131,0,0,0,0,0,0,0,0,0,0,0.0127330123620576,0,0,0,0,0,0,-0.0131718520510624,0.0209066496610071,-0.0131143005079854,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221798062082785,0.0299639454606437,0,0,0,-0.0533990055955666,0,0
