,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047186923250044,0.0902848802494857,0,0,0,0,0,0,0,0.178939877693031,0,0,0,0,0.0571729532672923,0,0.0128808176348768,0,0,0.0374633132294793,0.0210921183817472,0,0,0,0,0,0.0487584885026269,0,0,0,-0.00976570048855083,0.0110907938824624,0,0,0,0.0286452471608794,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.0509363209147168,0,0,0,0,0,0.26778067608739,0,0,0,0,0,0.019434780417399,0,0.176936811167363,0,0,0,0,0,0,0,0.103685516576109,0,0,0,0,0,0,0,0,0,0,0,0.0741087264410105,0,0,0,0.0215165991222722,-0.0163221169198709,0,0,0,-0.00670758044402171,0.0238102660740721,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.0283883807895421,0,0,0,0,0.167513866004281,0,0,0,0,0,0,0,0.0303062506851878,0,0.136152222767134,0,0,0,0,0,0,0,0,-0.0450484424312151,0,0,0,0,0,0,0,0,0,0,0.274612196583541,0,0,0,0,0,0,0,0,0,0,0.0124119692247755,-0.0590934255055682,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.119392519896392,0,0,0,0,0,0,0,0,0,0,0.226293613397406,0,0,0,0,0,0,0,0,0,0,0.242905853221412,0,0,0,0,0,0,0,0,0.0314000745382042,0,0,0,0,0,0,0,0.0394501622726652,0,0,0,0,0,-0.0134116947686896,0,0,0,0,8.67361737988404e-19,0,0
X002460.SZ,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662234533639957,0.527412355329901,0,0,0,0,0,0,0.0484542204449575,0,0,0,0,0,0,0,0,0,0,0.0734716226232523,0,0,0,0.217541597724782,0,0,0,0,0,0,0.0126972212708694,0,0,0,0.0157402413705108,0,0
X600489.SH,0,0,0,0,0,0.0512973496302684,0,0,0.667870992339041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10398986554114,0,0,0,0,0,0,0.0395127516427534,0,0,0,0,0.0767965089443565,0,0,0,0.0163301032057266,0,0,0,0,0,-0.0194893473002779,-0.00972707541316095,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395385768704002,0,0,0,0,0.302517330840091,0,0,0.0698685291975923,0,0,0,0,0,0,0,0,0,0,0,0.0314848409536121,0,0,0,0.00986733388692898,0.107102699619494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133289282310064,0,0
X600808.SH,0,0,0,0,0,0,0.0873779389182019,0,0,0,0.087971216127621,0,0,0,0,0,0,0,0,0,0.100060093264875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254410123333566,0.271273945569087,0.0186129687019467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577392840317362,0,0
X601158.SH,0,0,0,0,0,0,0.00404075205342091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748722239085623,0.0959036386220673,0,0,0,0.0576071356451631,0,0,0,0,0.0155557064354317,0,0.0848542753323054,0,0,0.0241260786029896,0,0,0,0,0.000565732551977328,0.110161515044901,0,0,0,0,4.33680868994202e-19,0.0157930332005098,0,0,0,-0.00260101085954646,0,0
X600801.SH,0,0,0,0.286697196854916,0,0,0.0522537776567453,0,0,0,0,0,0,0,0,0,0,0.169500768682907,0,0,0,0,0,0,0,0,0,0,0,0,-0.132654248188813,0,0,0,0,0,0,0,0,0,0.121027918331544,0,0.0703335153737164,0,0,0,0,0,0,0,0,-0.00250808321155251,0,0,0,0,0.0014399143511729,0,0
