,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X601600.SH,X600027.SH,X601991.SH,X600547.SH,X600111.SH,X600157.SH,X600188.SH,X600362.SH,X002466.SZ,X600886.SH,X600623.SH,X601992.SH,X600309.SH,X600299.SH,X000792.SZ,X600489.SH,X600660.SH,X300072.SZ,X600549.SH,X601158.SH,X600583.SH,X000883.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X600352.SH,X000539.SZ,X002407.SZ,X000898.SZ,X002460.SZ,X000027.SZ,X002470.SZ,X000761.SZ,X000630.SZ,X000983.SZ,X000012.SZ,X000060.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600623.SH,0,0,0,0,0,0,0.0178672593557007,0,0,0,0,0,0,0,0.0623393222067521,0,0,0,0,0,0,0,0,0,0.252068382484797,0,0,0,0.0267084966417844,0,0,0,0.157029329278115,0,0.078290356807189,0,0,0,0.285102434037561,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390824105929817,0,0.0715318686976889,0,0,0.22552999075036,0,-0.00220475125579843,0,0.0481545573514655,0,0,0,0,0,-0.0399196199732108,0,0.0584572455425235,0,0,-0.0451890462775166,0,0,0,0,0,0,0,0.0898060248053251,0,0,0.246114998236887,0,0,0,0,0.0260102286741479,0,0,0.0232268346582883,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200271381277035,0,0,0,0,0,0.028773163037615,0,0,0,0.128146404592614,0,0,-0.0430778643997863,0.0134112431838223,0,0.0787679220767565,0,0.096152416533386,0,0,0,0,-0.0104022512563093,0,0,0,0,0,0,0.0430689349114234,0,0,0,0,0,0,0,0.035469154462811,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0.12819977940369,0,0,0,0,0,-0.066244166467027,0,0.469345788767444,0,-4.33680868994202e-19,0,-0.112816020646067,0,0,0,0.0685652817461648,0,0,0.0627510136087589,0,0,0,0,0,0.00534775200641944,0,0,0,0.0846558373063872,0,0,0,0.0236519600633932,0,0,0,0,0,0,0,0,0,-0.0701083102962178,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.102501078767968,0,0,0,0.0122092489603898,0,0,0,0.0348431065469414,0,0.102057533186818,0.0786172033910148,0,0,0,0,0,0.0794594180332503,0.0637935006693864,0,0,0,0.0421394077161049,0.0333670760330882,0,0,0,0,0,0.139927877348106,0.0807940259179526,0,0,0,0,0.144176971054753,0,0,0,0,0,-0.0576866003634635,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619333721902262,0,0,0.0912337710498922,0,-0.026214203892634,0,0,0,0,0,0,0,0,0,-0.0759245316469954,0,0.113124978238506,0,0.121459514326884,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.00526294302495051,0,0,0,0,0,0,0,0,0.0501436544678275,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135246677025644,0,0,0.0604413942953887,0,0,0,0,0,0,0,0,0,0,0.0496030978850875,0,0,0,0,0,0,0,0,0,0,0,0.0586619939527599,0,0,0,0,0.0106656898724219,0.0484054279103026,0,0,0,0,0,0,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275835839551423,0,0,0,0,-0.0113060633040395,0,0,0,0,0,0,0,0.00208200246288116,0,0,0,0.103478962821104,0,0,0.108129639866787,0,0,0,0,0,0,0,0,0,0,0,0.147085047995314,0,0,0,0.0381004199767297,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64602210661883,0,0,0,0,0,0.0241052072415825,0,0,0,0.212891909834116,0,0,0.0595209205648939,0,0,0,0,0.10334535884612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334947149051919,0,0,0,0,0,0,0,0,0,0.205737388328573,0,0,0,0,0.0643878379184982,0,0,0,0.133088259256807,0,0,0,0,0,0,0,0,0.0672314741897098,0,0,0.0213709812316402,0,0.0332174460882544,0.00195282969121724,0,0,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.191446050635507,0,0,0,0,0,6.93889390390723e-18,0,0.117459880995072,0,0,0,0,0,0.156293741701506,0,0,0.109584306513455,0,0,0,0,0,0,0.00149404655443085,0,0,0,0,0,0,0,0,0,0,0,0,0.13764472911829,0,0,0,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160836462853546,0,0,0,0,0,0,0,0,0,0.0661789090556998,0,0,0,0.056650410587799,0,0.0327450433509622,0,0,0.0322907185975038,0,0,0,0,0,0,0,0.191246510481007,0,0,0,0,0,0,0.149905040761338,0.0749935349202847,0,0,0,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0.144943813882493,0,0,0,0,0,0,0.100939785900859,0,0,0,0,0,0.151239749222967,0,0,0.0561190369557309,0.177469627093492,0,0.0444375610276641,0.023757060639042,0.392878143554477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140134603665576,0.0330497330244683,0,0,0,0,-0.00304341856146187,0,0,0,0,0,0,0
X000723.SZ,0,0,0.0014013488841563,0,0,0,0,0.286196930638942,0,0,0.166338036019824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254865683817509,0,0,-0.0914419791360395,-0.0222231046766779,0,0,0,0,0,0,0,0,0,0,-0.190302009452634,0,0,0,0,0,0,0,0,0,0,0,-0.0704855270792456,0.164857904610561,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577391842310921,0,0,0,0.0744911922877082,0,0.00222877715032206,0,0,0,0,0.102064673429355,0.0551081499585567,0,0,0,0,0,0,0,0,-0.0277960209539546,0.264712725897156,0,0,0,0,0,0.190902082625034,0,0,0,0,0,0,0.0107009359825792,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.072260579492763,0,0,0,0,0,0.159971922725079,0,0,0,0,0,0.0495124799377908,0,0,0,0,0,0,0,0.0224457267674092,0,0,0,0.128282287883468,0,0,0,0,0,0,0.0323173174130785,0,0,0,0,0,0,0.115198026432193,0.0490628570675526,0.0297318306759584,0,0,0,0,0,0,0,0,0,0
