,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X002271.SZ,X600111.SH,X600027.SH,X601992.SH,X002460.SZ,X002466.SZ,X000723.SZ,X600176.SH,X002353.SZ,X600516.SH,X600583.SH,X000898.SZ,X600299.SH,X600489.SH,X600426.SH,X000709.SZ,X601158.SH,X000883.SZ,X600219.SH,X600612.SH,X000792.SZ,X000629.SZ,X000553.SZ,X000027.SZ,X000825.SZ,X000630.SZ,X600808.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0,0,0,0,0,0,0,0.0240108669676675,0,0,0,0,0,0,0,0,0.349531018157605,0,0,0,0,0,0,0,0.0695158191456689,0,0,-0.027752039202485,0,0,0.0341743855405043,0,0,0,0.0226229011568235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391107964502552,0,0,0,0,-0.035700179153962,0,0
X600111.SH,0,0,0,0,0,0,0.0126253483237088,0,0.0667155019691955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023367605119565,0,0,0,0.214569663616153,0,0.149761954673833,0,0,2.16840434497101e-19,0,0,-0.0332556096513879,0.0296612560017707,-0.0620776934437481,0,0,0,0,0,0,-0.0740059501724893,0,0,0,0,0,0,0,0,-0.0258810664981306,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.301690236481845,0,0,0,0,0,0.195472696132904,0,0,0,0,0,0,0,0,0,0,0,0,0.0374270299899728,0,0.214935252678965,-0.124670609701666,0,0,0,0,0,0,0.081444055489861,0,0,0,0,0.0591963968895896,0.0274594383394758,0,0,0,0,0,0,0,0,0.0185046149249082,0,0,0,0,-0.0493219089776627,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0.153213209540676,0,0,0,0,0,0.161042074593306,0,0,0,0,0.0318669966536071,0.0872352135560609,0,0,0,0,0,0.0681238832104891,0,0.0381153953277087,8.67361737988404e-19,0,0,0.0707321038428697,0,0,0,0,0,0,0,0,0,0.000497227997577973,0,0,0,0,0.0835497433269683,0,-0.00799092186405011,0.0102464783495725,0,0,0,0.0318924093255491,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400778572479983,0,0,0,0,0,0,0,0,0,0,0.368046670135518,0.052976770904063,0,0.0794509021271205,0.341099690022823,0,0,0,0,0,0,0,0,0,0,0.0783971260713336,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511300266746389,0,0
X002466.SZ,0,0,0,0,0.0690643111830044,0,0,0,0.0103638280501805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461552890079148,0,0.106297346954044,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173004933223488,0,0,0,0,0,0,0,0,-0.0597456171527191,0,0,0,0,-0.00739809145871411,0,0
X000723.SZ,0,0,0,0,0,0,0.0504625775173111,0,0,0,0,0.0593324781028787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345233236179116,0,0.225286377348702,0,0.676586742785533,0,-6.93889390390723e-18,0.184230947261358,0.0455756241597702,0,0,0,0,0,0.27847176104517,-0.0639800421588002,0,0,0,0,0,0,0,0,0,0.0530300120933506,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545036846303889,0,0,0,0,0.0171125664655515,0.209570174114636,0,0,0,0,0,0.117188709923024,0,0,0.0724377742472162,0,0.0938354671696174,0,0,0,0,0,0,0,-0.0269159560736243,0.0776604932036658,0,0,0,0,0,0,0,0,0.0188987177371602,0,0,0,0,0,0,0
X002353.SZ,0,0,0,-0.28498976026695,0,0,0.0167572057164607,0.0505402762657406,-0.0142726796633999,0,0,-0.0838864190955142,0,0,0,0,0,0,0,0.147552170623883,0,0,0,0,0,0,0,0,0,0,0,0.0883179636632165,0.126747582331977,0,0,0,0.172127196711883,0,0.369173695986128,0,0,0,0.0489231679987377,0,0,0,0,0,0,0,0,-0.00391711337256293,0.0448971568558752,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992944134088095,0,0,0.129587218597711,0.0801039015825611,0,0.0633736745033314,0,0,0,0,0,0.18387250793906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185670005563709,0,0,0,0,-0.00624002108509856,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,-0.0988570989232467,0,0,0,0,0,0.0409051660583742,0,0,0,0,0.090990483705406,0,0,0,0,0,0,0.0264452815274584,0,0.198333492990824,0,0,0,0,0,0.143949248287405,0,0,0,0,0,0.0433286426087245,0,0.163234902887851,0,0,0,0,0,0,-0.00794897376526145,0,0,0,0,-0.00908717018342833,0,0
X000898.SZ,0,0,0,0,0,0,-0.047923849515378,0,0.00594943679695005,0,0,0,0,0,0,0,0,0,0,0,0.0118290010063253,-0.0429059262667853,0,0,0,0,0,-0.0140719646562026,0.127891830184901,0.00027359201454337,0,0.068514364265656,0,0,0,0,0,0,0,0,0,0,-0.0166098495952389,0,0.00930894167280272,0,0.174660359808905,0,0,0,0,0.0188357004251893,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258388891590751,0,0,0,0.163239490787387,0,0,0,0,0,0,0,0,0.00288587985648086,0.107843406123191,0,0.175829388229615,-0.0211642407304579,0,0,0,0,0,0,0,0,0.038203378828564,0,0.0849481251312212,0,0,0,0,0,0.117774665269316,0,0.0395782355989748,-0.0638417533088296,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0.266528216515672,0,0.0958968265999856,0,0,0,0,0,0,0,0,0,0,0,0,0.0565626497577429,0,0,0,0.0516089774657459,0,0.101774586328937,0.124332330642188,0.0730801149596623,0,0,0,0,0,0,0,0,0,0,0,0.0717348071775127,0.0346180210802544,0,0,0.0501029123162571,0,0,0,0,0,0.00324656466599293,0.0501409509779605,0,0,0,0.0557743889078598,0,0
