,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X600019.SH,X000792.SZ,X600010.SH,X600011.SH,X600660.SH,X600188.SH,X000877.SZ,X000301.SZ,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X002080.SZ,X000408.SZ,X600219.SH,X600803.SH,X002326.SZ,X300073.SZ,X601991.SH,X600795.SH,X000786.SZ,X300037.SZ,X000831.SZ,X000959.SZ,X600516.SH,X600688.SH,X600399.SH,X600027.SH,X600141.SH,X600096.SH,X000825.SZ,X600486.SH,X600352.SH,X600157.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600010.SH,0,0,0,0,0,0,0.339069747196725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213572110902548,0,0,0,0,0,0,0,0,0,0,0,0.0569572533556386,0.0304880398427282,0.0786854264666382,0,0,0.128118272354208,0.0358757987554258,0,0,0,0,0,0,0,0,0,0.0350027994269367,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726711710204939,0.0300263939394076,0,0,0,-0.154067274555864,0,0,0,0,0,0,0,0,0.0121677595542284,0,-0.0336751635406666,0,0,0,0.0722094069444284,0,-0.0244688804755952,0.0616119206291374,0.0103659913727561,0,0,0,0.0148662945229149,0.649967122136864,0.0838287022111018,0,0,0,0,0,0,0,0,-0.00490443512557136,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,-0.125732763669445,0,0,0,0,0,-0.0133400068515307,-0.0781150789822986,0.075750663651666,0.0683812033538567,0,0,0,-0.0885592834762982,0,-0.0866840380782431,0,0,0,0.0396702469838236,0.0406563045147591,0,0,0,0,0,0,0,0.0454968829244345,0.168733145970113,0,0,0.0160863451514565,0,0,0,0,0,0,0,0,0,0,0,0,0.0561201646483216,0,0,0,0,0,0
X600188.SH,0.232768349369374,0,0.624785203232031,0,0,0,0,0,0,0,0,0,0,0,0,0.0583353852317464,0,0.0759757683066633,0.0553137083582963,0.267280999928741,0,0,0,0,0,0,0,0,0,0.0894898746175192,0,0,0,0,0.0502989695375158,0,0.0265721299605185,0,0,0.0479184560115309,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0378896710825301,0,0,0.0151252768956608,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0.121208811929258,0,0.12383582959586,0,0,0,0,0,0,0.0373050799471992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702775651035783,0,0,0.0469751191968901,0,0,0,0,0,0,0,0.214905194935809,0,0,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0.00567751187205783,0,0,0.12318424916497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107423290170901,0,0,0,0,0,0,0,0,0,0,0,0.246281861060882,0.236746175026049,0,0,0,0,0,0,0,0,-0.0204127657841427,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000618618553515173,0,0,0,0,0,0,0,0,-0.0175768276417437,0,0,0,1.35525271560688e-20,0,0,0,0,-0.0088551704624395,0,0,0.663399819292691,0,0,0,-0.0424404293659292,0,0,0,0,-0.0484995780758188,-0.0581895296515958,0,0,0,0,0,0,-0.00797624052749719,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0576143523556152,0,0,0.0596430947201792,0,0,0.166962554368726,0.271379144431117,0,0,0,0,0,0,0,0,0,0.0361225254221565,0,0,0,0,0,0,0,0,0,0,0,0.0238034193358839,0,0,0,0,0,0,0.0435898391628588,0.283541224554156,0,0,0,0,0,0,-0.0108727491742431,0,0,0,0,0,0,0
X000708.SZ,0,0,0.0142694540992135,0,0,0,0,0,0.134381294861987,0,0.0402025242243919,0,0,0,0,0,0.0564871759282474,0,0,0,0,0,0,0,0.0624286117265844,0,0,0,0,0,0,0,0,0,0,0,0,0.0371843187702118,0.126182463526322,0,0,0,-0.0187104479541343,0,0,0,0,0,0,0,0,0,0.0313052586383937,0,0,0,0,0,0
X601898.SH,0,0,0.326660086868264,0,0,0,0,0,0,0,0,0.103899234068686,0,0.258862549011506,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215536024654848,0,0.0435747980293414,0,0,0,0,0,0,0,0,0,0,0,-0.0983626713571321,0,0,0,0,0,0,0
X600547.SH,0,0,2.11758236813575e-22,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.04901445168188,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0399466190215325,0,0,0,0,0,0,0,0,-0.00390859797458652,0,0,0,0.0758897874215482,0,0,0.0560249486786246,0,0,0,0,0.270113219527232,0,0,-0.014446255546878,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.106432007449609,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0355377669425757,0,0,0,0,0.0689454741842504,0,0,0,0.130246585607997,0,0,0,0,0,0.0881497625916413,0,0,0,0,0,0,0,0,0,0,0,0,0.184016804432697,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0.0428475719671615,0,0.15340658283428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.262428970386565,0,0,0.0994731374212139,0,0.00542020650424012,0,0,0,0,0,0,0,-0.0165847162589781,-0.033054212397761,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03154102159368,0,0,0,0,0.00626393543507798,0,0.0492904373910433,0,0.083967353997789,0.0422206201067967,0,0,8.67361737988404e-19,0,0,-1.0842021724855e-19,0,0,-0.0108091865017544,0,0.0300186929996535,0,0,0.144713877527713,0,0,0,0,0,0,0,0.0241350055595549,0,0.0075223779474324,0,0,0,0,0,0,0
X000723.SZ,0,0,0.0315495861067716,0,0,0,0.0544472740655971,0.0653349265463237,0,0,0.0797333821011019,0,0,0.0437841098142083,0,0,0,0,0,0.165855875168984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163998632911509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116977183632656,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0.14433169668406,0,0.0722293520500652,0.166275755670736,0,-0.0724991997966807,0,0.0934848362428127,0,0.0498070333487356,0,0.0407985710470481,0,0,0,0,0,0,0,0,0,0,0,0.0953259455875145,0,0,0,0,0,0,0,0,0.00587951314839777,0,0,0,0,0,0,0,0,0,0,0,0,-0.034038351874285,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416421662655761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731940974448051,0,0,0,0,0.262570908029031,-6.93889390390723e-18,0.282954090789598,0,0,0,0,0,0,0,0,-0.0326206799968019,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0.0347985640427808,0,0,0.286101270549609,0,0,0,0,0,0.0117709248889925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146558033381603,0,0,0,0,0.13999868299097,0,0,0,0.128347149789557,0,0.0454784432858334,0,0,0,0,0,0,0,0.11844591005182,-0.0259265141346665,-0.0114173566935936,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.168876531318465,0,0,0,0,0,0,0,0,0.231823276168138,0,0,0,0.0509015184198379,0.0380483506206075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592365931029661,0,0,0.0318806751609926,0,0,0.0211225627341255,0,0,0.0168362637555763,0,0.0428325205307625,0,0,0,0,0,0,0,0,0
