,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X601991.SH,X600547.SH,X600886.SH,X600176.SH,X600516.SH,X600111.SH,X000898.SZ,X000786.SZ,X000709.SZ,X002271.SZ,X600352.SH,X000792.SZ,X000825.SZ,X600027.SH,X000553.SZ,X600299.SH,X601699.SH,X000408.SZ,X601158.SH,X600808.SH,X600219.SH,X600489.SH,X000830.SZ,X600426.SH,X000883.SZ,X000959.SZ,X002110.SZ,X000630.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002466.SZ,0,0,0,0,0.0446744547942592,0,0,0,0,0,0,0,0,0,0,0,0.385470015186607,4.33680868994202e-19,0,-0.136815116864738,0,0,0.239206334446866,0,0,0,0,0,-0.0107782293459674,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147471041792647,0,0,0,0,0,0,-0.00491510022465106,0.0111419901894026,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241973025854552,0,0,0,0,0.224836133320532,0,0,-0.0555651913658765,0,0.235132010806876,0.0668479428513059,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.11799387638076,0,0,0,-0.00482544787481634,0,0,0,0,0,0,0
X600688.SH,0,0.296770941614536,0,0,0,0.0599741031422497,0,0,0,0,-0.0485158610278665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493131376290476,0,0,0,0,0,0.0488869808718631,0,0,0,0,0,0,0,0,0.0494703692988196,0,0,0,0,-0.0301183374191732,0.0155406027774263,0,0.055462292634987,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274228541113287,0,0,0,0.255078190930993,0,0,0,0,0,0,0,0,0,0,0.218152646155059,0,0,0,0.0610492613531726,0,0,0,0,0,0,0,0.0941184117358364,0,-0.0296993519835141,0,0,0,0,0,0,0
X600795.SH,0,0.0717329980340361,0,0,0,0,0.0452307562495394,0,0,0,0,0,0,0,0,0,0,0,0,0.109746016301712,0,-0.00234711895867832,0,0.0316733641948588,0,0,0,0,0,0.0281361289089516,0,0,0.102984899190082,0,0,0,0,0.0817670470397686,0,0,-0.00619860285234165,0,0,0.0296969323585338,0,0,0,0,0.0144934655188072,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,-0.0475491541793119,0,0,0,0,0,0,0,0,0,0.130514916672468,0,0,0,0.172777491406672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038005512260442,0.169295973160504,0,0,0,0,0,0,0,-0.00224525681238244,0,0,0,0,0,0
X002460.SZ,0.0852103496074795,0,0,0,0,0,0,0,0,0,0.829700149755956,0,0,0,0,0,0,0,0,-0.0715459852930745,0,0,-0.0357835080552414,0,0,0,0,0,0,0,0.0856077140737387,0,0,0,0,0.128515664431138,0,0,0,0,0,0,0,0.0771267143692262,0.129776385898127,0,0,0,0,0.00334132060174708,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0.137744639393076,0,0,0,0,0,0,0.237706538498444,0,0,0,0,0,0,0,0.167431471410847,0,0.0213909978704933,0,0,0,0.16540847958614,0.0596078915781982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696495542856982,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556595552208856,0,0.180783035443634,0,0,0,0,0.0668880342089249,0.0875748906718553,0,0,0,0,0,0,0,0,0,0,0.0276794239522514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147532513134871,0,0,0,0,0,0
X600547.SH,0,0.134226719371514,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0958182664343389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624348794799558,0,0,0,0,0,0,0,0,0.669340089386699,0,-0.0283829939704619,0,0,0,0,0.0588327021406073,0,-0.00444864904052657,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0514149294167532,0.0389127335202175,0,0,0,0,0,0.0792568822979637,0,0.10069706696972,0,0,0,0.0162426876522911,0,0,0,0,0,0,0.13491819688889,0,0,0,0,0,0,0,0,0,0,0.0105888687814393,0,-0.0248985889062473,0,0,0.0188384883485683,0,0,0,-0.000719954875496906,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070761956116979,0,0,0,0,0,0,0,0.286199630146328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143274842142474,0,0,0,0,0,0,-0.0417912503538499,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0.296581453759203,0,0,0,0,0.346560716987267,0,0,0,0,0,0,0,0,0,0,0.0141283828312982,0,0,0,0,0,0,0,0.195501491654716,0,0,0.237504481739195,0,0,0,0,0,0,0,0.0967207113424238,0.0357500902965439,0,0,0.215936365067667,0,0,0,0,-0.0417053209418048,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.0921525674114644,0,0,0,0,0,0.0204938761598352,0.0324376010163478,0,0,0,0,0.12305697262305,0,0,0,0,0,0.0378308168752242,0.13230485927358,0.0795513727339401,0,0,0,0,0,0,0.270972942417434,0,0,1.38777878078145e-17,0.0809412820230782,0,0,0.0136757458115368,0,0,0,-0.0109757128646675,0,0,0,0,0,0,0
