,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601600.SH,X601898.SH,X600111.SH,X000708.SZ,X600660.SH,X600010.SH,X000301.SZ,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X600489.SH,X601699.SH,X000807.SZ,X000983.SZ,X600160.SH,X600995.SH,X000786.SZ,X000933.SZ,X000629.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000932.SZ,X000723.SZ,X600378.SH,X600688.SH,X600096.SH,X000408.SZ,X000831.SZ,X000630.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0.145287427586511,0,0,0,0,0,0,0,0,0,0,0.0744931571466875,0,0,0,0,0,0,0,0.11561880412615,0,0.0269765145213389,0,0,0.0427106125227698,0,0,-0.0796500420945023,0,0,0,0.042273551045125,0,0,0,0,0,0,0,0,0,0,0.0179986501083068,0,0,0,0,0,0,0
X600547.SH,0,-0.0568468650124272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115620589442496,0,0,0,0,-0.0362558038606109,0,0,0,0.545988304506518,-0.00484608760145241,0,0,0,0,0,0,0,0.0476498259683479,0,0,0,0,0.0168210370738806,0,0,0,0,0,0,0,0,-0.0150831489672326,0,0,0,0,0,0
X601600.SH,0.0180046841352146,0,0,0,-0.0922212478838348,0.14363039730082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996874240994225,0.23220151516373,0,0,0,0,0,0,0,0,0.38932655684654,0,0.0481865820591084,0,0.200357924538118,0,0,0.034269019974136,0,0,0,0,0,0,0,0,0,0,0,0,0.0201102609846698,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0985378988043225,0.0263787036023,0,0,0,0,0,0.0193127850230993,0.165570090249286,0,0,0,0,0,0,0,0.0389503758830239,0,0,0,0,0,0,0,0,0,0,0,0.0606913885643163,0,0,0.110448210641461,0,0,0,0,0,0,0,0,0.00910576925287493,0,0,0,0,0,0,0.0111682334845541,-0.021565329736024,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0603460714537101,0,0,0,0,0,0,0,0,0,0,0.0876162864136606,0.0922910517101212,0,0,0,0,0,0,0,0,0,0.448873168668916,0,0,0,-0.0162401607316297,-0.0138586379037067,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.108123121121927,0.0697189010923403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367326178593746,0,0,0,0,-0.0445784309935763,0,0,0,0,0,0,0.0139494384267739,0,0,0.0618973210328435,0,0,-0.0193937993526904,0,-0.0943961969121211,0,0,0,0,0.106830016277619,0,0.103727478622181,0,0,0,0.0303373887317988,-0.0301422839509158,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0.107333357049962,0.0124070304751319,0,0,0,0,0,0,0,0,0.0544319175374687,0,0,0,0.0648576292490116,0,0,0,0,0,0,-0.0642868029233668,0,0.0126392871268762,0,0.102259279816621,0,-0.024191914819335,0.0980329333811976,0.0532944102258398,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282824149261307,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904842083337644,0,0,0,0,0,0.0942576417992899,0,0.0410704589247642,0,0,0,0,0,0,0,0.00205816053084164,0,0,0,0,0,0.0681430047652428,0.0273658355936465,0.0371332352457792,0,0,0,0,0,0,0,0,0.021681600382185,0.0282552208742545,0,0,0,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0.0387552828968878,0,0,0.123658276165253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552239309332109,0,0.0806281802529113,0,0,0,0,0,0,0.306090427234861,0,0,0,0,0,0.0315791896374648,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.062555343879655,0,0,0.037162994534881,0,0,0,0,0,0,0,0,-0.156767098477532,0,0,0,0,0,0,0,0,0.0337311843024157,0,0,0,-0.0250283684966088,-0.0132626895773128,0,0,0,0,0.0226464032556462,0,0,0,0,0,0,0,0,0,0,0,-0.00995460617848253,0,0,0,-0.0250755037993347,0.0393895313209423,0,0,0,0,0,0
