,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600188.SH,X600547.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X601158.SH,X600309.SH,X600583.SH,X600489.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002407.SZ,X000027.SZ,X000723.SZ,X002460.SZ,X600549.SH,X000630.SZ,X002470.SZ,X600176.SH,X600098.SH,X600021.SH,X000012.SZ,X000983.SZ,X600612.SH,X000959.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301694593186057,0.0175552271367505,0,0,0,0,0,0,0,0,0.273776064579121,0,0,0,0,0,0,0,0,0,0,0,0.0398991140190008,0,0,0,0,0.0153236107170015,0.157114665928808,0,0,0,0.187336708786874,0,0.145729080487609,0,0,0,0.0192252996307053,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.00254844233965676,0,0,0,0,0,0,0,0.120399626426653,0,0,0,0,0,0,0.0386630593896695,0,0,0,0,0.042159671878156,0.0985169663662664,0,0,0.082255223403721,0,0.113146150974665,0.171464942363553,0,0,0.186272807797989,0,0,0,0,0,-0.0161454068860148,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169798874925992,0,0,0,0.0260060829670952,0,0,0,0,0,0,0.126756068972443,0.141085391672701,0,0,0,0,0,0,0.0238451644027702,0.0653413517043866,0,0,0,0,0.102165263479329,0,0,0,0.10841240291075,0.0588818727780249,0,0.0370906923073481,0.11424612519456,0,0,0,0,0,-0.0115587466657479,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12611349553222,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0242342504044392,0,0,0.0648137805004513,0.0310341638644635,0,0,0,0.332460905157041,0.126876106602836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102568529854835,0,0.318690693521238,0,0,0,0,0.197659839778499,0,0,0,0,0,0,0,0.0539883690482495,0,0,-2.16840434497101e-19,0,0,0,0.107408669937428,0,0,0,0,0,0.0364787712882069,0,0,0,0,0,-0.0212212332938406,0,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728208797896815,0,0,0,0,0,0,0,0,0,0,0.193044763274316,0,0,0,0.0785560117863691,0,0,0,0,0,0.0512157504389885,0.0318768442658414,0,0,0,0.0106336968217573,0,0.0302176766048356,0,0,0,0,0,0.0511057758890168,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0.114797363508344,0,0.188158092804736,0,0,0,0,0,0,0,0,0,0,0,0.118409162718106,0,0,0,0,0.0145082669251634,0,0,0,-0.00230131033297721,0.198344249618433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112209134976733,0.112805533813834,0,0,0,0,0,0,0,0,0,0,0,0
X000629.SZ,0,0,0.176049671839547,0,0,0,0,0.162295837082022,0.164101433244783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486617594537644,0,0,0,0,0,0,0,0,0.0543744596721471,0,0.252059458435425,0,0,0,0,0,0,0,0,0,0,0,-0.0182656092920709,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904125053955888,8.67361737988404e-19,0,0,0,0,0.0178481747996578,-0.0224088864645951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370104413806784,0,0,0,0,0,0,0,0,0,0,0.0762270287792631,0,-0.140991874498153,0,0,0,-0.162755522666168,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569788889928982,0,0,0,0,0,0,0,0,-0.434976652066038,0,0,0.755051979304629,0,0,0,0,0,0,0,0.28026210968362,0,0,0,0,0,-0.782970718185194,-1.29344727289101,0,0,0,0,0,0.320956283930321,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316872841389206,0,0,0,0,0,0,0.0802523565924954,0,0,0,0,0,0,0,0,0,0,-0.294507751116221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16639702798298,0,-0.413277044921229,0.600070490765588,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0.00179667828828891,0,0,0,0,0,0,-0.0448088818126769,0,0,0,0,0,0,-0.0263339529241221,0,0,0,0,0,0,0,-0.0492488580895173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0526913157535984,0,0,0.368504263875846,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,-0.0868151275996009,0,0,0,0.114256048473336,0,0,0,0,0,0,0,0,0,0,0,-0.0145053533976173,0,0,0,0,0,0,0,0,0,0,0,0,0.00880007991289345,0,0,0,0,0,0,0,0,0,0,-0.0209931668114492,0,0,0.0231422897135839,0.68510478297837,0,0,0,0,0
MKvol,0,0,0,0,0,0,0.0112985472678809,0,0,0,0,0,0,0,-0.00360433567728512,0.00215195029619744,0,0,0,0,0,0,0,0,-0.0014773966361567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247770660513305,0.00274739808258568,0.0463599729489871,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00542946854876984,0,0,0,0.0155294859480901,0,0,0.0437808591334051,-0.0109052736703816,0,0,-0.0116223581360744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187229423249806,0,0,0,0,0,-0.00522977090118276,0,0,0,0,0,-0.0284957769443616,-0.0882910820461174,-0.0132445377466529,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,-0.00159365070352931,0.00245211073529363,0,0,0,0,0,0,0,0,0,0,0,0,0.00540904219790661,-0.000531145180038864,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00340594183946846,0,0,0,0.00835080011598544,0,0,0,0,0,-0.00182703577484403,-0.0150721220719357,0,0,0,0,-0.00768408977817264,-0.0311777137248588,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0.0110627696235045,0.0106035004585103,0,0,0,0,0,0.0189420247960688,0,-0.00122464712343844,0,0,0,0.0162349464088125,0,0,0,0,0,0.0178611626398095,-0.0154091028728825,0,0,0,0,0,0.00221025489786807,0,0,0,0.000622135487388946,-0.0117858790582929,-0.00730386080097041,-0.0336914000746094,0,0,0,0,0,0,0,0,0,0,0,-0.0136096709709183,0.0595865587215717,0,0,0,0,0,0
