,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X600808.SH,X601158.SH,X000629.SZ,X600801.SH,X600219.SH,X000786.SZ,X300072.SZ,X000825.SZ,X000883.SZ,X000553.SZ,X600583.SH,X000539.SZ,X000408.SZ,X000792.SZ,X601699.SH,X000301.SZ,X600339.SH,X002271.SZ,X600612.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484428916400368,0,0.0415640198356228,0.108339195039288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219102078851289,0,0,0,0.0339194830614089,0,-0.0206625324297183,-0.00863055750979305,0,0,0,0,0,0
X600688.SH,0.017703478596438,0,0,0,0.0230254659733739,0,0,0,0,0,0,0,0.0236945666433961,0,0,0,0,0.220695605467886,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.21590816996991,0,0.0521072517102748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951784998503939,0,0,-0.0124447996844749,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.13837168190301,0,0,0,0,0,0.171828700785984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251084988775891,0,0,0.0611402654635097,0,0,0,0,0,0,0,0.025423113803318,0,0,0,0.181714846768108,0.040142067132688,0,0,-0.00670434032098411,0.0238706195896879,0,0,0,0,0,0
X600886.SH,0,0,0,0.0515569611789142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248936355002497,0.0677046554663599,0,0,0,0,0,0,0.103857756329683,0,0,0,0,0,0,0.0118426070486426,0,0.0354401570829295,0,0,0.042131669347883,0,0,0,0,0,0.0277451675744243,0,0,0,0,-0.00381867256343963,0.0115440641420664,0,0,0,0,0,0
X601600.SH,0,0,0,0.106982211701239,0,0,0.0237048589328809,0,0,0,0,0,0,0,0,0,0,0,0,0.0340595441446612,0.0479481234995272,0,0,0,0.0863885483619082,0.124811755044953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101813564437305,0,0.123343461230547,0.0144868978154939,0,0,0,-0.0030931932890437,-0.0490014622854219,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137656735832838,0.0829460700640343,0,0,0,0.0798886767588287,0,0,0,0,0,0,0,0,0,0,0,0.00462180945790923,0,0,0,0,0,0,0.0150010188008951,0,0,0,0,0,0.0474330056959771,0,-0.000825925841964489,-0.00816276533319176,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.531948360831154,0,0.0630962994684879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466799276034579,0,0,0,0.178896049696357,0,0,0,0,0,0.0163399179130923,0,0,0,0,0,0,0
X600188.SH,0,0,0.134713356942878,0.0567712219607974,0,0,0.150513127526332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191568339840431,0,0,0,0,0,0,0,0,0.116013419496393,0,0.0289447412162249,0,0,0,0,0,0,0,0,0,0,0,0,0.116426048947561,0,0,0,0,0,-0.0143082023041519,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0304494323989471,0,0,0,0,0,0,0.0595251811748454,0,0,0,0,0,0,0,0,0,0.165491993545655,0.0708581537591221,0,0,0,0,0,0,0.0373022047311322,0.0153949901245952,0,0,0.0154535232418108,0,0,0,0,0,0,0,0,0.0755282115050766,0.0115379849877727,0,0,0.0815091117923248,0,-0.00394940170703395,-0.00500518283876063,0,0,0,0,0,0
X601992.SH,0,0,0,0.130121412672051,0,0,0,0.0669088139018968,0,0.151357948687557,0,0,0,0,0,0,0.0196711433770293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136351049007636,0,0.0407713501192466,0,0,0,0,0.105578045723319,0,0,0,0,0.211533394702275,0,0,0,0.0129130635921084,-0.0124645667967993,0,0,0,0,0,0
X002466.SZ,0,0,0,0.0117518198314692,0,0,0.0512599579834027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135006119583176,0.574946477428229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215971888600674,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0.0904643001706888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465408326555905,0,0,0,0,0,0,0,0,0,0,0,0,0.324272710231162,0,0.0145404021511477,0,0.0859231817883109,0,0,0,0,0,0,0,0.152758568415545,0,0.00956271609862273,0,0.0347727045347667,0,-0.00233530960276441,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.162618599962262,0,0.0901760225878791,0.222104102487139,0,0,0.24053809319278,0,0,0,0,0,0,0,0,0,0,0,0.00131549640971862,-0.0317316514818257,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.0145946972161026,0,0,0,0,0,0,0,0.246332939937528,0,0,0,0,0.141396893866068,0,0,0,0,0.0669730405131657,0.0328057660272117,0,0,0,0,0,0,0.0551567172009444,0,0,0,0,0.0352635035397069,0,0,0,0,0,0,0,0.00569901221124569,0.0645883725341629,0,0,0,0,0.00719703835142229,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0.0738206751794137,0,0,0,0,0,0,0,0.0748573381995891,0,0,0,0,0,0.252618102402523,0,0,0,0,0,0.167599994159799,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.00824306225339492,0,0,0,0,0,0,0.0316242163333042,0,0,0,0.237232434660688,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771612769701038,0,0,0,0,0,0,0,0,0,0,0,0.0470472367453432,0,0,0.174756384782389,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161804068791817,0.079942666144815,-0.00316365299421378,-0.0382879683997746,0,0,0,-0.0338377645307674,0,0
