,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600795.SH,X600547.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600886.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600758.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002075.SZ,0,0,0,0,0,0,0,0,0,0,-0.00870369081360008,0,0,0,0,0,0,0,0,0,0.382531388771211,0,0,0,0,0,0.0153274344107436,0.073700103107487,0,0.372770056520538,0,0,0.26541269802823,-0.0924857482577932,0.122034528145961,0,0,0,3.46944695195361e-18,0.187654363972528,0,-0.184906103197265,-0.267989747861704,0,0,0.293269024366844,0,0,0,0,0,0,0,0,0,0,0.063515319174535,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.014829789136415,0,0,0,0,0,0,0,0,0,0,0,0,0.149671127970884,0,0,0,0,0.146154754179347,0,0,0,0,0,0,0,0,0,0,0.0478093805312694,0.0850222138969081,0,0,0.104503321960074,0.0814059273898035,0,0,0,-3.46944695195361e-18,8.67361737988404e-19,0,0,-0.0434907300460583,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0.184940945445947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512400747574609,0,0,0,0.0124200528041572,0,0,0.262783773083532,0,0,0,0,0,0,0,0.235342991845106,0,0,0,0,0,0,0,0.0668330896496668,0,0.0394323317268723,0,0,-0.120984805774831,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.0115155324607116,0,0,0,0.0496526646515515,0.0295939288657572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477307973087413,0,0,0.130723287057539,0,0,0.0906958844223141,0,0.128326720430332,0,0,0,0.0458038141343328,0,0,0,0,0,0,0,0,0,0.0438152433281205,0,0,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332801498454107,0,0,0.0996880512194613,0.01922855666095,0,0,0,0,0.067178814592404,0,0,0,0,0,0,0,0,0,0,0.0339736418062231,0,0,0,0,0,0,0,0.0537329850502393,0,0,0.174919364913971,0,-0.0638556474543487,-0.0359270203316965,0,0,0,0,0,0
X000408.SZ,0,0,0,-8.67361737988404e-19,0,-0.0170819975646177,0,0,0,0.115210109677002,0,0,0,0,0,0,0,0,0.109698673139221,0,-0.0308182269363769,0,0,-0.16074203802895,0,0.281353540553725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762658004646645,0,0,-0.0413712413703918,0,-0.0289447494898833,0,0.264961693135765,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0.001343324693542,0,0,-0.00536491668134679,0,0,0,0,0,0.138069296501846,0,0,0,0,0,0,0,0,0,0.0234523283130543,0.128239064834788,0,0,0,0,0,0,0,0,0.11703255840397,0.0709896988263619,0,0,0,0,0,0,0,0,0.0665822115942666,0,0,0.0274510679304536,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,-0.105548530764537,0.707284978480953,0,0,0,0,0,0,0,0,0,0,0,0,0.109236903067058,0,0.0165762447339203,0,0.126545765258666,0.104479462155072,0,0,0,0,0,0,0,0,0,0.0107731561246819,0.0167257257441979,0,0,0,0,0,0,0,0,0,0,0,-0.0189405364468694,0.0106952202618292,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0.0431242500057299,0,0,0,0,0,0,0,0,0,0,0.029357875029791,0,0,0.0778202858077963,0,0,0,0,0,0.00956203637856021,0,0,0,0,0,0,0,0,0,0,0,0,0.0784887416392699,0,0,0,0,0.0309860730626122,0,0,0,0,-0.00746289094519114,0,0,0,0,0,0,0
X600352.SH,0,0,0,0.0708144256075687,0,0,0,0,0,0,0.12085413799649,0,0,0,0,0,0,0,0.183904519489737,0,0.119529014395511,0.00964950584168975,0.0173070663700001,0,0.0715462570821902,0,0,0,0,0.0354577228317246,0,0,0,0,0,0,0,0,0.0398285811911854,0,0,0,0.132170919318385,0,0,0,0,0,0.00896143481207235,0,0,-0.015095543051027,0,0,0,0,0,0,0
