,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600660.SH,X600309.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000898.SZ,X000959.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000937.SZ,X000630.SZ,X601699.SH,X600352.SH,X600549.SH,X000012.SZ,X000539.SZ,X000060.SZ,X000027.SZ,X600176.SH,X002092.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601699.SH,0,0,0,0,0.0454730583440172,0,0,0,0,0,0,0,0,0.20767725072246,-0.067338361487164,0,0,0,0,0,0,0,0.0128716890724309,0,0,0,0,0,0,0,0,0,0,0.239759542166154,0.0533249029063546,0,0,0,0.475550768437812,0,0,0,0.0108323579303463,0.000612649859067082,0,0,0,0,0,0,0,-0.0191380644625025,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0.0126402056913617,0.0403164023583207,0,0,0,0,0,0,0,0,0,0,0.000809252378444815,0.0853889755364808,0,0,0,0,0.101706773845871,0.100663860628681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177312424280492,0,0.227327079860185,0.0874380988855663,0.0239646463406074,0,0,0,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0.0210120284967604,0.226733421546955,0,0,-0.0267065876774811,0,0,0,0,0,0,0.484682678404338,0,0,0,0,0,0,0,0.147409871074911,0,0,0,0.000962891444766823,0,0,0,0,0,0,0,0,0.172706981477964,0,0,0,0,0,0,0,0.135612368876056,0,0,-0.0162390711660951,0.028632235067218,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172209416956352,-0.0313792957533982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107896566673178,0,0.0150396686244031,0,0,0,0,0.676656228787593,0,-0.111012233561278,0,0,0,0,0,0,0,0,0,0.0404828778065656,0.114879206259434,0,-0.0167261989553947,-0.0381500420295797,0,0,0,0,0,0
X000539.SZ,0,0,0,0,-0.014431037520728,0.024211616412016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151088196376578,0,0,0,0,0,0,0,0,0,0,0.0772154627800542,0,0,0,0,0,0,0,0.00194545460443889,0,0,0,0,0,0,0,0,0,0.0437658038315428,0.0455180371083814,0,-0.0517675510823745,0.00606128776207059,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0.210356332601062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612662704624468,0,0,0,0,0.0407572394332251,0,0,0.158025777135127,0,0,0,0.105227698530212,0,0.0497169035125745,0,0.18677443666899,0,0,0,0,0.193583930687955,0.0298168207350288,0,0,-0.0710713336558499,0,0,0,0,0,0,0
X000027.SZ,0,0,0.0639051299694688,0,0,0,0,0,0,0,0,0.0770606586697386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171297438497974,0,0,0,0,0,0,0.0252321499550859,0,0,0,0,0,0,0,0.0457176684295124,0,0.0770213627483934,0,0.0557633566389106,0,0,0.013946196798153,0,0,-0.0193798075854657,0.000667165414486036,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.0356308817772709,0,0,0,0,0,0.0587504154398839,0.0310341314115804,0,0,0,0,0,0,0.0691237589981122,0,0.0130018942739846,0,0,0,0,0,0,0,0.0380293095240333,0,0,0,0,0,0,0,0,0.0829452887341673,0.209533779089365,0.0299182298848331,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0360086070460594,0,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0.0729168011634157,0.16441232104418,0,0,0,0.205153482436853,0,0.118668885165112,0,0,0,0,0,0,0,0,0,0,0.141739988468897,0.224531910295117,0,0,0.0184097576708501,0,0.124015667284181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448986583322644,0.442656622906067,0,0,0,0,0,-0.0762166706424527,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0.117431616307131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141258076743842,0,0.0468265062880275,0,0,0,0,-0.0406893035335342,0,0,0,0,0,0,0.144240363832177,0,0,0,0,0.226017994361801,0,0.0802069420138239,0,0,0,0,0,0,0.0436421410525733,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0354722098359547,0,0,0,0,-0.0504434164443989,0,0,0,0,0.0794107171607236,0,0,0,0,0,0,0,0.0697709087905558,0,-0.0354697873587089,0,0,0,0,0,0,-0.0539007794225924,0,0,0,0,0,0,0.0160684055580697,0,0,0,0,0.0522572784910459,0,0.0245799084661903,0,0,0.0419058931715882,-0.0172056195290317,0,0.0314532095044989,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,-0.380633959633167,0.401337344601946,-0.13114242250458,-0.306856766614682,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.135418405131205,0,0,0,4.33680868994202e-19,0.000292751114261657,0,0,0,0,0,0,0.161096172963806,0,0,0,0,0,0,0,0,0,-0.017249622023926,0,0,0,0.386430041407033,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530445959305505,0,0,0,0,0,0,0,0,0,0,-0.399372425649062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234158457508616,0,0,0,0,0,0,0,0,-0.0660767257102241,0,0,0.466860326878027,0,0,0,0,2.35256559088154,0,0
RealEstate_excess,0,0,0,0,-0.0673313703986711,0,0,0,0.0614936911701328,-0.0266222926905589,0,0,0,0,-0.0940052129681592,0,0,0,0,0,0,0,0,0,-0.073328298399948,0,0,0,0,0,0,0.0554144999320162,0,0,0,0.181993111765907,0,0,0,0,0,0,0,0.0434633365953094,0,0,0,0,-0.0310183598091206,0,0,0.0492698704153763,0.0344732743233681,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035007384155238,0,0,0,-0.0166270729489024,0,0,0,0,0.0625044978998597,-0.00930850113486703,0,0,0,0,0,0,0.0160486599115578,0,0,0,0,0,0,0.119876289920411,0,0,0,0,0,0,0,0,-0.000192411153274067,-0.137179720355468,-0.0956686901494906,0,0,0,0.0832254569060833,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0.000401084228061429,0.000559947037233767,0,0,0,0.000972867698084648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00438353719431548,0,0,0,0,0,0,0,0.00275151888116839,0,0,-0.000119938095754088,-0.00444847063559624,0,0,0,0,0,0.0220643047555648
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,-0.00880381539040845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350155928278992,0,0.0309093330719542,0,0,0,0,0,0,0,0,0,0.0096974599912431,-0.0172996575614698,0,0,0.0654381088112587,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.00925687785101697,0,0,0,0,0,0.000275217882166504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112346031328025,0,0,0,0,0,0,0.00405924462372379,0,0,0,0,0,0,0,0,0.0193550802450987,0,0,0,0.00764166523278339,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746663546244641,0,0,0,0,0,0,0,0,0,0.00886444964408704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256412013234658,0,0,0,0,0,0,0,0,0,0,0.011774272103383,-0.113179266251603,0,0,0,0,0,0
