,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X000792.SZ,X002466.SZ,X601898.SH,X600019.SH,X600111.SH,X002271.SZ,X600660.SH,X000877.SZ,X000301.SZ,X600011.SH,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X000983.SZ,X600176.SH,X600362.SH,X600426.SH,X600096.SH,X000408.SZ,X600803.SH,X601699.SH,X000723.SZ,X000786.SZ,X600141.SH,X600486.SH,X601991.SH,X600295.SH,X002353.SZ,X600219.SH,X000807.SZ,X002192.SZ,X300073.SZ,X002080.SZ,X600157.SH,X600801.SH,X000630.SZ,X600985.SH,X600027.SH,X000683.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600486.SH,0,0,0,0,0,0,0,0,0.16884671249856,0,0,0,0,0,0,0,0,0,0,0,0,0.0658174619548945,0,-0.09866080725012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299903551999515,0,0,0,0.0612472795578596,0,0,0.0442320008025639,0,0,0,0.107180963065242,0,-0.0144765128287593,-0.0626971598979167,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11357587379194,0.117997332040045,0,0.0318952279671066,0,0,0,0,0,0,0,0.0608138280853294,0,0,0.0806320911570569,0,0,0,0,0,0.0409135400265397,0.0856760870272952,0,0,0,0,0,0,0.0754131865202738,0,0,0.212717717279017,0,0,0,0,0,0,0,0,0,0,0
X600295.SH,0,0,0,0,0,0,0,0,0,0,0.15945720360443,0,0,0,0,0,0,0,0,0.18704167750838,0,0,0,0,0,0,0,0,0,0,0.182484974534675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220190168161257,0,0,0.124790910097796,0,0,2.16840434497101e-19,-0.134869887625244,0,0,0,0,0,0
X002353.SZ,0.413865035965708,0,0,0,0,0,0,0,0,0,0.333168078285868,0,0,0,0,0,-0.0493064552316612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144111081115866,0,0,0.0285285798193874,-0.01317531203683,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0.106379047686278,0,0,0,0,0,0,0,0,0,0,0,0.431705764567374,0,0,0,0,0,0,0,0,0.0206307994477497,0,0,0.087131696106351,0,0,0,0,0.0824125170802648,0,0,0,0.00239966199846733,0,0,0,0,0.00333662590346139,0,0,0,0,0,0,-0.0832032638114467,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792825410315744,0,0,0,0,0,0,0,0,0,0,0.107453281184386,0,0,0,0,0,0,0,0,0,0.0539912238402918,0,0,0,0,0,0,0,0,0,0,0.0386279245220076,-0.0567452551752864,0,0,0,0,0,0
X002192.SZ,0,0,0,0,0,0,0,0,0.644053083435552,0,0,0,0,0,0,0.0683218265881826,0.0164917206101844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00696561360507368,0,0,0,0,0,0
X300073.SZ,0,0,0,0,0,0.228719828084036,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.127493270529004,0,0,0,0,0,0,0,0,0,0,0.0959617087988739,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.112694446037317,0,0,0,0,0.0409273843021619,0,0,0,0,0,0.00373271152021492,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0280881972536949,0.0193268418563223,0.0309662949645201,0,0,0,0,0,0.0403185983603923,0,0,0,0,0,0,0,0.00861676628659771,0,0,0,0.00984028541051755,0,0,0,0,0,0,0,0,0.160059663148363,0,0,0,0.0544606857086129,0,0,0,0.112397651334655,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0.0136915426222036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071763863750031,0,0,0,0,0,0,0,0,0,0,0,0.116532972106751,0.00319283614172829,0,0,0,0.0594320592655352,0.105540706418939,0.0914469530716553,0,0,0,0,0,0.0773106441293118,0.0276870870198529,0,0.0025847477772636,0,0,0,0.0188049553059752,0,0,0,0,0,0,0
