,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X600011.SH,X000792.SZ,X601898.SH,X600019.SH,X600111.SH,X600660.SH,X600795.SH,X600010.SH,X000708.SZ,X000301.SZ,X600886.SH,X600547.SH,X601991.SH,X000877.SZ,X601600.SH,X002271.SZ,X600027.SH,X600426.SH,X600362.SH,X600803.SH,X000983.SZ,X600348.SH,X600176.SH,X600160.SH,X000408.SZ,X000629.SZ,X601699.SH,X000723.SZ,X600995.SH,X600378.SH,X600096.SH,X600219.SH,X000786.SZ,X600489.SH,X600157.SH,X600985.SH,X600688.SH,X002080.SZ,X002353.SZ,X600141.SH,X600399.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600141.SH,0.093547428650355,0,0,0,0,0,0.133959778928779,0,0,0,0,0,0,0,0,0,0,-0.0158313576714741,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0242670540078264,0,-1.73472347597681e-18,0,0,0,0,0,0.0529457537784809,0.0348278155790227,0,0.32697215676383,0,0,0,0,0,0,0,0,0,0,0.140711517937677,0,0,0,0,0,0,0,0,0
X600399.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865629005461614,0,0,0,0,0,-0.297608345555533,0,0.0317980726563638,0,0,0,0,0,0,0.159738356993967,0.390204534164801,-0.0478641857429582,0,0.0931027591757671,0.104668404256327,0,0,0,0,0,0,0,0,0.281268415642556,0,0,0.170406581407405,0,-0.142127483565482,0.0728825014102459,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141714321307365,0,0,0,0,0,0,0,0,0.619448606971098,0,0,0,0,0,0.0164807015772727,0.0238721991429676,0,0,0,0,0,0.143554592166021,0,0,0,0.180991379805689,0,0,0,0,0,0,0,0,0,0,0,0,0.0327363720785861,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,-0.0415586795661821,0,0,0.00107123120682003,-0.0313916881568218,0,0,0,0,0,0,0,0,0,0,0,0,0.0283787880962873,0,0,0,-0.0143419134497098,0,-0.108896063414731,0,0,0,0,0,0,0.0490602017804275,-0.116733099537454,0,0,0,0,0,0,0,0,0,0,-0.0135634947654065,0.0367299140471327,0,-0.0911600435692692,-0.0478366738901761,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196902218117274,0,0,0,0,0,0,0,0,-0.238719592086906,0.0620960347931692,0,0,0,0,0.158588830328747,0,0,0,0,0,0,-0.170859615194393,0,0,0,0,0,0,0.363039605700537,0,0.0949087807438367,0,0,-0.0677524633599095,0,0,0,0.471277702967716,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0.135741575927066,0,0,0,0,0,0,0,0,0.218160621296021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487299951002176,0,0,0,0,0,0,-0.271279105048278,0,0,0,0,0,0,0,0.581444452966866,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0.0363827212736834,0,0,0,0,0,0,0,0,0.0309312655919253,0,0,0,0,0,-0.108973553547561,0,0,0,0,-0.0326704432608505,0.0401867695117373,0,0.0197844045176408,0,0,0,0,-0.00172836674883286,0,-0.00909134098792384,0,0,0,0,-0.086753540924397,0,0,-0.0242151885557121,0,-0.00558530339066452,0,0,-0.107388626351915,0.0544446462913481,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.0375160573518584,0,0,0,0,0,0.0234582078443736,-0.0762344720787712,0,0,0,0,0.117638552951987,0,0,0,0.119972051738736,0,0,-0.0238986077155307,-0.107857479188797,0,0,0,0.0116913004392663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203701337773316,0,0.00687411658741656,0,0,0,0,0,-0.00352204057051408,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008967055523819,0,0,0,0,0.00350124130061674,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0.00743362575462452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573822487389425,0.0198493318193863,0,0,-0.0880264096483522,0,-0.00589789037501392,0.0242523579365899,0,0,0,0,0,0,0,0,0,0,-0.0642333412073584,0,0,-0.0130332609523491,0,0,0,0.0873314478673165,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107193820732545,-0.0220745155220412,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,-0.00124539853988758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186126528160989,0,0,0,0.00103744193726977,0,0,-0.000524045870928638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000629092735971439,0,-0.000483470704212286,-0.00520113431775104,0,0,-0.00692650576674869,0,0,0,0,0,0
