,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X600688.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600309.SH,X300072.SZ,X600660.SH,X600547.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X600339.SH,X002466.SZ,X600157.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600008.SH,X600299.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X600583.SH,X600176.SH,X002271.SZ,X600578.SH,X000723.SZ,X000630.SZ,X000539.SZ,X000408.SZ,X600021.SH,X000027.SZ,X000792.SZ,X600808.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600008.SH,0,0,0,0,0,0,0,0.768522716032699,0,0,0,0,0,0,0.0628539193018276,0,0,0,0,-0.209231475300021,0,0,0,0,0,0,0,0,0,0,0,0,0.0694875603377556,0,0,0,0,0.152528398784348,0,0.632511098315439,0,0,0,0.445912885491875,-0.00164512564132066,0,0,-0.124205240081736,0,0,0,0.0168614442354524,0,0,0,0,0,0
X600299.SH,0,0,0,-7.86494080930863e-05,0,0,0,0,0,0,0,0,0,0.0350225118797186,0,0,0.0564629744050462,0,0,0,0,-0.0299036867534265,0.122966424565064,0,0,0,0,0,0,0.211277857933135,0,0,0,0,0,0,0.0100877034627148,0,0,0,0,0,0,0.0624497819477634,0,0,0,0,0.0795373069368317,0,0,0.00607325136008902,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.105747309564334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728019587802789,0,0,0,0,-0.0480239147875125,0,0.102262656146481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162761407178783,0,0.00419544310402157,0.022611976958573,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928263992172976,0,0.0358719303072705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285718069574823,0.0439636325631804,0,0,0.0812817425477461,0,0,0,0,0.138570794309117,0,0,0,0.00657368442502854,0,0,0,0,0,0
X600352.SH,0,0,0.0353118075187403,-0.202750537121706,-0.020075569304623,0,0,0.00197283697582181,0.061150717070925,0,0,-0.0561383981039721,0,2.16840434497101e-19,0,0,0.0653288635509745,0,0,0,0,0.0447172476619826,0,0,0.157833221578997,0,0,0,0,0.0195319521227245,0,0,0.0372934473322258,0,0,0,0.0649164213958755,0,0,0,0,0,0,-0.0146427202374677,0,0,0,0,0,0,0.0300226656411997,-0.0190588447369809,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.217478885206782,0,0,0,0,0,0,0,0,-0.0144839465450751,0,0,0,0,0,0,0,0.0283488362571198,0.0213573650376416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215547093534981,0,-0.0300256092568831,0.0167658625695077,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268362203164659,0,0,0,0,0,0.00483868637444376,0,0.149789383844246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410596469050458,0.0753041200339035,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2601609927705,0,0,0,0,0,0,0,0,0,0.0568881615022943,0,0,0,0,0.117754801470079,0,0.0273669621972541,0,0.113577765854835,0,0,0,0.0065867846576843,0,0.190921521939096,0.0864156053910302,0,0,0,0,0,0,0,0,0,0,0,-0.0270940591314346,0,0,0,0,0,0
X002271.SZ,0,0,0,0.0423332833728711,0,0,0,0,0,0,0,0,0,0.0204241162696395,0.0383699351444507,0.126269338409225,0,0,0,0,0,0,-0.0564708046647506,0,0,0,0,0,0.0921673008940409,0,0,0,-0.14172907221205,0,0,0,0,0.390242095209131,0,0,0,0,0,0,0,0,0,0.0429660630031962,0,0,0.0741346263206411,-0.0167624961817323,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,-0.121598969401459,0,0,0,0,0,0.129427381502953,0,0,0,0,0,0.0331404817934719,0,0.283926750638362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743471137338526,0,0,0,0,0,0,0,0,0.31005872596955,0,0,0,0.0241413013986552,0.0358108273317567,0,0,0,0,0,0
