,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600011.SH,X600547.SH,X600886.SH,X601600.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X000708.SZ,X600010.SH,X600027.SH,X600803.SH,X600111.SH,X002460.SZ,X601991.SH,X600160.SH,X600426.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000807.SZ,X600219.SH,X002128.SZ,X000630.SZ,X000786.SZ,X601168.SH,X000933.SZ,X600176.SH,X600985.SH,X600096.SH,X000408.SZ,X000877.SZ,X000883.SZ,X002353.SZ,X002409.SZ,X000027.SZ,X000932.SZ,X002271.SZ,X600348.SH,X600282.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,-0.108578015940868,0,0.255215741709593,0,0,0,0,0,0.10185097684523,0,0.0237221539995747,0,0,0,0.0993753604274509,0,0,0.0297035794134097,0,0,0,0,0,0,0,0.0356153846260885,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.110416233275048,0,0,0,0,-0.0106816563676716,0,0,0,0,8.67361737988404e-19,0,0,0,0.051854556299775,0,0
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.171556514502459,0,0,0,0,0.0413905343681352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278610301531183,0,0.0781850164367425,0,0,0,0,0,0.0721694386730475,0,0,0.11062173779011,0,0,0,0.171591166443247,0,0,0,-0.0239381831869707,0,0,0,0,-0.105617435953451,0,0
X600426.SH,0,0,0,0,0,-0.220238288953876,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0178357349111333,0,0,0,0,0,0,0,0,0,0.0135064064484863,0,0,0,0.144445146504196,0.24905945847789,0,0,0,0,0,0.0173541842087206,0,0,0,0,0,0,0,-0.0200329816528776,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0.0847075299062994,0,0,0,0,0,0.110921534036801,0,0,0.0499795610575436,0,0,0.00735384351433894,0,0.101977982309368,0,-0.0517406175449599,0,0,0,0,0,0,0,0,0,0,0,0,0.093514422614535,0.00159793911172773,0,0,0.188039763582586,0,0,0,0,0.0808473901620625,0,0,0,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.0770926203156737,0.0698169762963982,0,0,0.0361810515597144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406781894068466,0,0,0,0,0,0,0,0,0,0.0222030503810247,0.0351347392640927,0.0230031595344416,0,0,0,0,0,0.016500278121462,0,0,0,0,0,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.381514707868018,0.124678520966299,0,0,0,0,0,0,0,0,0,0.0452485129414948,0,0,0,0,0,0,-0.0360910729783423,0,0,0,-0.0545613048444638,0.350183455170188,0,0,0,0,0,0,0,0,0,0,0.189198362273619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,-0.040517466547941,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.72132158637255,0,0,0,0,0,0,0,0,0,0,0,0.0976622407697882,0,0,0.0368465610330609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728912028345111,0,0,0,0,-0.0296425873071114,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0.0718337890540443,0,0,0,0,0,0.207217214314709,0,0,0.0586091419827931,0,0,0.107905661975484,0.0571433835423704,0,0,0,0,0,0,0,0,0,0,-0.0342694634974167,0,0.325515489885556,0,0,0,0.0523492144340736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0.0950884224030878,0,0,0,0,0.106659371106938,0.0262207763642551,0,0,0,0,0,0,0,0.000561432532213493,0,0,0,0,0,0.0840856309154541,0,0,0,0,0.265050430496504,0,0,0,0,0,0,0,0,0,0.0351598752986264,0,0.00465629114040246,0,0,0,0.0277585532978566,0,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173228918345072,0,0,0,0,0,0,0,0,0.105082026364245,0,0,0,0,0.0942826064932224,0,0,0.187173751769046,0,0,0,0,0,0.0226526592802258,0,0,0,0,0.0881452813874175,0.0618991116362226,0,0,0,0,0,0,0,-0.0578033831464359,0,0
