,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600011.SH,X002460.SZ,X600019.SH,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X601991.SH,X000983.SZ,X600176.SH,X600803.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X300037.SZ,X000408.SZ,X600160.SH,X600995.SH,X600219.SH,X000932.SZ,X000539.SZ,X002080.SZ,X000629.SZ,X002409.SZ,X600688.SH,X600612.SH,X600096.SH,X600378.SH,X000630.SZ,X000933.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0.107144026314773,0,0,0,0,0,0.123252233166016,0,0,0,0,0,0,-0.0485834620827113,0,0,0,0,0,0,0,0,0,0,0,0,0.0378142658796022,0,0,0.0120288668258229,0,-0.00515462932896274,0,0,0,0,0,0,0,0,0,0,-0.0619338379319134,0,0,0,0,-0.0252012103829954,0,0,0,-0.0994058529538104,0.1356254010291,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0196940847921902,0,0,0.076849917704464,0,0.00872580500463052,0,0,0,0,0,0,0,0,0,0.0779329733541885,0.000100952569914347,0,0,0,0,0,0,0,0,0,-0.0435990643287956,0,0,0,0,0,0.0203986433645139,0.0302886518316225,0,0,0,0,0,-0.016389773308611,0,0,0.156590942232402,0.019148289928507,0,0,0,0,-0.0178693498542659,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498969784987468,0,0,0,0,0,0,0,0,0,0,0,0,0.0793611424165363,0,-0.0290027253957914,0,0,0.0365960598725831,0,0,0,0,0.115722758219704,0,0,0,0.124679046653282,0,0,0,0,0,0.0652923937115683,0,0,0,0.0132271588424824,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0275423179205558,0,0,0,0.13174215872054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222018923893531,0,-0.0291539304967984,0,0,0.0043700554777779,0,0,0,0,0.0647114934870951,0,0,0.0114234141072078,0.068317219855031,0,0.0184542034965006,0,0,0.159941843323386,0,0,0,0,-0.00304856102796099,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0.148479309998909,0,0,0,0,0.0228289769360621,0,0,0,0.0390801338840519,0,0,0,0,0,0,0,0,0,0,0.15367970179544,0,0,0.00567966787148556,0,0,0,0.247797738653499,0,0,-0.0302052309896296,0,0,0,0,0,0,0.107203068378472,0,0.0888348132565814,0,0,0,0,0,0,0,0.0360669693827289,0,-0.0955553206575549,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113801653158975,0,0,0.121416764327936,0.00566699317450385,0,0,0.191290720192572,0,0,0,0,0.0465035171109662,0,0,0,0,0,0,0,-0.0620383772470709,0.0541771727086844,0,0.00761780405913199,0,0,0,0,0,0,0,-0.00576438929724524,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.0151775558389569,0,0,0,0,0,0,-0.0801966750008456,0,0,0,0,0,0,0,0,0.0655362070892554,0,0,0,0,0.187700313053875,0,0,0,0,0,0.127260705819076,0.257588926636638,0,0.344222632014698,0.170579776492123,0,0,0,0,0,-0.0153860215013755,0,0,0,0,0,0,0,0,0,0,0.0743625801759846,0,0,0,0,0,0,0
X000877.SZ,0,0,0,0,-0.0623583765765515,0,0,0,0,0,0,0,0,0.0558136414555028,0,0,0,0,0,0,0,0,0,0,-0.0351362039359657,0,0.0303196979113843,0,0.168511987385921,0,0,0,0,0,0,0,0,0.0462776713734092,0,0.00785695751368763,0,0,0.592096386853354,0,0,0,0,0,0,0,0,0.00485996591834335,0.0182726231484165,0,0,0,0,0,0
X600795.SH,0,0.0488079377591564,0,0,0,0,0.151123614743215,0,0.094727488685096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351210105041773,0,0,0.0843269860475894,-0.0305810591590246,0,0,0,0,0,0.0213222724837759,0.0493735434314119,0,0,0,0,0,-0.0525007145723023,0,-0.0994721039128572,0,0,0,0,0,0.00523877891231369,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961498256398441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163191651019434,0,0,0,0,0.0380822032182522,0,0,0,0,0,0,0,-0.0143712676799061,0,0,0.0305784186700234,0,0,0,0,0.453864341359614,0,0,0.0411174780707073,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.776121399944799,0,0,0,0,0.112651605522881,0,0.266534584843468,0,0,0,-0.0383629898706043,0,0,0,0,0,0.216738289668014,0,0,0,0,0.105109625558315,-0.0423311673087318,0,0,0,0.17357507156334,0,0,0.0472718990790062,0,0,0,0,0,0,0.12555773763942,0,0,0,0,0,0,0,0,0,0.0931979167397446,-0.0489549969359536,0,0,0,0,0,0,0
