,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X601699.SH,X000708.SZ,X600426.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000408.SZ,X000630.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X000629.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0.148282846977588,0,0,0.0214897315897443,0,0,0,0,0,0,0,0,0,0,-0.0448763795363504,0,0,0,0,0,0,0,0,0,0.013918699080049,0,0,0.44732021857429,0.00427723190326986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413128123642037,0,0,0,0,0,0,0
X600886.SH,0.0428044372770134,0.110799464675726,0.159708159974544,0,0,4.33680868994202e-19,0,0.112416745447955,0,0,0,0,0,0,0,0,0.165860048123213,0,0,0,0,0,0,0,0,0,0,0.161624312014909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143041028459689,0,0,0,-0.00203502537529186,0.000649676330053756,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.033831669867629,0,0,0,0,0,0,0,0.0117519453585681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551284179319139,0,0,0,0,0,0.41607972770709,0,0,0,0,0,0,0.109372404408882,0.126195334982384,0,0,0,0,0,0,0,0,0,-0.0125156705717101,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776284962544132,0,0,0.0403670803293435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674195519807318,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0394036746588965,0,0.0663730390158551,0,0,0,0,0,0,0,0.39283792025586,0,0,0,0,0,0,0,0,0,0,0,0.0781171436905684,0,0,0,0.0602455502396466,0,0.0610646586773328,0,0,0,0.0742474540845428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437172951834969,-0.0565088579224018,0.00258660965964583,0,0,0,0,0,0,0
X002460.SZ,0.0593723034387102,0,0,0,0,-0.0190640220550302,0,0,0,0,0,0,0,0.7663045847159,0,0,0,0,0.127001518870618,0,0,0,0,0,0,0,0,0,-0.251431193583249,0,0,0,-0.0201672081376193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119754761712925,-0.010362222966062,0,0,0,0,0,0
X600795.SH,0.139733304877099,0,0,0,0,0,0,0.0321302330161847,0,0,0,0.331027928452122,0,0,0,0,0,0,0.0181805105820073,0,0,0,0,0,0,0,0.0953014353961045,0,0,0,0,0,0,0,0,0,0,0,0.172652934725345,0.0575111113808498,0,0.0985375234778272,0,0,0,0,0,0,0,0,-0.0634730334669042,0,0.00772661742548846,0,0,0,0.0487293354946002,0,0
X600111.SH,0.062601764614374,0,0,0,0,0,0,0,0,0,0,0,0,0.254142279791549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681167402147678,0,0,0,0,0,0,0,0.123997713950477,0,0.150451932460392,0,2.71050543121376e-20,0.0283326768262597,0,0,0,0.0389011414936753,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748757454045739,0,0,0,0.223735576496328,0,0,0,0,0,0,0,0,0.0770983744185977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333188860111553,0,0,0,0.251662219433207,0,0,0,0,0,0,0.0107916720338511,-0.00248045820941063,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.320703115035514,0,0.183065320228144,0,0,0,0,0,0,0,0,-0.0171904510463363,0.030058206581376,0,0,0,0,0,0,0,0,0.0962331762815296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201514105720734,-0.00834929980442535,0,0,0,-0.00580354413208232,0,0,0,0,0,0,0,0.0114304251794002,0,0,0,0.0251421796823147,0,0
X000708.SZ,0.18879416632912,0,0,0,0,0.0867081223302061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819029401253481,0,0,0,0,0,0,0,0.0410319971936632,0,0,0.107837141960395,0,0,0,0,0.150446248231355,0,0,0,0,0,0,0,0,0,0,0,0,0.0138355509913009,-0.0290298203416215,-0.0666622710592986,0,0,-0.0356127910332401,0,0
